de_Subject,de_Predicate,de_Object,Triple_ID
Missbrauch,Vorurteil,der Verteidigung,directive_(eu)_2016_800_en.txt
Sie,Satz,eingeschrankte Nutzung,directive_(eu)_2016_800_en.txt
vorubergehende Ausnahmeregelung,proportional sein,des Verfahrens,directive_(eu)_2016_800_en.txt
keine Entscheidung,sicherstellen,wahrend der Probephase,directive_(eu)_2016_800_en.txt
33 Vertraulichkeit,ist der Schlussel,fairer Prozess,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,respektieren,ohne Ausnahme,directive_(eu)_2016_800_en.txt
Rechtsanwalt,ist ohne,Straftat,directive_(eu)_2016_800_en.txt
Kriminelle Aktivitat,berucksichtigt,der Richtlinie,directive_(eu)_2016_800_en.txt
Vereinbarungen,impliziert,diese wahren die Vertraulichkeit,directive_(eu)_2016_800_en.txt
zustandige Genehmigungsbehorden,ist ohne,zwischen Kindern,directive_(eu)_2016_800_en.txt
zur Korrespondenz,Ist,zustandiges Gericht vorgelegt,directive_(eu)_2016_800_en.txt
Das,ist ohne,kompetente Autoritaten,directive_(eu)_2016_800_en.txt
Titel v,Ist,Innere Sicherheit,directive_(eu)_2016_800_en.txt
um sie auszuweiten,haben,besondere Strafe,directive_(eu)_2016_800_en.txt
individuelle Beurteilung,hineinnehmen,als Lernbehinderungen,directive_(eu)_2016_800_en.txt
Kind genommen,moglich sein,der Beleidigung,directive_(eu)_2016_800_en.txt
Es,gebraucht,kurzlich,directive_(eu)_2016_800_en.txt
konkrete Massnahme,nehmen,Strafverfahren,directive_(eu)_2016_800_en.txt
Bedingungen bereitgestellt,verhindern,des Verfahrens,directive_(eu)_2016_800_en.txt
individuelle Beurteilung,Betreff,von Massnahmen,directive_(eu)_2016_800_en.txt
individuelle Beurteilung,beurteilt,-,directive_(eu)_2016_800_en.txt
Information,nehmen,des Prozesses,directive_(eu)_2016_800_en.txt
stellte dies zur Verfugung,moglich sein,Das Beste sind die Interessen,directive_(eu)_2016_800_en.txt
individuelle Beurteilung,Sei,solche verfugbare Haft,directive_(eu)_2016_800_en.txt
Ausnahmeregelung vorgesehen,in der Lage sein,Am besten sind kompatible Interessen,directive_(eu)_2016_800_en.txt
Fall,hineingebracht,ohne Anklage,directive_(eu)_2016_800_en.txt
wo Kinder,untermauert,schwache Position,directive_(eu)_2016_800_en.txt
Kind,haben,medizinische Untersuchung,directive_(eu)_2016_800_en.txt
spezifische gesundheitliche Indikationen,getragen,Anwalt fur Kinder,directive_(eu)_2016_800_en.txt
Das,legen,solche Untersuchungen,directive_(eu)_2016_800_en.txt
zwei Anfragen,Adresse,von Zeit,directive_(eu)_2016_800_en.txt
Sie,Sind,welche,directive_(eu)_2016_800_en.txt
Interesse,verzeichnet,der Freiheit,directive_(eu)_2016_800_en.txt
Richtlinie,erfordern,vom Richter,directive_(eu)_2016_800_en.txt
Es,in der Lage sein,am besten vereinbare Interessen,directive_(eu)_2016_800_en.txt
Das,getragen,von Kindern,directive_(eu)_2016_800_en.txt
wenn sie,sind in,der Freiheit,directive_(eu)_2016_800_en.txt
Entbehrung,unternommen,in die Gesellschaft,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,praktisch machen,des Polizeigewahrsams,directive_(eu)_2016_800_en.txt
Straftat,ist ohne,in Situationen,directive_(eu)_2016_800_en.txt
-,-,l,directive_(eu)_2016_800_en.txt
kompetente Autoritaten,halten,solche Massnahmen,directive_(eu)_2016_800_en.txt
Kind,enthalten,therapeutische Programme,directive_(eu)_2016_800_en.txt
welche,Gegenstand sein,durch Gericht,directive_(eu)_2016_800_en.txt
welche,moglich sein,Justizbehorde,directive_(eu)_2016_800_en.txt
Kinderrezension,sorgen fur praktisches,Amtsgericht,directive_(eu)_2016_800_en.txt
hielt sie fest,Profitieren Sie von Sonderangeboten,besondere Schutzmassnahmen,directive_(eu)_2016_800_en.txt
Es,gehaltenen,des Kindes,directive_(eu)_2016_800_en.txt
Es,moglich sein,der Person,directive_(eu)_2016_800_en.txt
inhaftierte Kinder,bezahlt um,inharente Verletzlichkeit,directive_(eu)_2016_800_en.txt
Kinder,haben,ihre Bedurfnisse,directive_(eu)_2016_800_en.txt
Das,sicherstellen,am besten vereinbare Interessen,directive_(eu)_2016_800_en.txt
Das,moglich sein,beste gegensatzliche Interessen,directive_(eu)_2016_800_en.txt
besondere Wachsamkeit,erforderlich am,korperliche Unversehrtheit,directive_(eu)_2016_800_en.txt
Personen bestimmen,Ist,nationales Gesetz,directive_(eu)_2016_800_en.txt
Personen,ermutigt,junge qualifizierte Erwachsene,directive_(eu)_2016_800_en.txt
inhaftierte Mitgliedstaaten,angemessen nehmen,in der Richtlinie,directive_(eu)_2016_800_en.txt
solche Massnahmen,sicherstellen,zum Familienleben,directive_(eu)_2016_800_en.txt
aussergewohnliche entsprechende Einschrankungen,haben,der Gerechtigkeit,directive_(eu)_2016_800_en.txt
52 Mitgliedsstaaten,angemessen nehmen,des Kindes,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,unterlassen,des Kindes,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,erforderlich,Kinder,directive_(eu)_2016_800_en.txt
entsprechenden Mitgliedstaaten,angemessen nehmen,der Freiheit,directive_(eu)_2016_800_en.txt
Mittel,verhaltnismassig sein,seine Dauer,directive_(eu)_2016_800_en.txt
Verfahren,hineinnehmen,"angepasst, um sie anzupassen",directive_(eu)_2016_800_en.txt
Profis,Trainiert in,Umgang mit Umgangskindern,directive_(eu)_2016_800_en.txt
Sie,behandelt,Das,directive_(eu)_2016_800_en.txt
-,-,der Europaischen Union,directive_(eu)_2016_800_en.txt
Privatsphare,gewahrleistet,in die Gesellschaft,directive_(eu)_2016_800_en.txt
Gerichte,bieten,der Offentlichkeit,directive_(eu)_2016_800_en.txt
Das,ist ohne,6 Echr,directive_(eu)_2016_800_en.txt
Sie,haben,in welchem,directive_(eu)_2016_800_en.txt
Das,haben,angemessene Anstrengungen,directive_(eu)_2016_800_en.txt
Begleitperson,legen,aus Gerichtsverhandlungen,directive_(eu)_2016_800_en.txt
Interesse,Adresse,berucksichtigt,directive_(eu)_2016_800_en.txt
Kind,haben,elterliche Verantwortung,directive_(eu)_2016_800_en.txt
mit Halter,Ist,Kriminelle Aktivitat,directive_(eu)_2016_800_en.txt
Sie,haben,wahrend der polizeilichen Befragung,directive_(eu)_2016_800_en.txt
60 richtig,bezogen auf,der Menschenrechte,directive_(eu)_2016_800_en.txt
wo das,angemessen nehmen,geeigneter Erwachsener,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,sorgen fur praktisches,vor Gericht,directive_(eu)_2016_800_en.txt
Kind,enthalten,aus dem Prozess,directive_(eu)_2016_800_en.txt
wenn sie,gelten,ausfuhrender Mitgliedstaat,directive_(eu)_2016_800_en.txt
Europaisches Haftbefehlsverfahren,sind entscheidend,Strafsachen,directive_(eu)_2016_800_en.txt
Einhaltung,ist bedeutsam,eine so wichtige Zusammenarbeit,directive_(eu)_2016_800_en.txt
Zeitbegrenzungen,eingehalten,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_800_en.txt
WHO,angemessen nehmen,fur Kinder,directive_(eu)_2016_800_en.txt
WHO,angemessen nehmen,Einbeziehung von Kindern,directive_(eu)_2016_800_en.txt
-,Ist,in der Richtlinie,directive_(eu)_2016_800_en.txt
solche Daten,enthalten,der Freiheit,directive_(eu)_2016_800_en.txt
-,21.5.2016,der Europaischen Union,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,respektieren,als Rasse,directive_(eu)_2016_800_en.txt
66 Richtlinie,halt an,der Verteidigung,directive_(eu)_2016_800_en.txt
Richtlinie,Implementiert in,mit Rechten,directive_(eu)_2016_800_en.txt
67-Richtlinie,legt,Mindestregeln,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,in der Lage sein,des Schutzes,directive_(eu)_2016_800_en.txt
Mindestregeln,bilden,Das,directive_(eu)_2016_800_en.txt
eben,unterschreiten,der Menschenrechte,directive_(eu)_2016_800_en.txt
Union,adoptieren,5 Tage,directive_(eu)_2016_800_en.txt
daruber hinaus,weitergehen,Ziele erreichen,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,nehmen,seine Anwendung,directive_(eu)_2016_800_en.txt
Danemark,nehmen,seine Anwendung,directive_(eu)_2016_800_en.txt
1 Mitgliedsstaaten,unternommen,nationale Umsetzungsinstrumente,directive_(eu)_2016_800_en.txt
WHO,uberlegt,zum Rahmenbeschluss,directive_(eu)_2016_800_en.txt
WHO,gilt fur,Strafverfahren,directive_(eu)_2016_800_en.txt
verdachtig,gilt bis,der Berufung,directive_(eu)_2016_800_en.txt
WHO,gilt fur,mit Artikel,directive_(eu)_2016_800_en.txt
Anwendung,gilt fur,der Person,directive_(eu)_2016_800_en.txt
wenn Person,entscheiden,vom 21,directive_(eu)_2016_800_en.txt
WHO,gilt fur,Strafverfolgungsbehorde,directive_(eu)_2016_800_en.txt
Richtlinie,nationale Auswirkungen haben,strafrechtliche Verantwortlichkeit,directive_(eu)_2016_800_en.txt
Richtlinie,gelten,Strafsachen,directive_(eu)_2016_800_en.txt
wo Kind,anwenden,Strafverfahren,directive_(eu)_2016_800_en.txt
welche,bedeutet,des Zugriffs,directive_(eu)_2016_800_en.txt
Person,vermutet,vom 18,directive_(eu)_2016_800_en.txt
-,-,zu Informationen,directive_(eu)_2016_800_en.txt
Sie,sicherstellen,des Verfahrens,directive_(eu)_2016_800_en.txt
auch Kinder,sicherstellen,in der Richtlinie,directive_(eu)_2016_800_en.txt
Halter haben,bereitgestellt,im Artikel,directive_(eu)_2016_800_en.txt
Information,sicherstellen,nationales Gesetz,directive_(eu)_2016_800_en.txt
Brief,sicherstellen,unter Weisung,directive_(eu)_2016_800_en.txt
Halter haben,.,elterliche Verantwortung,directive_(eu)_2016_800_en.txt
Kind,sicherstellen,der Europaischen Union,directive_(eu)_2016_800_en.txt
ihre Identitat,gefahrden,Strafverfahren,directive_(eu)_2016_800_en.txt
zustandige Behorde,benennen,zur Person,directive_(eu)_2016_800_en.txt
Person,Sei,von Kindern,directive_(eu)_2016_800_en.txt
4 welche,zur Verfugung gestellt,elterliche Verantwortung,directive_(eu)_2016_800_en.txt
In,beeintrachtigen,Rechts,directive_(eu)_2016_800_en.txt
Ihnen erlauben,sicherstellen,der Verteidigung,directive_(eu)_2016_800_en.txt
Sie,sicherstellen,aufmerksam gemacht,directive_(eu)_2016_800_en.txt
Sie,assistiert von,vor Gericht,directive_(eu)_2016_800_en.txt
befragter Anwalt,enthalten,wahrend der kompetenten Befragung,directive_(eu)_2016_800_en.txt
solche Verfahren,durchgefuhrt,von rechts,directive_(eu)_2016_800_en.txt
verdachtige Person,notiert,der Kriminalitat,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,respektieren,unter Weisung,directive_(eu)_2016_800_en.txt
solche Kommunikation,enthalten,nationales Gesetz,directive_(eu)_2016_800_en.txt
Interesse,abweichen,der Beleidigung,directive_(eu)_2016_800_en.txt
wenn sie,sicherstellen,b Inhaftierung,directive_(eu)_2016_800_en.txt
Kind erlauben,sicherstellen,vor Gericht,directive_(eu)_2016_800_en.txt
wo Kind,verschieben,fur Kind,directive_(eu)_2016_800_en.txt
Sofortmassnahme,abweichen,Straftat,directive_(eu)_2016_800_en.txt
kompetente Autoritaten,sicherstellen,berucksichtigen,directive_(eu)_2016_800_en.txt
Entscheidung,vergriffen,gerichtliche Uberprufung,directive_(eu)_2016_800_en.txt
spezielle Bedurfnisse,sicherstellen,berucksichtigt,directive_(eu)_2016_800_en.txt
WHO,beurteilt,Strafverfahren,directive_(eu)_2016_800_en.txt
Kind,hineinnehmen,konkret das,directive_(eu)_2016_800_en.txt
Kind,variieren je nach,individuelle Beurteilung,directive_(eu)_2016_800_en.txt
konkrete Massnahme,Aufschlag,Strafverfahren,directive_(eu)_2016_800_en.txt
individuelle Beurteilung,getragen,vor der Anklage,directive_(eu)_2016_800_en.txt
individuelle Beurteilung,prasentiert zur Verfugung gestellt,vor Gericht,directive_(eu)_2016_800_en.txt
individuelle Einschatzungen,getragen,des Kindes,directive_(eu)_2016_800_en.txt
Sie,getragen,in Artikeln,directive_(eu)_2016_800_en.txt
individuelle Beurteilung,sicherstellen,strafrechtliche aktualisierte Verfahren,directive_(eu)_2016_800_en.txt
stellte es zur Verfugung,abweichen,Am besten sind kompatible Interessen,directive_(eu)_2016_800_en.txt
WHO,sicherstellen,mentaler Beurteilungszustand,directive_(eu)_2016_800_en.txt
medizinische Untersuchung,Sei,moglich - invasiver Arzt,directive_(eu)_2016_800_en.txt
Ergebnisse,hineingebracht,gegen Beweise Kind,directive_(eu)_2016_800_en.txt
spezifische gesundheitliche Indikationen,getragen,in Artikeln,directive_(eu)_2016_800_en.txt
Abschluss,aufgenommen in,schriftlich,directive_(eu)_2016_800_en.txt
medizinische Assistenz,bereitgestellt,-,directive_(eu)_2016_800_en.txt
wo getragen Umstande,sicherstellen,-,directive_(eu)_2016_800_en.txt
-,Artikel,des Fragens,directive_(eu)_2016_800_en.txt
Interesse,sicherstellen,der Freiheit,directive_(eu)_2016_800_en.txt
welche,aufgenommen in,schriftliche Protokolle,directive_(eu)_2016_800_en.txt
Artikel,ohne sein,audiovisuelle Aufnahme,directive_(eu)_2016_800_en.txt
Entbehrung,sicherstellen,von Zeit,directive_(eu)_2016_800_en.txt
falliges Konto,genommen von,des Falles,directive_(eu)_2016_800_en.txt
Entbehrung,sicherstellen,letzter Ausweg,directive_(eu)_2016_800_en.txt
Festnahme,sicherstellen,durch Gericht,directive_(eu)_2016_800_en.txt
welche,Gegenstand sein,Justizbehorde,directive_(eu)_2016_800_en.txt
Entscheidungen,sicherstellen,unangemessene Verzogerung,directive_(eu)_2016_800_en.txt
kompetente Autoritaten,sicherstellen,zur Inhaftierung,directive_(eu)_2016_800_en.txt
-,Artikel,der Freiheit,directive_(eu)_2016_800_en.txt
Es,sicherstellen,Interesse,directive_(eu)_2016_800_en.txt
WHO,sorgen fur,mit Person,directive_(eu)_2016_800_en.txt
Das,mit Jugendlichen festgehalten,beste gegensatzliche Interessen,directive_(eu)_2016_800_en.txt
Das,angemessen nehmen,der Religion,directive_(eu)_2016_800_en.txt
Mittel,verhaltnismassig sein,der Inhaftierung,directive_(eu)_2016_800_en.txt
Punkte,gelten,als Inhaftierung,directive_(eu)_2016_800_en.txt
Mittel,verhaltnismassig sein,der Freiheit,directive_(eu)_2016_800_en.txt
Das,gelten,solche Situationen,directive_(eu)_2016_800_en.txt
wo Treffen,bemuhen,ermittlungskompatible Anforderungen,directive_(eu)_2016_800_en.txt
Absatz,ohne sein,zum Artikel,directive_(eu)_2016_800_en.txt
-,Artikel,von Fallen,directive_(eu)_2016_800_en.txt
Strafverfahren,nehmen,Due Diligence,directive_(eu)_2016_800_en.txt
Sie,angemessen nehmen,Das,directive_(eu)_2016_800_en.txt
-,-,der Privatsphare,directive_(eu)_2016_800_en.txt
Privatsphare,sicherstellen,Strafverfahren,directive_(eu)_2016_800_en.txt
Aufzeichnungen sicherstellen,angemessen nehmen,im Artikel,directive_(eu)_2016_800_en.txt
. Mitgliedsstaaten,ermutigen,im Artikel,directive_(eu)_2016_800_en.txt
Sie,sicherstellen,in welchem,directive_(eu)_2016_800_en.txt
ihre Identitat,.,Strafverfahren,directive_(eu)_2016_800_en.txt
zustandige Behorde,benennen,Kind begleiten,directive_(eu)_2016_800_en.txt
"Hor auf, Kind",haben,verbleibende Gerichtsverhandlungen,directive_(eu)_2016_800_en.txt
b Prasenz,sicherstellen,Strafverfahren,directive_(eu)_2016_800_en.txt
-,-,personlich,directive_(eu)_2016_800_en.txt
Kinder,sicherstellen,ihre Ansichten,directive_(eu)_2016_800_en.txt
WHO,sicherstellen,in der Richtlinie,directive_(eu)_2016_800_en.txt
WHO,sicherstellen,ausfuhrender Mitgliedstaat,directive_(eu)_2016_800_en.txt
nationales Gesetz,sicherstellen,19 Heilmittel,directive_(eu)_2016_800_en.txt
WHO,sicherstellen,unter Weisung,directive_(eu)_2016_800_en.txt
WHO,sicherstellen,zum Kind,directive_(eu)_2016_800_en.txt
WHO,angemessen nehmen,spezifische Ausbildung,directive_(eu)_2016_800_en.txt
solche Dienstleistungen,ermutigen,unparteiische Art und Weise zur Verfugung gestellt,directive_(eu)_2016_800_en.txt
wie Rechte,schicken,in der Richtlinie,directive_(eu)_2016_800_en.txt
8 sie,treffen,Krankenversicherung,directive_(eu)_2016_800_en.txt
welche,ausgelegt als,des Schutzes,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,bringen in,11. Juni,directive_(eu)_2016_800_en.txt
Sie,informieren,sofort in Auftrag geben,directive_(eu)_2016_800_en.txt
Sie,enthalten,offizielle Veroffentlichung,directive_(eu)_2016_800_en.txt
Methoden,gelegt,Mitgliedsstaaten,directive_(eu)_2016_800_en.txt
Sie,kommunizieren,abgedeckte Richtlinie,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,einreichen,Gesetzesvorschlage,directive_(eu)_2016_800_en.txt
Richtlinie,eintreten in,der Europaischen Union,directive_(eu)_2016_800_en.txt
27 Adressaten,adressiert an,mit Vertragen,directive_(eu)_2016_800_en.txt
-,erledigt bei,in Strassburg,directive_(eu)_2016_800_en.txt
-,Prasident,fur den Rat,directive_(eu)_2016_800_en.txt
2000 Rat,Richtlinien,Strafsachen,directive_2010_64_eu_en.txt
gegenseitige Anerkennung,Zustande,Individual Rechte,directive_2010_64_eu_en.txt
Mitgliedsstaaten,setzt voraus,Strafjustizsysteme,directive_2010_64_eu_en.txt
welche,Ist,gegenseitige Anerkennung,directive_2010_64_eu_en.txt
auch Regeln,arbeiten,Regeln,directive_2010_64_eu_en.txt
5 Artikel,verankern,fairer Prozess,directive_2010_64_eu_en.txt
Artikel,Garantien,der Verteidigung,directive_2010_64_eu_en.txt
Richtlinie,Respekt,Rechte,directive_2010_64_eu_en.txt
1 Gewerkschaft,haben,der Freiheit,directive_2010_64_eu_en.txt
gegenseitige Anerkennung,werden,Individual Rechte,directive_2010_64_eu_en.txt
-,C,-,directive_2010_64_eu_en.txt
-,Position von,7. Oktober,directive_2010_64_eu_en.txt
andere Probleme,-,im Bereich,directive_2010_64_eu_en.txt
Das,gezeigt,andere Mitgliedsstaaten,directive_2010_64_eu_en.txt
12 Richtlinie,bezieht sich auf,der Roadmap,directive_2010_64_eu_en.txt
Es,legt,zwischen den Mitgliedsstaaten,directive_2010_64_eu_en.txt
13 Richtlinie,zieht weiter,9. Marz,directive_2010_64_eu_en.txt
WHO,darin verankert,der Menschenrechte,directive_2010_64_eu_en.txt
Richtlinie,erleichtert,in der Praxis,directive_2010_64_eu_en.txt
Ziel,Ist,fairer Prozess,directive_2010_64_eu_en.txt
15 Rechte,anwenden,fur Richtlinie,directive_2010_64_eu_en.txt
WHO,bieten,des Verfahrens,directive_2010_64_eu_en.txt
Behorde,hat,geringe Vergehen,directive_2010_64_eu_en.txt
welche,Sei,nach der Verkehrskontrolle,directive_2010_64_eu_en.txt
kompetente unvernunftige Behorde,unvernunftig sein,unter Weisung,directive_2010_64_eu_en.txt
Richtlinie,anwenden,nach Berufung,directive_2010_64_eu_en.txt
Starkung,erfordert,von Echr,directive_2010_64_eu_en.txt
Es,erfordert,in Echr,directive_2010_64_eu_en.txt
Artikel,sorgt fur,Grenzdimension,directive_2010_64_eu_en.txt
Mindestregeln,bezieht sich auf,in welchem,directive_2010_64_eu_en.txt
welche,fuhren zu,gegenseitiges Vertrauen,directive_2010_64_eu_en.txt
gemeinsame Mindestregeln,etab,Strafverfahren,directive_2010_64_eu_en.txt
Rat 2009,angenommen,1,directive_2010_64_eu_en.txt
WHO,gefordert,mutmassliche Massnahmenpersonen,directive_2010_64_eu_en.txt
Es,begrusst,Punkt,directive_2010_64_eu_en.txt
europaischer Rat,unterstrichen,1 jj c,directive_2010_64_eu_en.txt
-,Entscheidung,zwischen den Mitgliedsstaaten,directive_2010_64_eu_en.txt
-,26.10.2010,-,directive_2010_64_eu_en.txt
-,Zeitschrift fur,der Europaischen Union,directive_2010_64_eu_en.txt
WHO,sicherstellen,des Verfahrens,directive_2010_64_eu_en.txt
Deutung,ohne bereitgestellt,ohne Verspatung,directive_2010_64_eu_en.txt
lange Zeit,bilden,unter angemessenen Umstanden angemessen,directive_2010_64_eu_en.txt
23 Respekt,Kompromiss,nationales Gesetz,directive_2010_64_eu_en.txt
kompetente Autoritaten,sicherstellen,gegebener Fall,directive_2010_64_eu_en.txt
verdachtige Personen,haben,nationales Gesetz,directive_2010_64_eu_en.txt
solch ein Befund,mit sich bringen,Europaischer Haftbefehl,directive_2010_64_eu_en.txt
kompetente Autoritaten,in der Lage sein,ernannter fahiger Dolmetscher,directive_2010_64_eu_en.txt
welche,untermauert,der Gerechtigkeit,directive_2010_64_eu_en.txt
Rechte sichern,sicherstellen,geeignete Massnahmen ergreifen,directive_2010_64_eu_en.txt
Das,in der Lage sein,mit Videokonferenzausrustung,directive_2010_64_eu_en.txt
29 Richtlinie,ausgewertet in,praktische Erfahrung,directive_2010_64_eu_en.txt
Es,geandert,welche,directive_2010_64_eu_en.txt
Kommunikation,interpretiert in,mit Direktive,directive_2010_64_eu_en.txt
Das,in der Lage sein,ihre Verteidigung,directive_2010_64_eu_en.txt
Kommunikation,interpretiert,des Verfahrens,directive_2010_64_eu_en.txt
Sie,sicherstellen,des Dolmetschers,directive_2010_64_eu_en.txt
Sie,impliziert,des Dolmetschers,directive_2010_64_eu_en.txt
Ihnen erlauben,bereitgestellt in,des Verfahrens,directive_2010_64_eu_en.txt
-,l,der Europaischen Union,directive_2010_64_eu_en.txt
wesentliche Dokumente,erfordert,mit Direktive,directive_2010_64_eu_en.txt
bestimmte Dokumente,als wesentlich erachtet,seine Freiheit,directive_2010_64_eu_en.txt
Sonstige Unterlagen,Ist,des Verfahrens,directive_2010_64_eu_en.txt
solche Datenbanken,erleichtern,juristische Ubersetzer,directive_2010_64_eu_en.txt
besondere Aufmerksamkeit,bezahlt um,27. November,directive_2010_64_eu_en.txt
-,Vertrag uber,zur Europaischen Union,directive_2010_64_eu_en.txt
daruber hinaus,weitergehen,Ziel erreichen,directive_2010_64_eu_en.txt
Mitgliedsstaaten,benachrichtigt,der Richtlinie,directive_2010_64_eu_en.txt
Danemark,nehmen,seine Anwendung,directive_2010_64_eu_en.txt
32 Richtlinie,Satz,Mindestregeln,directive_2010_64_eu_en.txt
Mitgliedsstaaten,in der Lage sein,in der Richtlinie,directive_2010_64_eu_en.txt
eben,unterschreiten,der Europaischen Union,directive_2010_64_eu_en.txt
Das,inter,der Europaischen Union,directive_2010_64_eu_en.txt
Union,adoptieren,1 jj c,directive_2010_64_eu_en.txt
-,Artikel,-,directive_2010_64_eu_en.txt
Richtlinie,legt,Europaischer Haftbefehl,directive_2010_64_eu_en.txt
Sie,gelten,der Berufung,directive_2010_64_eu_en.txt
Es,nationale Auswirkungen haben,Strafverfahren,directive_2010_64_eu_en.txt
WHO,sicherstellen,wahrend der polizeilichen Befragung,directive_2010_64_eu_en.txt
Pratation,sicherstellen,der Berufung,directive_2010_64_eu_en.txt
Verfahren wer,l,.,directive_2010_64_eu_en.txt
verdachtige Sicherstellungspersonen,sein von,der Verteidigung,directive_2010_64_eu_en.txt
"Stellen Sie sicher, dass sie unbedingt erforderlich sind",sicherstellen,des Verfahrens,directive_2010_64_eu_en.txt
wesentliche Dokumente,enthalten,seine Freiheit,directive_2010_64_eu_en.txt
Rechts,beinhaltet entsprechende,Horbehinderungen,directive_2010_64_eu_en.txt
Qualitat beschweren,sicherstellen,des Verfahrens,directive_2010_64_eu_en.txt
korperliche Anwesenheit,gebraucht,des Verfahrens,directive_2010_64_eu_en.txt
kompetente Autoritaten,sicherstellen,solche 3,directive_2010_64_eu_en.txt
anderes Dokument,entscheiden,gegebener Fall,directive_2010_64_eu_en.txt
verdachtige Personen,einreichen,bewirken,directive_2010_64_eu_en.txt
welche,Sei,gegen sie,directive_2010_64_eu_en.txt
Es,.,der Europaischen Union,directive_2010_64_eu_en.txt
mundliche Ubersetzung,bereitgestellt,des Verfahrens,directive_2010_64_eu_en.txt
Verzicht,Gegenstand sein,des Verzichts,directive_2010_64_eu_en.txt
Mitgliedsstaaten,treffen,des Verfahrens,directive_2010_64_eu_en.txt
sorgen fur die Interpretation,Artikel,unter Artikel,directive_2010_64_eu_en.txt
WHO,bemuhen,unabhangige Ubersetzer,directive_2010_64_eu_en.txt
ein solches Register,zur Verfugung gestellt,Rechtsbeistand,directive_2010_64_eu_en.txt
Dolmetscher,sicherstellen,unter Weisung,directive_2010_64_eu_en.txt
Mitgliedsstaaten,Anfrage,effiziente Kommunikation,directive_2010_64_eu_en.txt
2 Mitgliedstaaten,ubertragen,in Auftrag geben,directive_2010_64_eu_en.txt
Sie,enthalten,offizielle Veroffentlichung,directive_2010_64_eu_en.txt
Methoden,gelegt,Mitgliedsstaaten,directive_2010_64_eu_en.txt
Mitgliedsstaaten,einreichen,Gesetzesvorschlage,directive_2010_64_eu_en.txt
Richtlinie,eintreten in,der Europaischen Union,directive_2010_64_eu_en.txt
280/7 Artikel,-,12-Adressaten-Richtlinie,directive_2010_64_eu_en.txt
-,adressiert an,mit Vertragen,directive_2010_64_eu_en.txt
-,erledigt bei,in Strassburg,directive_2010_64_eu_en.txt
-,Prasident fur,fur den Rat,directive_2010_64_eu_en.txt
en Amtsblatt,Richtlinien,Individual Rechte,directive_2012_13_eu_en.txt
Mitgliedsstaaten,setzt voraus,Strafjustizsysteme,directive_2012_13_eu_en.txt
welche,Ist,gegenseitige Anerkennung,directive_2012_13_eu_en.txt
auch Regeln,arbeiten,Regeln,directive_2012_13_eu_en.txt
-,Artikel,der Menschenrechte,directive_2012_13_eu_en.txt
-,verankern,fairer Prozess,directive_2012_13_eu_en.txt
Artikel,Garantien,der Verteidigung,directive_2012_13_eu_en.txt
2000 Rat,angenommen,Strafsachen,directive_2012_13_eu_en.txt
Artikel zur gegenseitigen Anerkennung,Zustande,der Person,directive_2012_13_eu_en.txt
Einschrankungen,uberschreiten,der Menschenrechte,directive_2012_13_eu_en.txt
Das,gezeigt,andere Mitgliedsstaaten,directive_2012_13_eu_en.txt
-,C,-,directive_2012_13_eu_en.txt
-,Position von,26. April,directive_2012_13_eu_en.txt
8) Starkung,erfordert detaillierte,echr,directive_2012_13_eu_en.txt
2 Gewerkschaft,Satz,der Freiheit,directive_2012_13_eu_en.txt
des Vertrags,werden,Grenzdimension,directive_2012_13_eu_en.txt
Mindestregeln,bezieht sich auf,in welchem,directive_2012_13_eu_en.txt
welche,fuhren zu,gegenseitiges Vertrauen,directive_2012_13_eu_en.txt
gemeinsame Mindestregeln,etab,Strafverfahren,directive_2012_13_eu_en.txt
Rat 2009,.,Nachfolgend Roadmap,directive_2012_13_eu_en.txt
Angeklagter wer,gefordert,fur Massnahmenverdachtige,directive_2012_13_eu_en.txt
also bezeichnend dafur,betont,mit Prioritaten,directive_2012_13_eu_en.txt
seine Vorteile,fuhlte sich voll und ganz an,als Ganzes entworfen,directive_2012_13_eu_en.txt
Es,begrusst,im Dienste der Burger,directive_2012_13_eu_en.txt
andere Probleme,unterstrichen,im Bereich,directive_2012_13_eu_en.txt
erste Massnahme,War,Strafverfahren,directive_2012_13_eu_en.txt
14 Richtlinie,bezieht sich auf,der Roadmap,directive_2012_13_eu_en.txt
angewandt,legt,zwischen den Mitgliedsstaaten,directive_2012_13_eu_en.txt
-,l,-,directive_2012_13_eu_en.txt
Richtlinie vom 1.6.2012,baut auf,der Menschenrechte,directive_2012_13_eu_en.txt
Begriffsvorwurf,gebraucht,6(1 Echr,directive_2012_13_eu_en.txt
Es,angekundigt,in 2010,directive_2012_13_eu_en.txt
