de_Subject,de_Predicate,de_Object,Triple_ID
einschlagig bestimmung,sollt,festnahme im festnahme gelten,Directive_(EU)_2016_800_de.pdf
anwen,sollt,vollendet,Directive_(EU)_2016_800_de.pdf
bevo diese,wird,vollendet,Directive_(EU)_2016_800_de.pdf
kindes aufgr recherc belege,sind,-,Directive_(EU)_2016_800_de.pdf
als eit menschen,sollte,werden,Directive_(EU)_2016_800_de.pdf
person,sollt,tlinie als tlinie gelten,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
-,3)Richtlinie,-,Directive_(EU)_2016_800_de.pdf
vom parlaments er,4)Richtlinie,auf dritten mit,Directive_(EU)_2016_800_de.pdf
-,5)Richtlinie,-,Directive_(EU)_2016_800_de.pdf
-,6)Rahmenbeschluss,-,Directive_(EU)_2016_800_de.pdf
rich tlinie,sollt,finden,Directive_(EU)_2016_800_de.pdf
person freiheit,sollt,entzog,Directive_(EU)_2016_800_de.pdf
die,ist,-,Directive_(EU)_2016_800_de.pdf
dies,Strassenverk,-,Directive_(EU)_2016_800_de.pdf
die,sein,werden,Directive_(EU)_2016_800_de.pdf
in solc es,ware,nach zu gewahrleist,Directive_(EU)_2016_800_de.pdf
in rech tsbehelf,ist,an zu verweisen,Directive_(EU)_2016_800_de.pdf
richtlinie,sollt,finden,Directive_(EU)_2016_800_de.pdf
bestimmt zuwiderhandlung,gelten,gegen,Directive_(EU)_2016_800_de.pdf
in es,ware,en recht,Directive_(EU)_2016_800_de.pdf
richtlinie,sollte,in anwen finden,Directive_(EU)_2016_800_de.pdf
richtlinie,sollte,fur gelten,Directive_(EU)_2016_800_de.pdf
auf die,sollt,zu fuhren,Directive_(EU)_2016_800_de.pdf
bei richtlinie en,sollt,bestimmungen,Directive_(EU)_2016_800_de.pdf
zu tragen zu vorlieg,erga,tigkeit en rechnung,Directive_(EU)_2016_800_de.pdf
-,Informationen,kinder,Directive_(EU)_2016_800_de.pdf
sollt,-,werden,Directive_(EU)_2016_800_de.pdf
verfahrensschri tte dies,sollt,auf behorden erhalten,Directive_(EU)_2016_800_de.pdf
informationen,abhang,-,Directive_(EU)_2016_800_de.pdf
sollt,geeigne,-,Directive_(EU)_2016_800_de.pdf
bei solc,erhalt,-,Directive_(EU)_2016_800_de.pdf
wird freiheit,sollt,gemass e ausgehandigt,Directive_(EU)_2016_800_de.pdf
-,enthalten,hinweise,Directive_(EU)_2016_800_de.pdf
en,sollten,auch trager,Directive_(EU)_2016_800_de.pdf
-,rrichten,-,Directive_(EU)_2016_800_de.pdf
unterrichtung,sollte,detaillier verfahren,Directive_(EU)_2016_800_de.pdf
als von,sollt,werden,Directive_(EU)_2016_800_de.pdf
konnten trager,ist,sein,Directive_(EU)_2016_800_de.pdf
gemass die,ten,ortung uber mittelt werden,Directive_(EU)_2016_800_de.pdf
erford,sollte,zu verfahrens fuhren,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
personen,haben,rech,Directive_(EU)_2016_800_de.pdf
-,sind,vollstandig zu verstehen,Directive_(EU)_2016_800_de.pdf
von,sollt,werden,Directive_(EU)_2016_800_de.pdf
her rechtsbeist and von,en,worden,Directive_(EU)_2016_800_de.pdf
bereitstell en dies,e,-,Directive_(EU)_2016_800_de.pdf
gemass voraus kind,setzt,gemass hat,Directive_(EU)_2016_800_de.pdf
bestimmung,sollt,gemass kindes finden,Directive_(EU)_2016_800_de.pdf
gemass char auswirk,sollten,auf,Directive_(EU)_2016_800_de.pdf
bestimmung,sollten,unver tlinie zuglich,Directive_(EU)_2016_800_de.pdf
werden sie,finden,davon in gesetzt,Directive_(EU)_2016_800_de.pdf
von,bedeute,wahrend vertreten,Directive_(EU)_2016_800_de.pdf
vorsieht so rechts beistand,sollte,sein,Directive_(EU)_2016_800_de.pdf
gemass rich eu,bedeutet,muss,Directive_(EU)_2016_800_de.pdf
die,umfasst,situationen,Directive_(EU)_2016_800_de.pdf
ermittlungen,Festst,sollt,Directive_(EU)_2016_800_de.pdf
-,ellungen,festzustell sicherheitsfragen,Directive_(EU)_2016_800_de.pdf
-,oder,-,Directive_(EU)_2016_800_de.pdf
es,sollt,aussage,Directive_(EU)_2016_800_de.pdf
-,hend,-,Directive_(EU)_2016_800_de.pdf
-,und,-,Directive_(EU)_2016_800_de.pdf
befragung durc befragung polizei,nimmt,bezug,Directive_(EU)_2016_800_de.pdf
ist es,sollt,unterstutzt,Directive_(EU)_2016_800_de.pdf
wobei falles kindeswohl,sollt,vorrangig sein,Directive_(EU)_2016_800_de.pdf
sie,sollt,t,Directive_(EU)_2016_800_de.pdf
ist es,sollte,konnte,Directive_(EU)_2016_800_de.pdf
-,.,-,Directive_(EU)_2016_800_de.pdf
-,haben,lichk eit regelung,Directive_(EU)_2016_800_de.pdf
-,e,-,Directive_(EU)_2016_800_de.pdf
vorubergehend von,abzuweic,durch vorzusehe,Directive_(EU)_2016_800_de.pdf
handeln,mussen,strafverfahrens in strafverfahrens auf,Directive_(EU)_2016_800_de.pdf
-,ren,-,Directive_(EU)_2016_800_de.pdf
-,einzuholen,in auf,Directive_(EU)_2016_800_de.pdf
befragung,sollte,zu mussen,Directive_(EU)_2016_800_de.pdf
es,er,befragungen,Directive_(EU)_2016_800_de.pdf
-,Auswirkung,dafur strafverfahrens durchzufuhren,Directive_(EU)_2016_800_de.pdf
missbrauch,en,h irreparabel grundsatzlic h beeintrachtig,Directive_(EU)_2016_800_de.pdf
sie,en,iktiv nutzen,Directive_(EU)_2016_800_de.pdf
ung,Straf,verfahren,Directive_(EU)_2016_800_de.pdf
abweic hung von,en,kann,Directive_(EU)_2016_800_de.pdf
grundleg,ist,-,Directive_(EU)_2016_800_de.pdf
eil,Bestandt,-,Directive_(EU)_2016_800_de.pdf
en,sollt,daher vertraulic,Directive_(EU)_2016_800_de.pdf
-,Treffen,-,Directive_(EU)_2016_800_de.pdf
-,en,-,Directive_(EU)_2016_800_de.pdf
recht,lasst,ist,Directive_(EU)_2016_800_de.pdf
handeln,sollt,im richtlinie gelten,Directive_(EU)_2016_800_de.pdf
ist diese,hrleisten,fur vertraulic,Directive_(EU)_2016_800_de.pdf
es,eistand,zu lesen,Directive_(EU)_2016_800_de.pdf
zustimmt korrespondenz,lasst,wird,Directive_(EU)_2016_800_de.pdf
tlinie,lasst,durc hbrec,Directive_(EU)_2016_800_de.pdf
wonach union aeuv teil,lasst,z sicherheit beruhren,Directive_(EU)_2016_800_de.pdf
damit grad,sollten,werden,Directive_(EU)_2016_800_de.pdf
insbesondere personlichk,sollt,werden,Directive_(EU)_2016_800_de.pdf
kind,-,zu ksichtigen,Directive_(EU)_2016_800_de.pdf
sie,konnte,auf gebracht,Directive_(EU)_2016_800_de.pdf
en massnahmen,sollten,her bereitstellu ng unterstutzung,Directive_(EU)_2016_800_de.pdf
auf ssen,ten,sind,Directive_(EU)_2016_800_de.pdf
l 132 5,DE,massnahme,Directive_(EU)_2016_800_de.pdf
vorausgesetzt zu bedingunge,sollt,richtlinie werden,Directive_(EU)_2016_800_de.pdf
-,Phase,-,Directive_(EU)_2016_800_de.pdf
-,emessenheit,-,Directive_(EU)_2016_800_de.pdf
begutachtung,konnen,werden,Directive_(EU)_2016_800_de.pdf
daraus verfahrens informationen,nden,konnen,Directive_(EU)_2016_800_de.pdf
bei begutachtung vorzulegen dies,mog,anklagesc,Directive_(EU)_2016_800_de.pdf
ist hungshaf warten,konnte,haft bedeuten,Directive_(EU)_2016_800_de.pdf
wird dies,sollten,tat fur tat befunden,Directive_(EU)_2016_800_de.pdf
-,werden,in ksichtigt,Directive_(EU)_2016_800_de.pdf
fall,einschliess,werden,Directive_(EU)_2016_800_de.pdf
ist sie,ist,sich,Directive_(EU)_2016_800_de.pdf
sie,sollt,auf haben,Directive_(EU)_2016_800_de.pdf
von,sollt,zierten,Directive_(EU)_2016_800_de.pdf
insbesondere anzeichen,ortung,anlass,Directive_(EU)_2016_800_de.pdf
fur die,sollten,ungen festlegen,Directive_(EU)_2016_800_de.pdf
in antrage,konnten,in ereicht,Directive_(EU)_2016_800_de.pdf
sie,konnen,immer verstehen,Directive_(EU)_2016_800_de.pdf
-,e,schut,Directive_(EU)_2016_800_de.pdf
wobei kindesw,werden,vorrangig sein,Directive_(EU)_2016_800_de.pdf
tlinie,verpflicht,visuell aufzuzeichnen,Directive_(EU)_2016_800_de.pdf
verschiebe n es,sollt,befragung,Directive_(EU)_2016_800_de.pdf
die,sollt,rechnung,Directive_(EU)_2016_800_de.pdf
schutzbedur freiheit,sind,entzog,Directive_(EU)_2016_800_de.pdf
-,fur,-,Directive_(EU)_2016_800_de.pdf
verfahrens vor frage betreff,ung,hat,Directive_(EU)_2016_800_de.pdf
mitg,konnen praktische,polizeig ewahrsams treffen,Directive_(EU)_2016_800_de.pdf
in dies,bleiben,in festzunehmen,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
die,sollt,mog ergreifen,Directive_(EU)_2016_800_de.pdf
folg,konnten,kindes an,Directive_(EU)_2016_800_de.pdf
-,werden,handeln,Directive_(EU)_2016_800_de.pdf
von kindes die,sollt,regelma uberprufung,Directive_(EU)_2016_800_de.pdf
-,he,-,Directive_(EU)_2016_800_de.pdf
-,in,-,Directive_(EU)_2016_800_de.pdf
kind,wurde,kindes antrag,Directive_(EU)_2016_800_de.pdf
massnahmen,sollt,werden,Directive_(EU)_2016_800_de.pdf
anderes,sollt,icht,Directive_(EU)_2016_800_de.pdf
getrennt zu getrennt dies,sollt,es,Directive_(EU)_2016_800_de.pdf
bei n,Schutzbedur,anges,Directive_(EU)_2016_800_de.pdf
wie zu sie,acht,behandelt,Directive_(EU)_2016_800_de.pdf
kinder,sollten,zu haben,Directive_(EU)_2016_800_de.pdf
in kinder,sollten,mit angesehen,Directive_(EU)_2016_800_de.pdf
denn ingen dies,sollte,widersprache,Directive_(EU)_2016_800_de.pdf
von mkeit,sollt,unversehr,Directive_(EU)_2016_800_de.pdf
es,nen,icht,Directive_(EU)_2016_800_de.pdf
personen,obliegt,als svorsc gelten,Directive_(EU)_2016_800_de.pdf
die,wird,als eing estuf werden,Directive_(EU)_2016_800_de.pdf
mitg,sollten,ergreifen,Directive_(EU)_2016_800_de.pdf
massnahmen,sollt,s auf fami gewahrleisten,Directive_(EU)_2016_800_de.pdf
en,sollt,haben,Directive_(EU)_2016_800_de.pdf
ausnahmsweise einschrankung,aufrechtzuerhalt,en erforderlic,Directive_(EU)_2016_800_de.pdf
mitg n,sollten,achtung,Directive_(EU)_2016_800_de.pdf
in en,sollten,in kindes absehen,Directive_(EU)_2016_800_de.pdf
mitg,sind,kinder,Directive_(EU)_2016_800_de.pdf
gegeb enenfalls mitg liedstaat,sollten,in freiheitsentzugs ergreifen,Directive_(EU)_2016_800_de.pdf
massnahmen,sollt,sein,Directive_(EU)_2016_800_de.pdf
die,n,-,Directive_(EU)_2016_800_de.pdf
verfahrensablauf,trage,e sind,Directive_(EU)_2016_800_de.pdf
personen,sollt,werden,Directive_(EU)_2016_800_de.pdf
-,Beruc,-,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
-,Privatsphare,kinder in kinder sollt,Directive_(EU)_2016_800_de.pdf
unter wiedereing,Mitg,zu erleicht zu ern,Directive_(EU)_2016_800_de.pdf
gerichten,sollt,unter hkeit durc hzufuhren,Directive_(EU)_2016_800_de.pdf
dies,gilt,-,Directive_(EU)_2016_800_de.pdf
an verantwor tung sie,sollten,zu lassen,Directive_(EU)_2016_800_de.pdf
denn dies,sollte,ist,Directive_(EU)_2016_800_de.pdf
mitg,runge,vorkeh,Directive_(EU)_2016_800_de.pdf
unter person,vorsehen,von ausg werden,Directive_(EU)_2016_800_de.pdf
tung vorubergehend zur trager,betreffen,mocht,Directive_(EU)_2016_800_de.pdf
kindesw,wird,berucksichtigt,Directive_(EU)_2016_800_de.pdf
der,sollt,zu lassen,Directive_(EU)_2016_800_de.pdf
trager,gehor,sein,Directive_(EU)_2016_800_de.pdf
wahrend vom,sollt,zu werden,Directive_(EU)_2016_800_de.pdf
recht,ist,zur zu erscheinen,Directive_(EU)_2016_800_de.pdf
erwachsenen abschr,ergreifen,vorladung uber,Directive_(EU)_2016_800_de.pdf
-,sollten,-,Directive_(EU)_2016_800_de.pdf
-,Regelungen,kindes bei kindes festlegen,Directive_(EU)_2016_800_de.pdf
voruberg ehend voruberg von,konnten,werden,Directive_(EU)_2016_800_de.pdf
-,Recht,-,Directive_(EU)_2016_800_de.pdf
fur die,sollten,festnahme im festnahme gelten,Directive_(EU)_2016_800_de.pdf
verfahren,spielen,n in strafsac rolle,Directive_(EU)_2016_800_de.pdf
einhaltung,ist,-,Directive_(EU)_2016_800_de.pdf
kinder die,sollt,nehmen,Directive_(EU)_2016_800_de.pdf
ellen richt,sollten geeigne,mit en sach,Directive_(EU)_2016_800_de.pdf
-,64,bearbeit,Directive_(EU)_2016_800_de.pdf
einsch daten,mussen,werden,Directive_(EU)_2016_800_de.pdf
kinder freiheit,Verwaltungsdaten,worden,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
-,te,in rech,Directive_(EU)_2016_800_de.pdf
-,wegen,-,Directive_(EU)_2016_800_de.pdf
die,.,en te,Directive_(EU)_2016_800_de.pdf
richtlinie,sollt,werden,Directive_(EU)_2016_800_de.pdf
mit mindestv,werden,elegt,Directive_(EU)_2016_800_de.pdf
en,auszuweiten,schutzniveau,Directive_(EU)_2016_800_de.pdf
zniveau,darf,-,Directive_(EU)_2016_800_de.pdf
heidungen die,Entsc,werden,Directive_(EU)_2016_800_de.pdf
mitg schutzniveau,sollt,fur mensc liegen,Directive_(EU)_2016_800_de.pdf
union,kann,in itatspr werden,Directive_(EU)_2016_800_de.pdf
-,t,-,Directive_(EU)_2016_800_de.pdf
richtlinie,geht,uber,Directive_(EU)_2016_800_de.pdf
mitg,iligen,zu,Directive_(EU)_2016_800_de.pdf
danemark,iligt,zu,Directive_(EU)_2016_800_de.pdf
in dokument zusammenhang,haben,verpflichtet,Directive_(EU)_2016_800_de.pdf
eber,halt,ubermittlung,Directive_(EU)_2016_800_de.pdf
mit mindestvor,schri,-,Directive_(EU)_2016_800_de.pdf
fur a  verdachti,sind,-,Directive_(EU)_2016_800_de.pdf
ucht,",,",-,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
richtlinie,gilt,-,Directive_(EU)_2016_800_de.pdf
bis zur bis verdachti,Frage,hat,Directive_(EU)_2016_800_de.pdf
-,Verurteilung,-,Directive_(EU)_2016_800_de.pdf
fur die,",",-,Directive_(EU)_2016_800_de.pdf
tlinie er,.,liesslich person ssen,Directive_(EU)_2016_800_de.pdf
person,konnen,vollendet,Directive_(EU)_2016_800_de.pdf
fur die,gilt,zu personen werden,Directive_(EU)_2016_800_de.pdf
richtlinie,beruhr,hriften,Directive_(EU)_2016_800_de.pdf
in  freiheitsentzug,findet,in strafsac anwendung,Directive_(EU)_2016_800_de.pdf
freiheit,find,entzogen,Directive_(EU)_2016_800_de.pdf
-,Ausdr,fur richtlinie et,Directive_(EU)_2016_800_de.pdf
verantwor tung,Person,-,Directive_(EU)_2016_800_de.pdf
kindes die,Person,uber tragen,Directive_(EU)_2016_800_de.pdf
hat person,gilt,vollendet,Directive_(EU)_2016_800_de.pdf
liedstaat en,stellen,sicher kinder,Directive_(EU)_2016_800_de.pdf
werden sie,werden,davon in gesetzt,Directive_(EU)_2016_800_de.pdf
ausserdem er kinder,stellen,werden,Directive_(EU)_2016_800_de.pdf
rech,ortung,sind in auf,Directive_(EU)_2016_800_de.pdf
-,eistand,-,Directive_(EU)_2016_800_de.pdf
zu ersch vi  rech,Recht,t personlic,Directive_(EU)_2016_800_de.pdf
-,c,-,Directive_(EU)_2016_800_de.pdf
-,-,-,Directive_(EU)_2016_800_de.pdf
informationen,stellen,wurden,Directive_(EU)_2016_800_de.pdf
-,/,-,Directive_(EU)_2016_800_de.pdf
sicher erklar,stellen,in is enthalt,Directive_(EU)_2016_800_de.pdf
-,Recht,-,Directive_(EU)_2016_800_de.pdf
auf deren kind,stellen,gemass recht,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
als unterrichtung,werden,wurde b  ist,Directive_(EU)_2016_800_de.pdf
c  umstande,konnte,erheblich gefahrden,Directive_(EU)_2016_800_de.pdf
behorde,llt,informationen,Directive_(EU)_2016_800_de.pdf
person,n,auch vertreter,Directive_(EU)_2016_800_de.pdf
gemass die,wird,tung uber verantwor tung mittelt,Directive_(EU)_2016_800_de.pdf
-,1,-,Directive_(EU)_2016_800_de.pdf
die,sind,-,Directive_(EU)_2016_800_de.pdf
-,haben,recht,Directive_(EU)_2016_800_de.pdf
recht,wird,artikel beeintrach artikel tigt,Directive_(EU)_2016_800_de.pdf
sie,stellen,wahr nehmen,Directive_(EU)_2016_800_de.pdf
werden sie,stellen,davon in gesetzt,Directive_(EU)_2016_800_de.pdf
von,werden,unterstutzt,Directive_(EU)_2016_800_de.pdf
polizei,h,-,Directive_(EU)_2016_800_de.pdf
-,von,-,Directive_(EU)_2016_800_de.pdf
-,zuglich,-,Directive_(EU)_2016_800_de.pdf
sie,wurden,in geladen,Directive_(EU)_2016_800_de.pdf
-,heinen,-,Directive_(EU)_2016_800_de.pdf
durch folge,gehort,zur,Directive_(EU)_2016_800_de.pdf
en,stellen,unter zusammenzutreff,Directive_(EU)_2016_800_de.pdf
-,Justizbehorden,-,Directive_(EU)_2016_800_de.pdf
werden rechtsbeist,stellen,teilnehmen,Directive_(EU)_2016_800_de.pdf
teilnahme,.,n rech ts ausubung,Directive_(EU)_2016_800_de.pdf
he teilnahme,r,hat,Directive_(EU)_2016_800_de.pdf
-,DE,-,Directive_(EU)_2016_800_de.pdf
sind anwes enheit,stellen,werden,Directive_(EU)_2016_800_de.pdf
-,Kinder,-,Directive_(EU)_2016_800_de.pdf
he kommunikation,Treffen,-,Directive_(EU)_2016_800_de.pdf
ist kindeswoh,Recht,vorr von,Directive_(EU)_2016_800_de.pdf
straf tat falles die,ist,rechnung,Directive_(EU)_2016_800_de.pdf
werden  sie,stellen,sich,Directive_(EU)_2016_800_de.pdf
ist es,stellen,wahr nehmen,Directive_(EU)_2016_800_de.pdf
lichen kind,mussen,fur zu best,Directive_(EU)_2016_800_de.pdf
nur mitg liedstaat,Recht,-,Directive_(EU)_2016_800_de.pdf
unter )  dies,er,-,Directive_(EU)_2016_800_de.pdf
-,ist,-,Directive_(EU)_2016_800_de.pdf
handeln,ist,auf,Directive_(EU)_2016_800_de.pdf
sicher behorden,stellen,l beruc tigen,Directive_(EU)_2016_800_de.pdf
von,kann,werden,Directive_(EU)_2016_800_de.pdf
-,1,-,Directive_(EU)_2016_800_de.pdf
sicher bedurfnisse,stellen,auf berucksichtig werden,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
die,werden,in unterzogen,Directive_(EU)_2016_800_de.pdf
insbesondere personlic,wird,getrag,Directive_(EU)_2016_800_de.pdf
wird kind,richten,in begutachtung rzogen,Directive_(EU)_2016_800_de.pdf
a  massnahmen,festlegen,sollt,Directive_(EU)_2016_800_de.pdf
massnahmen,ten,massnahme,Directive_(EU)_2016_800_de.pdf
begutach,eerhebung,erfolg,Directive_(EU)_2016_800_de.pdf
zur hauptverhandlung gung,t.,werden,Directive_(EU)_2016_800_de.pdf
-,r,werden,Directive_(EU)_2016_800_de.pdf
-,.,einbeziehung,Directive_(EU)_2016_800_de.pdf
sie,werden,-,Directive_(EU)_2016_800_de.pdf
sicher begutachtung,stellen,wird,Directive_(EU)_2016_800_de.pdf
mitg liedstaaten,ung,zur,Directive_(EU)_2016_800_de.pdf
dies,ist,-,Directive_(EU)_2016_800_de.pdf
geistig verfassung,stellen,werden,Directive_(EU)_2016_800_de.pdf
eingreif,ten,sein,Directive_(EU)_2016_800_de.pdf
kind,werden,kindes ist,Directive_(EU)_2016_800_de.pdf
dann he anzeic hen,wird,untersuc,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
-,wird,-,Directive_(EU)_2016_800_de.pdf
h unterstutzung,wird medizinische,geleist,Directive_(EU)_2016_800_de.pdf
umstande,stellen,dies,Directive_(EU)_2016_800_de.pdf
-,1,-,Directive_(EU)_2016_800_de.pdf
kindeswohl,stellen,freiheit,Directive_(EU)_2016_800_de.pdf
schrif das,wird,zeichnet,Directive_(EU)_2016_800_de.pdf
ohne aufzeichnung,lasst,zum kindes zu stellen,Directive_(EU)_2016_800_de.pdf
sicher freiheitsentzug,stellen,wird,Directive_(EU)_2016_800_de.pdf
nung,ist,zu tragen,Directive_(EU)_2016_800_de.pdf
als haft es,stellen,wird,Directive_(EU)_2016_800_de.pdf
die,stellen,en entsc beruht,Directive_(EU)_2016_800_de.pdf
derar entscheidung,unterliegt,-,Directive_(EU)_2016_800_de.pdf
von kindes die,Gericht,-,Directive_(EU)_2016_800_de.pdf
heidungen,stellen,werden,Directive_(EU)_2016_800_de.pdf
die,stellen,rnative,Directive_(EU)_2016_800_de.pdf
-,1,-,Directive_(EU)_2016_800_de.pdf
von,stellen,icht,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
in polizeig von,stellen,getrennt untergebrac,Directive_(EU)_2016_800_de.pdf
es,wird,kindesw ohl,Directive_(EU)_2016_800_de.pdf
-,icht,anderes,Directive_(EU)_2016_800_de.pdf
erfolgt die,ist,ausnahmsweise dies,Directive_(EU)_2016_800_de.pdf
mit kinder die,sehen,ingen,Directive_(EU)_2016_800_de.pdf
denn dies,Erwachs,icht,Directive_(EU)_2016_800_de.pdf
so mitg,treffen,befinden sich,Directive_(EU)_2016_800_de.pdf
-,gewahrleisten,a  entwicklun,Directive_(EU)_2016_800_de.pdf
mit entwicklun,gewahrleist,ung in  achtung,Directive_(EU)_2016_800_de.pdf
gemass vorkehrungen,mussen,haft sein,Directive_(EU)_2016_800_de.pdf
unterabsatz,gilt,-,Directive_(EU)_2016_800_de.pdf
vorkehr,mussen,freiheitsentzugs ange freiheitsentzugs messen,Directive_(EU)_2016_800_de.pdf
nur freiheitsentzugs dies,gilt,-,Directive_(EU)_2016_800_de.pdf
dies,bemuhen,konnen,Directive_(EU)_2016_800_de.pdf
absatz,gilt,-,Directive_(EU)_2016_800_de.pdf
-,Bearbeitung,-,Directive_(EU)_2016_800_de.pdf
bete,ergreifen,werden,Directive_(EU)_2016_800_de.pdf
sie,ergreifen,hliesslich erigkeit en die,Directive_(EU)_2016_800_de.pdf
sicher privatsphare,stellen,wird,Directive_(EU)_2016_800_de.pdf
sie,oder,zu entscheide ein zu verhandlung,Directive_(EU)_2016_800_de.pdf
-,n,-,Directive_(EU)_2016_800_de.pdf
-,Massnahmen,werden,Directive_(EU)_2016_800_de.pdf
unter medien nahe sie,lege,ziele,Directive_(EU)_2016_800_de.pdf
-,Recht,-,Directive_(EU)_2016_800_de.pdf
an sie,stellen,zu lassen,Directive_(EU)_2016_800_de.pdf
nach erreichba r identitat,hat,ist  aufgr,Directive_(EU)_2016_800_de.pdf
umstande strafverfahren,wurde,werden,Directive_(EU)_2016_800_de.pdf
behorde,geeignet,unter kindeswoh person,Directive_(EU)_2016_800_de.pdf
person,kann,n ichtung sein,Directive_(EU)_2016_800_de.pdf
bei vom,Fallen,zu lassen,Directive_(EU)_2016_800_de.pdf
igt,stellen,21.5.2016,Directive_(EU)_2016_800_de.pdf
-,Recht,daran,Directive_(EU)_2016_800_de.pdf
sicher kinder,stellen,an,Directive_(EU)_2016_800_de.pdf
-,eit,meinung,Directive_(EU)_2016_800_de.pdf
die,stellen,auf haben,Directive_(EU)_2016_800_de.pdf
-,Verfahren,-,Directive_(EU)_2016_800_de.pdf
fur die,stellen,entsprechend ungsmitg gelten,Directive_(EU)_2016_800_de.pdf
sicher bestimmung,stellen,gemass rechts gewahrleisten,Directive_(EU)_2016_800_de.pdf
in die,samer,gesucht,Directive_(EU)_2016_800_de.pdf
-,Artikel,-,Directive_(EU)_2016_800_de.pdf
en,stellen,kontakts mit kontakts angeme,Directive_(EU)_2016_800_de.pdf
-,erhalt,in auf,Directive_(EU)_2016_800_de.pdf
die,ergreife,zu haben,Directive_(EU)_2016_800_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_800_de.pdf
fur mitg,ergreifen,bearbeit,Directive_(EU)_2016_800_de.pdf
-,hen,-,Directive_(EU)_2016_800_de.pdf
-,von,-,Directive_(EU)_2016_800_de.pdf
sie,erhalt,unvoreingenommen respektvol ausfuhren,Directive_(EU)_2016_800_de.pdf
sind,Daten,worden,Directive_(EU)_2016_800_de.pdf
kosten,kommen,werden,Directive_(EU)_2016_800_de.pdf
nationen uber liedstaat en die,ist,beschrankt,Directive_(EU)_2016_800_de.pdf
-,Artikel,-,Directive_(EU)_2016_800_de.pdf
iften in kraf die,setzen,verwaltungsvo,Directive_(EU)_2016_800_de.pdf
sie,setzen,kommission,Directive_(EU)_2016_800_de.pdf
erlassen sie,.,bei auf,Directive_(EU)_2016_800_de.pdf
en,regeln,einzelheiten,Directive_(EU)_2016_800_de.pdf
sie,teilen,auf richt,Directive_(EU)_2016_800_de.pdf
kommission,mittelt,-,Directive_(EU)_2016_800_de.pdf
die,Bericht,ergr iffen haben,Directive_(EU)_2016_800_de.pdf
rich tlinie,tritt,-,Directive_(EU)_2016_800_de.pdf
tlinie,ist,-,Directive_(EU)_2016_800_de.pdf
-,hehen,-,Directive_(EU)_2016_800_de.pdf
-,EU,-,Directive_2010_64_EU_de.pdf
-,RATES,-,Directive_2010_64_EU_de.pdf
-,gestutzt,-,Directive_2010_64_EU_de.pdf
union,hat,zum freiheit gesetzt,Directive_2010_64_EU_de.pdf
anerkennung,soll,einzelnen durch einzelnen erleichtern,Directive_2010_64_EU_de.pdf
rat,klang,-,Directive_2010_64_EU_de.pdf
-,heisst,auch verstarken  3,Directive_2010_64_EU_de.pdf
umsetzung,setzt,-,Directive_2010_64_EU_de.pdf
mass,hangt,an von,Directive_2010_64_EU_de.pdf
fur rechte die,gehoren,anwendung,Directive_2010_64_EU_de.pdf
nur justizbehorden,kann,justizbehorden anderer,Directive_2010_64_EU_de.pdf
in voraus sondern rechtsvorschriften,setzt,werden,Directive_2010_64_EU_de.pdf
charta union recht,ist,auf verankert,Directive_2010_64_EU_de.pdf
artikel,gewahrleistet,charta verteidigungsrechte,Directive_2010_64_EU_de.pdf
wer,achtet,entsprechend umgesetzt,Directive_2010_64_EU_de.pdf
-,Standpunkt,-,Directive_2010_64_EU_de.pdf
immer mass,haben,wird,Directive_2010_64_EU_de.pdf
starkung,erfordert,vertrauens umsetzung,Directive_2010_64_EU_de.pdf
sie,erfordert,ferner terentwicklung,Directive_2010_64_EU_de.pdf
artikel,sieht,vertrags uber union festlegung,Directive_2010_64_EU_de.pdf
bereiche in bereiche mindestvorschriften,nennt,werden,Directive_2010_64_EU_de.pdf
was,sollten,justizbehorden in vertrauens fuhren,Directive_2010_64_EU_de.pdf
in min,sollten,werden,Directive_2010_64_EU_de.pdf
am rat,nahm,entschlie,Directive_2010_64_EU_de.pdf
zu ergreifen die,wurde,auf massnahme mit,Directive_2010_64_EU_de.pdf
am rat,begrusste,ihn,Directive_2010_64_EU_de.pdf
zu fordern  richtlinie,betrifft,massnahme,Directive_2010_64_EU_de.pdf
sie,setzt gemeinsame,zu starken  13,Directive_2010_64_EU_de.pdf
richtlinie,stutzt,sich,Directive_2010_64_EU_de.pdf
