fr_Subject,fr_Predicate,fr_Object,Triple_ID
restrictions correspondantes exceptionnelles,ont,de la justice,directive_(eu)_2016_800_en.txt
52 Etats membres,prendre ce qu'il faut,d'enfant,directive_(eu)_2016_800_en.txt
Etats membres,se retenir de,d'enfant,directive_(eu)_2016_800_en.txt
Etats membres,requis,enfants,directive_(eu)_2016_800_en.txt
Etats membres appropries,prendre ce qu'il faut,de liberte,directive_(eu)_2016_800_en.txt
mesures,etre proportionne,sa duree,directive_(eu)_2016_800_en.txt
procedure,prendre en,adapte pour les adapter,directive_(eu)_2016_800_en.txt
professionnels,entraine a,s'occuper d'enfants,directive_(eu)_2016_800_en.txt
ils,traite dans,ce,directive_(eu)_2016_800_en.txt
-,-,de l'union europeenne,directive_(eu)_2016_800_en.txt
confidentialite,assure dans,dans la societe,directive_(eu)_2016_800_en.txt
tribunaux,fournir,du public,directive_(eu)_2016_800_en.txt
ce,est sans,6 chr,directive_(eu)_2016_800_en.txt
ils,ont,dans lequel,directive_(eu)_2016_800_en.txt
ce,ont,efforts raisonnables,directive_(eu)_2016_800_en.txt
personne accompagnante,poser,des audiences du tribunal,directive_(eu)_2016_800_en.txt
meilleurs interets,adresse,pris en compte pris en compte,directive_(eu)_2016_800_en.txt
enfant,ont,responsabilite parentale,directive_(eu)_2016_800_en.txt
avec support,est,activite criminelle,directive_(eu)_2016_800_en.txt
ils,ont,lors des interrogatoires de police,directive_(eu)_2016_800_en.txt
60 a droite,base sur,des droits de l'homme,directive_(eu)_2016_800_en.txt
ou ca,prendre ce qu'il faut,adulte approprie,directive_(eu)_2016_800_en.txt
Etats membres,prevoir des pratiques,au proces,directive_(eu)_2016_800_en.txt
enfant,inclure,du proces,directive_(eu)_2016_800_en.txt
quand ils,postuler a,Etat membre d'execution,directive_(eu)_2016_800_en.txt
procedure de mandat d'arret europeen,sont cruciaux,affaires criminelles,directive_(eu)_2016_800_en.txt
conformite,est essentiel,une cooperation aussi essentielle,directive_(eu)_2016_800_en.txt
delais,respecte,procedure de mandat d'arret europeen,directive_(eu)_2016_800_en.txt
OMS,prendre ce qu'il faut,aux enfants,directive_(eu)_2016_800_en.txt
OMS,prendre ce qu'il faut,impliquant des enfants,directive_(eu)_2016_800_en.txt
-,est,dans la directive,directive_(eu)_2016_800_en.txt
ces donnees,inclure,de liberte,directive_(eu)_2016_800_en.txt
-,21.5.2016,de l'union europeenne,directive_(eu)_2016_800_en.txt
Etats membres,respect,comme course,directive_(eu)_2016_800_en.txt
66 directive,soutient,de defense,directive_(eu)_2016_800_en.txt
directif,mis en oeuvre dans,avec droits,directive_(eu)_2016_800_en.txt
67 directive,pose,regles minimales,directive_(eu)_2016_800_en.txt
Etats membres,etre capable,de protection,directive_(eu)_2016_800_en.txt
regles minimales,constituer,ce,directive_(eu)_2016_800_en.txt
niveau,tomber en dessous,des droits de l'homme,directive_(eu)_2016_800_en.txt
syndicat,adopter,5 evp,directive_(eu)_2016_800_en.txt
au-dela de quoi,aller au-dela,atteindre les objectifs,directive_(eu)_2016_800_en.txt
Etats membres,prise,son application,directive_(eu)_2016_800_en.txt
Danemark,prise,son application,directive_(eu)_2016_800_en.txt
1 Etats membres,entreprise,instruments nationaux de transposition,directive_(eu)_2016_800_en.txt
OMS,considere,a la decision-cadre,directive_(eu)_2016_800_en.txt
OMS,s'applique a,procedure penale,directive_(eu)_2016_800_en.txt
suspect,s'applique jusqu'a,d'appel,directive_(eu)_2016_800_en.txt
OMS,s'applique a,avec articles,directive_(eu)_2016_800_en.txt
application,s'applique a,de personne,directive_(eu)_2016_800_en.txt
quand personne,decider,sur 21,directive_(eu)_2016_800_en.txt
OMS,s'applique a,autorite chargee de l'application de la loi,directive_(eu)_2016_800_en.txt
directif,affecter nationale,responsabilite criminelle,directive_(eu)_2016_800_en.txt
directif,postuler a,affaires criminelles,directive_(eu)_2016_800_en.txt
ou enfant,appliquer,procedure penale,directive_(eu)_2016_800_en.txt
qui,moyens,d'acces,directive_(eu)_2016_800_en.txt
personne,presume,de 18,directive_(eu)_2016_800_en.txt
-,-,aux informations,directive_(eu)_2016_800_en.txt
ils,assurer,de la procedure,directive_(eu)_2016_800_en.txt
aussi des enfants,assurer,dans la directive,directive_(eu)_2016_800_en.txt
avoir titulaire,fourni,dans l'article,directive_(eu)_2016_800_en.txt
information,assurer,loi nationale,directive_(eu)_2016_800_en.txt
lettre,assurer,sous directive,directive_(eu)_2016_800_en.txt
avoir titulaire,.,responsabilite parentale,directive_(eu)_2016_800_en.txt
enfant,assurer,de l'union europeenne,directive_(eu)_2016_800_en.txt
son identite,compromettre,procedure penale,directive_(eu)_2016_800_en.txt
autorite competente,designer,a personne,directive_(eu)_2016_800_en.txt
personne,etre,des enfants,directive_(eu)_2016_800_en.txt
4 qui,fourni a,responsabilite parentale,directive_(eu)_2016_800_en.txt
dans,affecter,droite,directive_(eu)_2016_800_en.txt
Leur permettre,assurer,de defense,directive_(eu)_2016_800_en.txt
ils,assurer,mis au courant,directive_(eu)_2016_800_en.txt
ils,assiste par,devant le tribunal,directive_(eu)_2016_800_en.txt
avocat interroge,inclure,lors d'un interrogatoire capable,directive_(eu)_2016_800_en.txt
de telles procedures,realisee en,de droit,directive_(eu)_2016_800_en.txt
personne suspecte,indique,de la criminalite,directive_(eu)_2016_800_en.txt
Etats membres,respect,sous directive,directive_(eu)_2016_800_en.txt
une telle communication,inclure,loi nationale,directive_(eu)_2016_800_en.txt
meilleurs interets,deroger a,d'offense,directive_(eu)_2016_800_en.txt
quand ils,assurer,b detention,directive_(eu)_2016_800_en.txt
permettre a l'enfant,assurer,devant le tribunal,directive_(eu)_2016_800_en.txt
ou enfant,reporter,pour enfant,directive_(eu)_2016_800_en.txt
Action immediate,deroger a,infraction penale,directive_(eu)_2016_800_en.txt
autorites competentes,assurer,en compte,directive_(eu)_2016_800_en.txt
decision,pris,une revue judiciaire,directive_(eu)_2016_800_en.txt
besoins specifiques,assurer,pris en compte pris en compte,directive_(eu)_2016_800_en.txt
OMS,evalue,procedure penale,directive_(eu)_2016_800_en.txt
enfant,prendre en,precis que,directive_(eu)_2016_800_en.txt
enfant,varier en fonction,evaluation individuelle,directive_(eu)_2016_800_en.txt
mesure specifique,servir,procedure penale,directive_(eu)_2016_800_en.txt
evaluation individuelle,porte,avant l'acte d'accusation,directive_(eu)_2016_800_en.txt
evaluation individuelle,presente fourni,devant le tribunal,directive_(eu)_2016_800_en.txt
evaluations individuelles,porte,d'enfant,directive_(eu)_2016_800_en.txt
ils,porte,dans les articles,directive_(eu)_2016_800_en.txt
evaluation individuelle,assurer,procedure penale mise a jour,directive_(eu)_2016_800_en.txt
a condition qu'il,deroger a,le mieux est les interets compatibles,directive_(eu)_2016_800_en.txt
OMS,assurer,condition d'evaluation mentale,directive_(eu)_2016_800_en.txt
examen medical,etre,possible - medecin invasif,directive_(eu)_2016_800_en.txt
resultats,pris dans,enfant contre preuve,directive_(eu)_2016_800_en.txt
indications sanitaires specifiques,porte,dans les articles,directive_(eu)_2016_800_en.txt
conclusion,Enregistre dans,en cours d'ecriture,directive_(eu)_2016_800_en.txt
Assistance medicale,fourni,-,directive_(eu)_2016_800_en.txt
ou les circonstances se sont deroulees,assurer,-,directive_(eu)_2016_800_en.txt
-,article,de questionnement,directive_(eu)_2016_800_en.txt
meilleurs interets,assurer,de liberte,directive_(eu)_2016_800_en.txt
qui,Enregistre dans,proces-verbal ecrit,directive_(eu)_2016_800_en.txt
article,etre sans,enregistrement audiovisuel,directive_(eu)_2016_800_en.txt
privation,assurer,de temps,directive_(eu)_2016_800_en.txt
compte du,indisponible,de cas,directive_(eu)_2016_800_en.txt
privation,assurer,dernier recours,directive_(eu)_2016_800_en.txt
retenue,assurer,par le tribunal,directive_(eu)_2016_800_en.txt
qui,faire l'objet,autorite judiciaire,directive_(eu)_2016_800_en.txt
les decisions,assurer,retard injustifie,directive_(eu)_2016_800_en.txt
autorites competentes,assurer,a la detention,directive_(eu)_2016_800_en.txt
-,article,de liberte,directive_(eu)_2016_800_en.txt
il,assurer,meilleurs interets,directive_(eu)_2016_800_en.txt
OMS,prevoir,avec personne,directive_(eu)_2016_800_en.txt
ce,detenu avec de jeunes,meilleurs interets contraires,directive_(eu)_2016_800_en.txt
ce,prendre ce qu'il faut,de religion,directive_(eu)_2016_800_en.txt
mesures,etre proportionne,de detention,directive_(eu)_2016_800_en.txt
points,postuler a,que la detention,directive_(eu)_2016_800_en.txt
mesures,etre proportionne,de liberte,directive_(eu)_2016_800_en.txt
ce,postuler a,de telles situations,directive_(eu)_2016_800_en.txt
ou rencontre,effort,exigences compatibles avec les enquetes,directive_(eu)_2016_800_en.txt
paragraphe,etre sans,a l'article,directive_(eu)_2016_800_en.txt
-,article,des cas,directive_(eu)_2016_800_en.txt
procedure penale,prendre,verifications necessaires,directive_(eu)_2016_800_en.txt
ils,prendre ce qu'il faut,ce,directive_(eu)_2016_800_en.txt
-,-,de la vie privee,directive_(eu)_2016_800_en.txt
confidentialite,assurer,procedure penale,directive_(eu)_2016_800_en.txt
assurer les enregistrements,prendre ce qu'il faut,dans l'article,directive_(eu)_2016_800_en.txt
. Etats membres,encourager,dans l'article,directive_(eu)_2016_800_en.txt
ils,assurer,dans lequel,directive_(eu)_2016_800_en.txt
son identite,.,procedure penale,directive_(eu)_2016_800_en.txt
autorite competente,designer,accompagner l'enfant,directive_(eu)_2016_800_en.txt
cesser enfant,ont,audiences restantes,directive_(eu)_2016_800_en.txt
b presence,assurer,procedure penale,directive_(eu)_2016_800_en.txt
-,-,en personne,directive_(eu)_2016_800_en.txt
enfants,assurer,leurs vues,directive_(eu)_2016_800_en.txt
OMS,assurer,dans la directive,directive_(eu)_2016_800_en.txt
OMS,assurer,Etat membre d'execution,directive_(eu)_2016_800_en.txt
loi nationale,assurer,19 remedes,directive_(eu)_2016_800_en.txt
OMS,assurer,sous directive,directive_(eu)_2016_800_en.txt
OMS,assurer,a l'enfant,directive_(eu)_2016_800_en.txt
OMS,prendre ce qu'il faut,formation specifique,directive_(eu)_2016_800_en.txt
de tels services,encourager,maniere impartiale fournie,directive_(eu)_2016_800_en.txt
comment les droits,envoyer,dans la directive,directive_(eu)_2016_800_en.txt
8 ils,rencontrer,assurance medicale,directive_(eu)_2016_800_en.txt
qui,interprete comme,de protection,directive_(eu)_2016_800_en.txt
Etats membres,Amener dans,11 juin,directive_(eu)_2016_800_en.txt
ils,informer,commission immediate,directive_(eu)_2016_800_en.txt
ils,contenir,publication officielle,directive_(eu)_2016_800_en.txt
methodes,pose,Etats membres,directive_(eu)_2016_800_en.txt
ils,communiquer a,directive couverte,directive_(eu)_2016_800_en.txt
Etats membres,soumettre,propositions legislatives,directive_(eu)_2016_800_en.txt
directif,entrer dans,de l'union europeenne,directive_(eu)_2016_800_en.txt
27 destinataires,adressee a,avec des traites,directive_(eu)_2016_800_en.txt
-,fait a,a strasbourg,directive_(eu)_2016_800_en.txt
-,president,pour le conseil,directive_(eu)_2016_800_en.txt
conseil de 2000,directives,affaires criminelles,directive_2010_64_eu_en.txt
reconnaissance mutuelle,Etats,droits individuels,directive_2010_64_eu_en.txt
Etats membres,presuppose,systemes de justice penale,directive_2010_64_eu_en.txt
qui,est,reconnaissance mutuelle,directive_2010_64_eu_en.txt
regle aussi,fonctionner,regles,directive_2010_64_eu_en.txt
5 articles,enchasser,proces equitable,directive_2010_64_eu_en.txt
article,garanties,de defense,directive_2010_64_eu_en.txt
directif,respects,droits,directive_2010_64_eu_en.txt
1 syndicat,ayant,de liberte,directive_2010_64_eu_en.txt
reconnaissance mutuelle,devenir,droits individuels,directive_2010_64_eu_en.txt
-,c,-,directive_2010_64_eu_en.txt
-,position de,7 octobre,directive_2010_64_eu_en.txt
autres issues,-,dans la zone,directive_2010_64_eu_en.txt
ce,montre,autres Etats membres,directive_2010_64_eu_en.txt
12 directive,se rapporte a,de feuille de route,directive_2010_64_eu_en.txt
il,pose,parmi les Etats membres,directive_2010_64_eu_en.txt
13 directive,puise dans,9 mars,directive_2010_64_eu_en.txt
OMS,inscrit dans,des droits de l'homme,directive_2010_64_eu_en.txt
directif,facilite,en pratique,directive_2010_64_eu_en.txt
but,est,proces equitable,directive_2010_64_eu_en.txt
15 droits,appliquer,pour directive,directive_2010_64_eu_en.txt
OMS,fournir,de la procedure,directive_2010_64_eu_en.txt
autorite,a,infractions mineures,directive_2010_64_eu_en.txt
qui,etre,apres le controle du trafic,directive_2010_64_eu_en.txt
autorite deraisonnable competente,etre deraisonnable,sous directive,directive_2010_64_eu_en.txt
directif,appliquer,apres appel,directive_2010_64_eu_en.txt
renforcement,a besoin,de l'echr,directive_2010_64_eu_en.txt
il,a besoin,dans l'echr,directive_2010_64_eu_en.txt
article,prevoit pour,cote de bordure,directive_2010_64_eu_en.txt
regles minimales,fait reference a,dans lequel,directive_2010_64_eu_en.txt
qui,mener a,confiance mutuelle,directive_2010_64_eu_en.txt
regles minimales communes,etablir,procedure penale,directive_2010_64_eu_en.txt
conseil de 2009,adopte,1,directive_2010_64_eu_en.txt
OMS,appeler pour,personnes soupconnees de mesure,directive_2010_64_eu_en.txt
il,accueilli,indiquer,directive_2010_64_eu_en.txt
Conseil europeen,souligne,1 jo c,directive_2010_64_eu_en.txt
-,decision,entre les Etats membres,directive_2010_64_eu_en.txt
-,26.10.2010,-,directive_2010_64_eu_en.txt
-,revue de,de l'union europeenne,directive_2010_64_eu_en.txt
OMS,assurer,de la procedure,directive_2010_64_eu_en.txt
interpretation,fourni sans,sans delai,directive_2010_64_eu_en.txt
longue periode,constituer,raisonnable dans des circonstances raisonnables,directive_2010_64_eu_en.txt
23 respect,compromis,loi nationale,directive_2010_64_eu_en.txt
autorites competentes,assurer,cas donne,directive_2010_64_eu_en.txt
personnes suspectes,ont,loi nationale,directive_2010_64_eu_en.txt
une telle decouverte,entrainer,mandat d'arret europeen,directive_2010_64_eu_en.txt
autorites competentes,etre capable,interprete competent designe,directive_2010_64_eu_en.txt
qui,sous-tend,de la justice,directive_2010_64_eu_en.txt
garantir les droits,assurer,prendre les mesures appropriees,directive_2010_64_eu_en.txt
ce,etre capable,avec equipement de visioconference,directive_2010_64_eu_en.txt
29 directive,evalue en,experience pratique,directive_2010_64_eu_en.txt
il,modifie,qui,directive_2010_64_eu_en.txt
communication,interprete en,avec directives,directive_2010_64_eu_en.txt
ce,etre capable,leur defense,directive_2010_64_eu_en.txt
communication,interprete,de la procedure,directive_2010_64_eu_en.txt
ils,assurer,d'interprete,directive_2010_64_eu_en.txt
ils,implique,d'interprete,directive_2010_64_eu_en.txt
Leur permettre,Fourni dans,de la procedure,directive_2010_64_eu_en.txt
-,je,de l'union europeenne,directive_2010_64_eu_en.txt
documents essentiels,a besoin,avec directives,directive_2010_64_eu_en.txt
certains documents,considere comme essentiel,sa liberte,directive_2010_64_eu_en.txt
autres documents,est,de la procedure,directive_2010_64_eu_en.txt
ces bases de donnees,faciliter,traducteurs juridiques,directive_2010_64_eu_en.txt
attention particuliere,versee a,27 novembre,directive_2010_64_eu_en.txt
-,traite sur,sur l'union europeenne,directive_2010_64_eu_en.txt
au-dela de quoi,aller au-dela,atteindre l'objectif,directive_2010_64_eu_en.txt
Etats membres,notifie,de directive,directive_2010_64_eu_en.txt
Danemark,prise,son application,directive_2010_64_eu_en.txt
32 directive,ensemble,regles minimales,directive_2010_64_eu_en.txt
Etats membres,etre capable,dans la directive,directive_2010_64_eu_en.txt
niveau,tomber en dessous,de l'union europeenne,directive_2010_64_eu_en.txt
ce,Inter,de l'union europeenne,directive_2010_64_eu_en.txt
syndicat,adopter,1 jo c,directive_2010_64_eu_en.txt
-,article,-,directive_2010_64_eu_en.txt
directif,pose,mandat d'arret europeen,directive_2010_64_eu_en.txt
ils,postuler a,d'appel,directive_2010_64_eu_en.txt
il,affecter nationale,procedure penale,directive_2010_64_eu_en.txt
OMS,assurer,lors des interrogatoires de police,directive_2010_64_eu_en.txt
pretation,assurer,d'appel,directive_2010_64_eu_en.txt
procedure qui,je,.,directive_2010_64_eu_en.txt
personnes soupconnees d'assurer,etre de,de defense,directive_2010_64_eu_en.txt
assurer essentiel qu'ils,assurer,de la procedure,directive_2010_64_eu_en.txt
documents essentiels,inclure,sa liberte,directive_2010_64_eu_en.txt
droite,comprend approprie,troubles auditifs,directive_2010_64_eu_en.txt
se plaindre de la qualite,assurer,de la procedure,directive_2010_64_eu_en.txt
presence physique,utilise,de la procedure,directive_2010_64_eu_en.txt
autorites competentes,assurer,tel 3,directive_2010_64_eu_en.txt
autre document,decider,cas donne,directive_2010_64_eu_en.txt
personnes suspectes,soumettre,effectuer,directive_2010_64_eu_en.txt
qui,etre,contre eux,directive_2010_64_eu_en.txt
il,.,de l'union europeenne,directive_2010_64_eu_en.txt
traduction orale,fourni,de la procedure,directive_2010_64_eu_en.txt
renoncer,faire l'objet,de renonciation,directive_2010_64_eu_en.txt
Etats membres,rencontrer,de la procedure,directive_2010_64_eu_en.txt
assurer l'interpretation,article,sous l'article,directive_2010_64_eu_en.txt
OMS,effort,traducteurs independants,directive_2010_64_eu_en.txt
tel registre,mise a disposition,conseiller juridique,directive_2010_64_eu_en.txt
interpretes,assurer,sous directive,directive_2010_64_eu_en.txt
Etats membres,demande,communication efficace,directive_2010_64_eu_en.txt
2 Etats membres,transmettre,commissionner,directive_2010_64_eu_en.txt
ils,contenir,publication officielle,directive_2010_64_eu_en.txt
methodes,pose,Etats membres,directive_2010_64_eu_en.txt
Etats membres,soumettre,propositions legislatives,directive_2010_64_eu_en.txt
directif,entrer dans,de l'union europeenne,directive_2010_64_eu_en.txt
Article 280/7,-,Directive 12 destinataires,directive_2010_64_eu_en.txt
-,adressee a,avec des traites,directive_2010_64_eu_en.txt
-,fait a,a strasbourg,directive_2010_64_eu_en.txt
-,president pour,pour le conseil,directive_2010_64_eu_en.txt
fr journal officiel,directives,droits individuels,directive_2012_13_eu_en.txt
Etats membres,presuppose,systemes de justice penale,directive_2012_13_eu_en.txt
qui,est,reconnaissance mutuelle,directive_2012_13_eu_en.txt
regle aussi,fonctionner,regles,directive_2012_13_eu_en.txt
-,article,des droits de l'homme,directive_2012_13_eu_en.txt
-,enchasser,proces equitable,directive_2012_13_eu_en.txt
article,garanties,de defense,directive_2012_13_eu_en.txt
conseil de 2000,adopte,affaires criminelles,directive_2012_13_eu_en.txt
article sur la reconnaissance mutuelle,Etats,de personne,directive_2012_13_eu_en.txt
restrictions,depasser,des droits de l'homme,directive_2012_13_eu_en.txt
ce,montre,autres Etats membres,directive_2012_13_eu_en.txt
-,c,-,directive_2012_13_eu_en.txt
-,position de,26 avril,directive_2012_13_eu_en.txt
8) renforcement,necessite des details,echr,directive_2012_13_eu_en.txt
2 union,ensemble,de liberte,directive_2012_13_eu_en.txt
du traite,devenir,cote de bordure,directive_2012_13_eu_en.txt
regles minimales,fait reference a,dans lequel,directive_2012_13_eu_en.txt
qui,mener a,confiance mutuelle,directive_2012_13_eu_en.txt
regles minimales communes,etablir,procedure penale,directive_2012_13_eu_en.txt
conseil de 2009,.,ci-apres feuille de route,directive_2012_13_eu_en.txt
accuse qui,appeler pour,pour les suspects de mesure,directive_2012_13_eu_en.txt
donc indicatif,souligne,avec des priorites,directive_2012_13_eu_en.txt
ses avantages,ressenti pleinement,comme concu ensemble,directive_2012_13_eu_en.txt
il,accueilli,au service des citoyens,directive_2012_13_eu_en.txt
autres issues,souligne,dans la zone,directive_2012_13_eu_en.txt
premiere mesure,etait,procedure penale,directive_2012_13_eu_en.txt
14 directive,se rapporte a,de feuille de route,directive_2012_13_eu_en.txt
applique,pose,parmi les Etats membres,directive_2012_13_eu_en.txt
-,je,-,directive_2012_13_eu_en.txt
directive du 1.6.2012,se contruit sur,des droits de l'homme,directive_2012_13_eu_en.txt
accusation a terme,utilise,6(1 chr,directive_2012_13_eu_en.txt
il,annonce,en 2010,directive_2012_13_eu_en.txt
16 directive,postuler a,statut legal,directive_2012_13_eu_en.txt
autorite,a,infractions mineures,directive_2012_13_eu_en.txt
qui,etre,apres le controle du trafic,directive_2012_13_eu_en.txt
autorite deraisonnable competente,etre deraisonnable,sous directive,directive_2012_13_eu_en.txt
directif,appliquer,apres appel,directive_2012_13_eu_en.txt
qui,etabli par,directive explicite,directive_2012_13_eu_en.txt
qui,informer,pour directive,directive_2012_13_eu_en.txt
information,fourni,autorite competente,directive_2012_13_eu_en.txt
20 directives,pose,des suspects,directive_2012_13_eu_en.txt
ce,est sans,tribunaux de l'Union competents,directive_2012_13_eu_en.txt
autorites competentes,requis,de la procedure,directive_2012_13_eu_en.txt
circonstances particulieres,reiterer,loi nationale,directive_2012_13_eu_en.txt
suspects,compris,des droits de l'homme,directive_2012_13_eu_en.txt
informations arretees,donne par,comprendre leurs droits de comprehension,directive_2012_13_eu_en.txt
lettre,fourni,procedure penale,directive_2012_13_eu_en.txt
ce droit,inclure de base,loi nationale,directive_2012_13_eu_en.txt
modele,Fourni dans,a l'annexe,directive_2012_13_eu_en.txt
egalement les mesures de la feuille de route,est indicatif,en vigueur,directive_2012_13_eu_en.txt
ce,inclure d'autres,dans les Etats membres,directive_2012_13_eu_en.txt
-,23,-,directive_2012_13_eu_en.txt
ils,donne,enquetes en cours,directive_2012_13_eu_en.txt
quand descriptif,donne en quantite suffisante,de defense,directive_2012_13_eu_en.txt
affecte cela,communique a,de defense,directive_2012_13_eu_en.txt
autorite judiciaire,mise a disposition,d'arrestation,directive_2012_13_eu_en.txt
qui,inclure,en tant que documents,directive_2012_13_eu_en.txt
de tels materiaux,contenu dans,loi nationale,directive_2012_13_eu_en.txt
ou le refus,refuse,interet public necessaire,directive_2012_13_eu_en.txt
refus,pese contre,procedure penale,directive_2012_13_eu_en.txt
avoir personne,sont,loi nationale,directive_2012_13_eu_en.txt
exercer,prejudice,procedure penale,directive_2012_13_eu_en.txt
24 directives,est sans,dans les centres de detention,directive_2012_13_eu_en.txt
ils,assurer,/ UE,directive_2012_13_eu_en.txt
OMS,payer en particulier,de leur jeunesse,directive_2012_13_eu_en.txt
27 personnes,donne,entre les Etats membres,directive_2012_13_eu_en.txt
-,avec,des droits de l'homme,directive_2012_13_eu_en.txt
33 a droite,etre sans,temoins proteges,directive_2012_13_eu_en.txt
documents payants,fourni gratuitement,leur avocat,directive_2012_13_eu_en.txt
autorites competentes,prendre,fardeau administratif,directive_2012_13_eu_en.txt
36 suspects,ont,avec directives,directive_2012_13_eu_en.txt
un tel echec,entrainer,en plainte qui,directive_2012_13_eu_en.txt
Etats membres,fournir,dans les Etats membres,directive_2012_13_eu_en.txt
38 Etats membres,entreprendre,avec directives,directive_2012_13_eu_en.txt
mise en oeuvre pratique,atteint par differents,droit procedural,directive_2012_13_eu_en.txt
39 a droite,ensembles,directives regles minimales,directive_2012_13_eu_en.txt
Etats membres,etendre,dans la directive,directive_2012_13_eu_en.txt
niveau,tomber en dessous,des droits de l'homme,directive_2012_13_eu_en.txt
41 directive,respecte les fondamentaux,charte reconnue,directive_2012_13_eu_en.txt
directive particuliere,cherche,de defense,directive_2012_13_eu_en.txt
il,mis en oeuvre,-,directive_2012_13_eu_en.txt
ce,interprete,des droits de l'homme,directive_2012_13_eu_en.txt
syndicat,adopter,sur l'union europeenne,directive_2012_13_eu_en.txt
au-dela de quoi,aller au-dela,atteindre l'objectif,directive_2012_13_eu_en.txt
Etats membres,notifie,de directive,directive_2012_13_eu_en.txt
Danemark,prise,son application,directive_2012_13_eu_en.txt
1.6.2012 journal officiel,adopte,directif,directive_2012_13_eu_en.txt
directif,pose,contre eux,directive_2012_13_eu_en.txt
il,pose,leurs droits,directive_2012_13_eu_en.txt
personne suspecte,s'applique a partir de,d'appel,directive_2012_13_eu_en.txt
-,je,des droits,directive_2012_13_eu_en.txt
qu'ils,donne,de liberte,directive_2012_13_eu_en.txt
suspects,contenir,autorite judiciaire,directive_2012_13_eu_en.txt
lettre,contenir de base,liberation provisoire,directive_2012_13_eu_en.txt
lettre,redige en simple,langage simplifie,directive_2012_13_eu_en.txt
modele de lettre indicative,ensemble,sur les droits,directive_2012_13_eu_en.txt
autoriser les droits,assurer,a l'interpretation,directive_2012_13_eu_en.txt
information,assurer,suspects vulnerables,directive_2012_13_eu_en.txt
accuse qui,assurer,a l'arrestation,directive_2012_13_eu_en.txt
ils,assurer,ce,directive_2012_13_eu_en.txt
ils,informe de,ce,directive_2012_13_eu_en.txt
ils,donne,retard injustifie,directive_2012_13_eu_en.txt
-,lettre de,procedure de mandat d'arret europeen,directive_2012_13_eu_en.txt
OMS,assurer,Etat membre d'execution,directive_2012_13_eu_en.txt
. lettre,redige en simple,langage simplifie,directive_2012_13_eu_en.txt
modele de lettre indicative,ensemble,a l'annexe,directive_2012_13_eu_en.txt
ils,assurer,acte criminel,directive_2012_13_eu_en.txt
information,fourni,de defense,directive_2012_13_eu_en.txt
-,-,de l'union europeenne,directive_2012_13_eu_en.txt
des informations detaillees,assurer,personne accusee,directive_2012_13_eu_en.txt
ou ce,assurer,de la procedure,directive_2012_13_eu_en.txt
-,article,de cas,directive_2012_13_eu_en.txt
qui,assurer,leurs avocats,directive_2012_13_eu_en.txt
acces,assurer,la defense,directive_2012_13_eu_en.txt
1 acces,accorde en temps voulu,de cour,directive_2012_13_eu_en.txt
permettez-ceci,accorde,le temps imparti,directive_2012_13_eu_en.txt
procedure penale,refuse,dans lequel,directive_2012_13_eu_en.txt
decision,assurer,examen judiciaire du sujet,directive_2012_13_eu_en.txt
5 acces,fourni gratuitement,frais,directive_2012_13_eu_en.txt
ce,assurer,de l'Etat membre,directive_2012_13_eu_en.txt
suspects,article,avec directives,directive_2012_13_eu_en.txt
Etats membres,demande,de directive,directive_2012_13_eu_en.txt
qui,interprete comme,de protection,directive_2012_13_eu_en.txt
1 Etats membres,.,2 juin,directive_2012_13_eu_en.txt
2 Etats membres,transmettre,commissionner,directive_2012_13_eu_en.txt
ils,contenir,publication officielle,directive_2012_13_eu_en.txt
methodes,pose,Etats membres,directive_2012_13_eu_en.txt
Etats membres,soumettre,propositions legislatives,directive_2012_13_eu_en.txt
directif,entrer dans,de l'union europeenne,directive_2012_13_eu_en.txt
Article 142/7,-,de l'union europeenne,directive_2012_13_eu_en.txt
directif,adressee a,avec des traites,directive_2012_13_eu_en.txt
-,fait a,a strasbourg,directive_2012_13_eu_en.txt
-,president,pour le parlement europeen,directive_2012_13_eu_en.txt
-,president,-,directive_2012_13_eu_en.txt
-,-,des droits de modele,directive_2012_13_eu_en.txt
seul but,est,niveau national,directive_2012_13_eu_en.txt
Etats membres,bondir,pas modele,directive_2012_13_eu_en.txt
Etats membres,modifier,informations utiles,directive_2012_13_eu_en.txt
lettre aux Etats membres,donne sur,lors de l'arrestation,directive_2012_13_eu_en.txt
ce,prevenir,procedure penale,directive_2012_13_eu_en.txt
toi,ont,a l'avocat,directive_2012_13_eu_en.txt
avocat,est independant,independant de la police independante,directive_2012_13_eu_en.txt
police,aider,toi,directive_2012_13_eu_en.txt
assistance,sois libre,gratuit gratuitement,directive_2012_13_eu_en.txt
-,demander,Plus d'information,directive_2012_13_eu_en.txt
vous a arrete,ont,droite,directive_2012_13_eu_en.txt
tu es competent,ont,frais,directive_2012_13_eu_en.txt
toi,aider,confidentiel,directive_2012_13_eu_en.txt
toi,ont,en garde a vue,directive_2012_13_eu_en.txt
toi,livre avec,traduction orale,directive_2012_13_eu_en.txt
tu es competent,ont,infraction alleguee,directive_2012_13_eu_en.txt
toi,aider,decider de decider que,directive_2012_13_eu_en.txt
toi,ont,defier l'arrestation,directive_2012_13_eu_en.txt
toi,ont,pour toi,directive_2012_13_eu_en.txt
-,delation,votre consulat,directive_2012_13_eu_en.txt
veux quelqu'un,dire,Par exemple,directive_2012_13_eu_en.txt
