de_Subject,de_Predicate,de_Object,Triple_ID,de_Subject_concept,de_Predicate_concept,de_Object_concept
Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an Entscheidungen in Strafverfahren im Rahmen eines Verfahrens zur Vollstreckung eines Europaischen Haftbefehls beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
angemessene Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an Entscheidungen in Verfahren zum Europaischen Haftbefehl beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber Prozesskostenhilfe in Strafverfahren im Rahmen eines Verfahrens zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe:Strafverfahren
angemessene Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an der Entscheidungsfindung in Strafverfahren beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
angemessene Ausbildung,sollen,sollten den an der Entscheidung im Verfahren in Haftbefehlsverfahren beteiligten Mitarbeitern zur Verfugung gestellt werden,directive_(eu)_2016_1919_en.txt,-,-,-
Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an der Entscheidungsfindung in Strafverfahren beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber Prozesskostenhilfe in Verfahren zum Europaischen Haftbefehl beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an der Entscheidung in Strafverfahren in Haftbefehlsverfahren beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber Beihilfe in Strafverfahren beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber die Hilfeleistung in Verfahren zum Europaischen Haftbefehl beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollte den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber Prozesskostenhilfe in Verfahren zum Europaischen Haftbefehl beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber die Verfahrenshilfe in einem Haftbefehlsverfahren beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber Prozesskostenhilfe beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
angemessene Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an der Entscheidung uber die Hilfe beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung in Haftbefehlsverfahren beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber die Hilfeleistung in Verfahren zum Europaischen Haftbefehl beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollte den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber Prozesskostenhilfe in Verfahren im Rahmen eines Verfahrens zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber die Verfahrenshilfe in Verfahren zum Europaischen Haftbefehl beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber die Hilfeleistung in Verfahren zum Europaischen Haftbefehl beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber Prozesskostenhilfe in Strafverfahren in Verfahren zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe:Strafverfahren
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber die Beihilfe in Strafverfahren in Verfahren zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber Prozesskostenhilfe in Strafverfahren in Verfahren zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe:Strafverfahren
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber die Prozesskostenhilfe in Verfahren im Rahmen eines Verfahrens zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
angemessene Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber Strafverfahrenshilfe im Rahmen eines Verfahrens zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber die Hilfeleistung in Verfahren zum Europaischen Haftbefehl beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,-
angemessene Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an Entscheidungen in Strafverfahren beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
angemessene Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an der Entscheidung in Strafverfahren in Haftbefehlsverfahren beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Ausbildung,sollen,"sollte den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber Prozesskostenhilfe in Verfahren im Rahmen eines Verfahrens zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an der Entscheidungsfindung uber Hilfe beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,-
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidung uber Prozesskostenhilfe in Strafverfahren in Haftbefehlsverfahren beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe:Strafverfahren
angemessene Ausbildung,sollen,"sollten dem Personal zur Verfugung gestellt werden, das an der Entscheidungsfindung in Strafverfahren in Haftbefehlsverfahren beteiligt ist",directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Ausbildung,sollen,"sollten den Mitarbeitern zur Verfugung gestellt werden, die an der Entscheidungsfindung uber Prozesskostenhilfe in Strafverfahren im Rahmen eines Verfahrens zur Vollstreckung eines Europaischen Haftbefehls beteiligt sind",directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe:Strafverfahren
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der Unabhangigkeit bei der Organisation der Justiz,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der Unabhangigkeit der Justiz bei der Organisation der Justiz in den Mitgliedstaaten,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Vorurteil,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der Unabhangigkeit der Organisation,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der Unabhangigkeit,directive_(eu)_2016_1919_en.txt,-,-,-
die Verantwortlichen,bieten,eine solche Ausbildung,directive_(eu)_2016_1919_en.txt,-,-,-
diese,bieten,Ausbildung zu Gerichten,directive_(eu)_2016_1919_en.txt,-,-,-
diese,bieten,eine solche Ausbildung,directive_(eu)_2016_1919_en.txt,-,-,-
die Verantwortlichen,bieten,Ausbildung,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der Unabhangigkeit bei der Organisation der Justiz in den Mitgliedstaaten,directive_(eu)_2016_1919_en.txt,-,-,-
diese,bieten,Ausbildung,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der Unabhangigkeit der Justiz,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der richterlichen Unabhangigkeit in der Organisation,directive_(eu)_2016_1919_en.txt,-,-,-
diese,bieten,eine solche Ausbildung vor Gericht,directive_(eu)_2016_1919_en.txt,-,-,-
die Verantwortlichen,bieten,eine solche Ausbildung vor Gericht,directive_(eu)_2016_1919_en.txt,-,-,-
Gerichtliche Unabhangigkeit,ist in,Organisation der Justiz in den Mitgliedstaaten,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ohne anfordern,Beeintrachtigung der richterlichen Unabhangigkeit bei der Organisation der Justiz,directive_(eu)_2016_1919_en.txt,-,-,-
die Verantwortlichen,bieten,Ausbildung zu Gerichten,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,Fall eines Verstosses,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,Fall des Verstosses verliehen,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,"im Falle einer Verletzung von Rechten, die Einzelpersonen zustehen",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,"im Falle eines Verstosses, der Einzelpersonen durch das Gewerkschaftsrecht zusteht",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,"im Falle einer Verletzung von Rechten, die Einzelpersonen zustehen",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,Ort,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,setzen,Heilmittel,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,setzen,angemessene Abhilfemassnahmen,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,Fall einer Rechtsverletzung,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,"Verletzungsfall, der Einzelpersonen ubertragen wird",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,Fall,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,"im Falle eines Verstosses, der Einzelpersonen durch das Gewerkschaftsrecht zusteht",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,"im Falle einer Verletzung von Rechten, die Einzelpersonen durch das Gewerkschaftsrecht zuerkannt werden",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,Fall einer Rechtsverletzung,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,"Verletzungsfall, der Einzelpersonen ubertragen wird",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,"im Falle einer Verletzung von Rechten, die Einzelpersonen durch das Gewerkschaftsrecht zuerkannt werden",directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,Fall eines Verstosses,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,Ort,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,Fall,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,Fall des Verstosses verliehen,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Abhilfe schaffen,im Falle einer Verletzung des ubertragenen Rechts,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,einstellen,im Falle einer Verletzung des ubertragenen Rechts,directive_(eu)_2016_1919_en.txt,-,-,-
wirksames Mittel,sollen,sollte vorhanden sein,directive_(eu)_2016_1919_en.txt,-,-,-
Abhilfe,sollen,sollte vorhanden sein,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Ist,wo untergraben,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Bereitstellung,Hilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Ist,untergraben,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,verzogert sich,voll,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,verzogert sich,Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Ist,verzogert,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Bereitstellung,Rechtshilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Massnahmen des betreffenden Mitgliedstaats,Anzahl von,Falle,directive_(eu)_2016_1919_en.txt,-,-,-
Ausgabe,wie es ist,Zahl der Falle,directive_(eu)_2016_1919_en.txt,-,-,-
Daten,sollen,sollte soweit eingesammelt werden,directive_(eu)_2016_1919_en.txt,-,-,-
Daten,sollen,gesammelt werden sollten,directive_(eu)_2016_1919_en.txt,-,-,-
Daten,sollen,sollten ebenfalls gesammelt werden,directive_(eu)_2016_1919_en.txt,-,-,-
Daten,sollen,sollte weit gesammelt werden,directive_(eu)_2016_1919_en.txt,-,-,-
Daten,sollen,sollte auch in weitem gesammelt werden,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gelten sollte,Personen Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gelten sollte,Angeklagte Personen Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,"sollten Personen anwenden, auf die sich Personen beziehen sollten",Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gelten soll,Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte ausserhalb respektieren,Diskriminierung,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sollte Rechte ausserhalb respektieren,Diskriminierung,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Integration von,Personen mit Behinderungen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,halt an,Rechte anerkannt,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Respekt fur,Privatleben,directive_(eu)_2016_1919_en.txt,-,-,-
Integritat,nach rechts ist,Rechte des Kindes,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,halt an,Grundrechte anerkannt,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,halt an,Rechte,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,halt an,Grundrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Freiheit,nach rechts ist,Respekt vor dem Privatleben,directive_(eu)_2016_1919_en.txt,-,-,-
Integritat,nach rechts ist,Integration von Menschen mit Behinderungen,directive_(eu)_2016_1919_en.txt,-,-,-
Rechte,Richtlinie,Prinzipien,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Rechte von,Kind,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,halt an,durch die Charta anerkannte Rechte,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,ist mit,Behinderungen,directive_(eu)_2016_1919_en.txt,-,-,-
Grundrechte,Richtlinie,Prinzipien,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,halt an,in der Charta anerkannte Grundrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,sollen,sollte umgesetzt werden,directive_(eu)_2016_1919_en.txt,-,-,-
Rechte,niedergelegt in,Richtlinie,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,erweitern,Rechte,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte unterschritten werden,Standards,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte als fallen,interpretiert,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte als fallen,interpretiert von ecthr,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte fallen vorausgesetzt,bereitgestellte Charter,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte als fallen,ausgelegt durch den Gerichtshof durch ecthr,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte als fallen,vom Gericht interpretiert,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte als fallen,gerichtlich ausgelegt durch ecthr,directive_(eu)_2016_1919_en.txt,-,-,-
eben,sollte als fallen,vom Gericht ausgelegt,directive_(eu)_2016_1919_en.txt,-,-,-
Artikel 1,ist in,Respekt vor dem Raum der Freiheit,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sind gebunden,Es,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,beschuldigt,Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Beschuldigte in,Strafverfahren,directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Richtlinie,legt sich hin,Mindestregeln bzgl,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,legt sich hin,gemeinsame Mindestregeln,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,legt sich hin,gemeinsame Mindestregeln bzgl,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,angeklagt,Strafverfahren,directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Rahmenbeschluss 2002 584,nach Verfahren ist,gesuchte Personen,directive_(eu)_2016_1919_en.txt,Rahmenbeschluss,-,-
Richtlinie,Beschuldigte in,Verfahren,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,angeklagt,Verfahren,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Erganzungen,Richtlinien,directive_(eu)_2016_1919_en.txt,-,-,-
Nichts,soll,interpretiert werden soll,directive_(eu)_2016_1919_en.txt,-,-,-
Nichts,soll,als einschrankend auszulegen,directive_(eu)_2016_1919_en.txt,-,-,-
Nichts,ist in,Richtlinie,directive_(eu)_2016_1919_en.txt,-,-,-
Rechte,Nichts in,Richtlinie,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt fur,Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,erforderlich,teilnehmen,directive_(eu)_2016_1919_en.txt,-,-,-
erforderlich,Sei,von einem Anwalt unterstutzt werden,directive_(eu)_2016_1919_en.txt,-,-,-
erforderlich,unterstutzt werden von,Rechtsanwalt,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,erforderlich,teilnehmen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt fur,Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch fur,Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch fur,gesuchte Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt fur,Festnahme im Vollstreckungsmitgliedstaat,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch fur,Festnahme,directive_(eu)_2016_1919_en.txt,-,-,-
Festnahme,ist in,ausfuhrender Mitgliedstaat,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch fur,Festnahme im Mitgliedsstaat,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt fur,Festnahme im Mitgliedsstaat,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt fur,Festnahme,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch fur,Festnahme im Vollstreckungsmitgliedstaat,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt fur,gesuchte Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch unter,die gleichen Bedingungen wie in Absatz 1 vorgesehen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch unter,Bedingungen wie vorgesehen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch unter,Bedingungen gemass Absatz 1,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt unter,Es gelten die gleichen Bedingungen wie angegeben,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt unter,Bedingungen wie vorgesehen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt auch unter,Es gelten die gleichen Bedingungen wie angegeben,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt unter,Bedingungen gemass Absatz 1,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt unter,die gleichen Bedingungen wie in Absatz 1 vorgesehen,directive_(eu)_2016_1919_en.txt,-,-,-
Entscheidung,Ist,wenn genommen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,gilt in,Fall,directive_(eu)_2016_1919_en.txt,-,-,-
Entscheidung,Ist,vergriffen,directive_(eu)_2016_1919_en.txt,-,-,-
Artikel 4 Prozesskostenhilfe,ist in,Strafverfahren 1,directive_(eu)_2016_1919_en.txt,Prozesskostenhilfe,-,Strafverfahren
Verdachtige,Recht auf,Hilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Mangel,ausreichende Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,haben,Recht auf Hilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,fur die Unterstutzung durch einen Anwalt bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,haben,Anspruch auf Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Angeklagte Personen,Mangel,fur die Unterstutzung durch einen Anwalt bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Mangel,Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Mangel,fur die Hilfe bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,haben,Rechts,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Mangel,zahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Mangel,bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,fur die Hilfe bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,Recht auf,Rechtshilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Mangel,Kosten fur die Unterstutzung durch einen Anwalt,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,Hilfe zu bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,ausreichende Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,zahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Mangel,Hilfe zu bezahlen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Mangel,Kosten fur die Unterstutzung durch einen Anwalt,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,kann zutreffen,Mitteltest,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaat,gilt,Mitteltest,directive_(eu)_2016_1919_en.txt,-,-,-
Schwere,Konto,Komplexitat des Falles,directive_(eu)_2016_1919_en.txt,-,-,-
Es,sollte nehmen,Schwere,directive_(eu)_2016_1919_en.txt,-,-,-
Es,sollte nehmen,Schwere der Straftat,directive_(eu)_2016_1919_en.txt,-,-,-
Es,soll es ernst nehmen,bestimmen,directive_(eu)_2016_1919_en.txt,-,-,-
Schwere,Konto,Komplexitat,directive_(eu)_2016_1919_en.txt,-,-,-
Es,aufnehmen soll,bestimmen,directive_(eu)_2016_1919_en.txt,-,-,-
Schwere,Konto,"Schwere der Sanktion, um die es geht",directive_(eu)_2016_1919_en.txt,-,-,-
Es,soll ernst nehmen,Konto,directive_(eu)_2016_1919_en.txt,-,-,-
Schwere,Konto,Schwere,directive_(eu)_2016_1919_en.txt,-,-,-
Schwere,Konto,Schwere auf dem Spiel,directive_(eu)_2016_1919_en.txt,-,-,-
Es,soll aufnehmen,Konto,directive_(eu)_2016_1919_en.txt,-,-,-
Schwere,Konto,Schwere der Sanktion,directive_(eu)_2016_1919_en.txt,-,-,-
Interessen,erfordern,gewahrt werden,directive_(eu)_2016_1919_en.txt,-,-,-
Interessen,erfordern,gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
Es,sollte nehmen,Schwere der Straftat,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaat,gilt,Leistungstest,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,wird ohne gewahrt,Verzogerung,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,wird ohne gewahrt,unangemessene Verzogerung,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,wird ohne gewahrt,unangemessene Verzogerung,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,wird ohne gewahrt,Verzogerung,directive_(eu)_2016_1919_en.txt,-,-,-
Artikel 2 1,der Taten ist,C,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,soll,wird nur fur Zwecke des Strafverfahrens gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
Person,engagiert,Straftat,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,soll,wird nur fur Zwecke des Strafverfahrens gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
betroffene Person,wird vermutet,begangen haben,directive_(eu)_2016_1919_en.txt,-,-,-
betroffene Person,engagiert,Straftat,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,soll,wird nur zu verfahrensrechtlichen Zwecken gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,soll,gewahrt wird,directive_(eu)_2016_1919_en.txt,-,-,-
betroffene Person,engagiert,Delikt,directive_(eu)_2016_1919_en.txt,-,-,-
Person,wird vermutet,begangen zu haben,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,soll,wird fur Zwecke des Strafverfahrens gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,soll,werden nur zweckgebunden gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,soll,gewahrt wird,directive_(eu)_2016_1919_en.txt,-,-,-
betroffene Person,Ist,vermutlich,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,soll,wird fur Zwecke des Strafverfahrens gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,soll,wird nur zu verfahrensrechtlichen Zwecken gewahrt,directive_(eu)_2016_1919_en.txt,-,-,-
Person,Ist,vermutlich,directive_(eu)_2016_1919_en.txt,-,-,-
