fr_Subject,fr_Predicate,fr_Object,Triple_ID
suspects,avoir sur,leur demande,directive_(eu)_2016_1919_en.txt
personnes,avoir droit sur,leur demande,directive_(eu)_2016_1919_en.txt
personnes,avoir droit sur,leur demande,directive_(eu)_2016_1919_en.txt
avocat,fournissant,les services d'aide juridique qui leur sont assignes,directive_(eu)_2016_1919_en.txt
accuses,avoir sur,leur demande,directive_(eu)_2016_1919_en.txt
personnes,ont,droite,directive_(eu)_2016_1919_en.txt
personnes,ont,droite,directive_(eu)_2016_1919_en.txt
Etats membres,doit prendre,s'assurer,directive_(eu)_2016_1919_en.txt
avocat,fournissant,services d'aide juridique assignes,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir droit sur,leur demande,directive_(eu)_2016_1919_en.txt
Etats membres,doit prendre,assurer,directive_(eu)_2016_1919_en.txt
Etats membres,doit prendre,mesures necessaires,directive_(eu)_2016_1919_en.txt
suspects,avoir droit sur,leur demande,directive_(eu)_2016_1919_en.txt
suspects,ont,droite,directive_(eu)_2016_1919_en.txt
accuses,ont,droite,directive_(eu)_2016_1919_en.txt
Etats membres,doit prendre,mesures,directive_(eu)_2016_1919_en.txt
avocat,fournissant,services d'aide juridique,directive_(eu)_2016_1919_en.txt
avocat,fournissant,les services d'aide qui leur sont assignes,directive_(eu)_2016_1919_en.txt
personnes,avoir sur,leur demande,directive_(eu)_2016_1919_en.txt
personnes,avoir sur,leur demande,directive_(eu)_2016_1919_en.txt
avocat,fournissant,services d'aide,directive_(eu)_2016_1919_en.txt
personnes,recours effectif en vertu,loi,directive_(eu)_2016_1919_en.txt
personnes,ont,recours en vertu du droit national,directive_(eu)_2016_1919_en.txt
personnes,ont,recours en vertu du droit national,directive_(eu)_2016_1919_en.txt
accuses,avoir recours a,cas de manquement,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
personnes demandees,ont,recours effectif en vertu du droit national,directive_(eu)_2016_1919_en.txt
accuses,ont,recours en vertu de la loi,directive_(eu)_2016_1919_en.txt
personnes demandees,recours en vertu,loi nationale,directive_(eu)_2016_1919_en.txt
suspects,ont,recours effectif en vertu du droit national,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir dans,cas de manquement,directive_(eu)_2016_1919_en.txt
personnes demandees,recours effectif en vertu,loi nationale,directive_(eu)_2016_1919_en.txt
personnes demandees,recours effectif en vertu,loi,directive_(eu)_2016_1919_en.txt
suspects,avoir recours a,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
personnes demandees,ont,recours en vertu du droit national,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,cas de manquement,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,cas de manquement,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
suspects,ont,recours en vertu du droit national,directive_(eu)_2016_1919_en.txt
accuses,ont,remede,directive_(eu)_2016_1919_en.txt
personnes,ont,recours efficace,directive_(eu)_2016_1919_en.txt
personnes,ont,recours efficace,directive_(eu)_2016_1919_en.txt
accuses,avoir dans,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,evenement,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,evenement,directive_(eu)_2016_1919_en.txt
accuses,avoir recours a,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir dans,evenement,directive_(eu)_2016_1919_en.txt
personnes demandees,ont,recours effectif en vertu de la loi,directive_(eu)_2016_1919_en.txt
accuses,avoir recours a,evenement,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir recours a,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,evenement,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,evenement,directive_(eu)_2016_1919_en.txt
personnes,ont,recours effectif en vertu du droit national,directive_(eu)_2016_1919_en.txt
personnes,ont,recours effectif en vertu du droit national,directive_(eu)_2016_1919_en.txt
personnes,recours en vertu,loi,directive_(eu)_2016_1919_en.txt
personnes demandees,ont,remede,directive_(eu)_2016_1919_en.txt
accuses,avoir recours a,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
personnes,recours effectif en vertu,loi nationale,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir recours a,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
suspects,ont,remede,directive_(eu)_2016_1919_en.txt
accuses,ont,recours efficace,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir recours a,cas de manquement,directive_(eu)_2016_1919_en.txt
personnes,ont,recours effectif en vertu de la loi,directive_(eu)_2016_1919_en.txt
personnes,ont,recours effectif en vertu de la loi,directive_(eu)_2016_1919_en.txt
suspects,avoir recours a,evenement,directive_(eu)_2016_1919_en.txt
suspects,avoir dans,cas de manquement,directive_(eu)_2016_1919_en.txt
accuses,avoir dans,cas de manquement,directive_(eu)_2016_1919_en.txt
suspects,avoir dans,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
accuses,avoir dans,evenement,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir recours a,evenement,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
personnes,avoir dans,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
personnes demandees,recours en vertu,loi,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,cas de manquement,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,cas de manquement,directive_(eu)_2016_1919_en.txt
personnes demandees,ont,recours efficace,directive_(eu)_2016_1919_en.txt
personnes,ont,remede,directive_(eu)_2016_1919_en.txt
personnes,ont,remede,directive_(eu)_2016_1919_en.txt
suspects,ont,recours efficace,directive_(eu)_2016_1919_en.txt
accuses,ont,recours effectif en vertu du droit national,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir dans,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
personnes,recours en vertu,loi nationale,directive_(eu)_2016_1919_en.txt
accuses,ont,recours effectif en vertu de la loi,directive_(eu)_2016_1919_en.txt
personnes demandees,avoir dans,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
suspects,avoir dans,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
personnes,avoir recours a,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
suspects,avoir recours a,cas de violation de la directive,directive_(eu)_2016_1919_en.txt
accuses,avoir dans,cas de violation de ses droits,directive_(eu)_2016_1919_en.txt
suspects,ont,recours effectif en vertu de la loi,directive_(eu)_2016_1919_en.txt
personnes,ont,recours en vertu de la loi,directive_(eu)_2016_1919_en.txt
personnes,ont,recours en vertu de la loi,directive_(eu)_2016_1919_en.txt
accuses,ont,recours en vertu du droit national,directive_(eu)_2016_1919_en.txt
suspects,avoir dans,evenement,directive_(eu)_2016_1919_en.txt
personnes demandees,ont,recours en vertu de la loi,directive_(eu)_2016_1919_en.txt
suspects,avoir recours a,cas de manquement,directive_(eu)_2016_1919_en.txt
suspects,ont,recours en vertu de la loi,directive_(eu)_2016_1919_en.txt
besoins,sont,pris en execution,directive_(eu)_2016_1919_en.txt
besoins particuliers,sont,pris en execution,directive_(eu)_2016_1919_en.txt
besoins particuliers,sont,prises en application de la directive,directive_(eu)_2016_1919_en.txt
besoins particuliers,sont,pris,directive_(eu)_2016_1919_en.txt
besoins,sont,pris en compte dans la mise en oeuvre,directive_(eu)_2016_1919_en.txt
besoins,sont,pris,directive_(eu)_2016_1919_en.txt
besoins particuliers,sont,pris en compte,directive_(eu)_2016_1919_en.txt
personnes demandees,Besoin de,suspects,directive_(eu)_2016_1919_en.txt
personnes,Besoin de,suspects vulnerables,directive_(eu)_2016_1919_en.txt
personnes,besoins particuliers de,suspects,directive_(eu)_2016_1919_en.txt
personnes,besoins particuliers de,suspects vulnerables,directive_(eu)_2016_1919_en.txt
besoins,sont,pris en compte,directive_(eu)_2016_1919_en.txt
personnes demandees,Besoin de,suspects vulnerables,directive_(eu)_2016_1919_en.txt
personnes demandees,besoins particuliers de,suspects vulnerables,directive_(eu)_2016_1919_en.txt
besoins particuliers,sont,pris en compte dans la mise en oeuvre,directive_(eu)_2016_1919_en.txt
personnes,Besoin de,suspects,directive_(eu)_2016_1919_en.txt
personnes demandees,besoins particuliers de,suspects,directive_(eu)_2016_1919_en.txt
besoins,sont,pris en compte dans la mise en oeuvre de la directive,directive_(eu)_2016_1919_en.txt
besoins particuliers,sont,pris en compte dans la mise en oeuvre de la directive,directive_(eu)_2016_1919_en.txt
besoins,sont,prises en application de la directive,directive_(eu)_2016_1919_en.txt
les Etats membres soumettent,ont,ont mis en place,directive_(eu)_2016_1919_en.txt
Etats membres,doit soumettre,donnees,directive_(eu)_2016_1919_en.txt
Etats membres,doit soumettre,donnees disponibles,directive_(eu)_2016_1919_en.txt
droits,pose dans,directif,directive_(eu)_2016_1919_en.txt
Etats membres,doit se soumettre a,commission montrant,directive_(eu)_2016_1919_en.txt
Etats membres,doit se soumettre a,commission,directive_(eu)_2016_1919_en.txt
Etats membres,doit soumettre des donnees a,commission montrant,directive_(eu)_2016_1919_en.txt
Etats membres,doit soumettre des donnees a,commission,directive_(eu)_2016_1919_en.txt
commission,doit soumettre un rapport a,Parlement europeen,directive_(eu)_2016_1919_en.txt
commission,doit soumettre,rapport sur la mise en oeuvre,directive_(eu)_2016_1919_en.txt
commission,doit soumettre,rapport,directive_(eu)_2016_1919_en.txt
commission,doit soumettre,rapport sur la mise en oeuvre de la directive,directive_(eu)_2016_1919_en.txt
commission,doit se soumettre a,Parlement europeen,directive_(eu)_2016_1919_en.txt
commission,salutations,droit dans les poursuites penales,directive_(eu)_2016_1919_en.txt
commission,doit evaluer dans,son rapport,directive_(eu)_2016_1919_en.txt
commission,doit evaluer,mise en oeuvre,directive_(eu)_2016_1919_en.txt
commission,salutations,droit a l'assistance dans la procedure,directive_(eu)_2016_1919_en.txt
commission,salutations,droit de poursuite,directive_(eu)_2016_1919_en.txt
commission,doit evaluer,salutations,directive_(eu)_2016_1919_en.txt
commission,salutations,droit a l'assistance dans le cadre d'une procedure penale,directive_(eu)_2016_1919_en.txt
commission,salutations,droit a l'aide juridictionnelle dans le cadre d'une procedure penale,directive_(eu)_2016_1919_en.txt
commission,evalue la mise en oeuvre dans,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
commission,doit evaluer dans,procedure de mandat d'arret,directive_(eu)_2016_1919_en.txt
commission,doit evaluer dans,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
droite,est dans,procedure penale,directive_(eu)_2016_1919_en.txt
commission,salutations,droite,directive_(eu)_2016_1919_en.txt
commission,doit evaluer,mise en oeuvre de la directive,directive_(eu)_2016_1919_en.txt
commission,evalue la mise en oeuvre dans,procedure de mandat d'arret,directive_(eu)_2016_1919_en.txt
commission,evalue la mise en oeuvre dans,son rapport,directive_(eu)_2016_1919_en.txt
commission,doit evaluer,concernant,directive_(eu)_2016_1919_en.txt
commission,doit evaluer la mise en oeuvre,salutations,directive_(eu)_2016_1919_en.txt
commission,salutations,droit a l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt
commission,doit evaluer la mise en oeuvre,concernant,directive_(eu)_2016_1919_en.txt
commission,salutations,droit a l'aide,directive_(eu)_2016_1919_en.txt
commission,salutations,droit a l'aide juridictionnelle dans les procedures,directive_(eu)_2016_1919_en.txt
fr 4.11.2016 article 11 non-regression rien,est dans,directif,directive_(eu)_2016_1919_en.txt
lois,Etats,dispositions administratives,directive_(eu)_2016_1919_en.txt
lois necessaires,force,reglements,directive_(eu)_2016_1919_en.txt
lois necessaires,Etats,reglements,directive_(eu)_2016_1919_en.txt
lois,Etats,des provisions,directive_(eu)_2016_1919_en.txt
lois,Etats,reglements,directive_(eu)_2016_1919_en.txt
lois,force,dispositions administratives,directive_(eu)_2016_1919_en.txt
lois necessaires,force,dispositions administratives,directive_(eu)_2016_1919_en.txt
lois necessaires,Etats,dispositions administratives,directive_(eu)_2016_1919_en.txt
lois,force,des provisions,directive_(eu)_2016_1919_en.txt
lois necessaires,force,des provisions,directive_(eu)_2016_1919_en.txt
Etats membres,apportera,lois,directive_(eu)_2016_1919_en.txt
Etats membres,apportera,lois necessaires,directive_(eu)_2016_1919_en.txt
lois necessaires,Etats,des provisions,directive_(eu)_2016_1919_en.txt
Etats membres,apportera dans,force,directive_(eu)_2016_1919_en.txt
Etats membres,apportera des lois dans,force,directive_(eu)_2016_1919_en.txt
lois,force,reglements,directive_(eu)_2016_1919_en.txt
ils,informera immediatement,commission,directive_(eu)_2016_1919_en.txt
ils,doit en informer,commission,directive_(eu)_2016_1919_en.txt
ils,en informera immediatement,commission,directive_(eu)_2016_1919_en.txt
ils,doit informer,commission,directive_(eu)_2016_1919_en.txt
Etats membres,adopter,mesures,directive_(eu)_2016_1919_en.txt
ils,doit contenir,reference a la directive,directive_(eu)_2016_1919_en.txt
ils,doit contenir,reference,directive_(eu)_2016_1919_en.txt
Etats membres,doit communiquer,texte des mesures de loi,directive_(eu)_2016_1919_en.txt
Etats membres,doit communiquer,texte des mesures de droit national,directive_(eu)_2016_1919_en.txt
Etats membres,doit communiquer,texte,directive_(eu)_2016_1919_en.txt
Etats membres,doit communiquer a,commission,directive_(eu)_2016_1919_en.txt
Etats membres,doit communiquer,texte des mesures,directive_(eu)_2016_1919_en.txt
Etats membres,doit communiquer le texte a,commission,directive_(eu)_2016_1919_en.txt
ils,couvert par,directif,directive_(eu)_2016_1919_en.txt
ils,adopter dans,champ,directive_(eu)_2016_1919_en.txt
sa parution,est dans,journal officiel de l'union europeenne,directive_(eu)_2016_1919_en.txt
destinataires des articles,est,adresse,directive_(eu)_2016_1919_en.txt
article 14 destinataires,est,adresse,directive_(eu)_2016_1919_en.txt
destinataires des articles,est,adressee aux Etats membres,directive_(eu)_2016_1919_en.txt
article 14 destinataires,est,adressee aux Etats membres,directive_(eu)_2016_1919_en.txt
article 82 2,de point est,b,directive_(eu)_2016_343_en.txt
9 mars 2016,du conseil est,consacre aux articles 47,directive_(eu)_2016_343_en.txt
convention europeenne,de l'article est,article 14,directive_(eu)_2016_343_en.txt
convention europeenne,de l'article est,ICCPR,directive_(eu)_2016_343_en.txt
conseil,agissant dans,procedure legislative ordinaire,directive_(eu)_2016_343_en.txt
proces,est dans,procedure penale,directive_(eu)_2016_343_en.txt
Article 6,article de,Pacte international relatif aux droits civils,directive_(eu)_2016_343_en.txt
Parlement europeen,de la directive est,UE,directive_(eu)_2016_343_en.txt
9 mars 2016,du conseil est,statuant selon la procedure legislative ordinaire,directive_(eu)_2016_343_en.txt
renforcement,au conseil est,statuant selon la procedure legislative ordinaire,directive_(eu)_2016_343_en.txt
avis,considerer est,1,directive_(eu)_2016_343_en.txt
renforcement,au conseil est,consacre aux articles 47,directive_(eu)_2016_343_en.txt
droite,presomption de,innocence,directive_(eu)_2016_343_en.txt
conseil,inscrit dans,article 47,directive_(eu)_2016_343_en.txt
syndicat,a fixe,objectif de maintenir,directive_(eu)_2016_343_en.txt
syndicat,a fixe,lui-meme,directive_(eu)_2016_343_en.txt
syndicat,a fixe,objectif,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence du conseil europeen de tampere,directive_(eu)_2016_343_en.txt
cooperation,reconnaissance mutuelle renforcee des,jugements,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence du conseil europeen a tampere,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence du conseil europeen a tampere,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence du conseil europeen,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence du conseil europeen,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence du conseil europeen de celui-ci,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence du conseil europeen de celui-ci,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence du conseil europeen de tampere,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
conclusions de la presidence,est dans,tampere du 15 octobre 1999,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence du conseil europeen a tampere,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
cooperation,meilleure reconnaissance de,jugements,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence du conseil europeen de celui-ci,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence du conseil europeen a tampere,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence du conseil europeen,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence du conseil europeen de tampere,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence du conseil europeen a tampere,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence du conseil europeen de tampere,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence du conseil europeen de celui-ci,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
cooperation,reconnaissance mutuelle de,jugements,directive_(eu)_2016_343_en.txt
cooperation,reconnaissance de,jugements,directive_(eu)_2016_343_en.txt
cooperation,approximation de,legislation,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence du conseil europeen de tampere,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence du conseil europeen,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence du conseil europeen de celui-ci,directive_(eu)_2016_343_en.txt
approximation,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle renforcee,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
reconnaissance,faciliterait selon,conclusions de la presidence,directive_(eu)_2016_343_en.txt
cooperation,approximation necessaire de,legislation,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliterait selon,conclusions de la presidence du conseil europeen,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
reconnaissance renforcee,faciliterait selon,conclusions de la presidence a tampere,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation au sein du syndicat,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation judiciaire en matiere civile au sein de l'Union,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation judiciaire au sein de l'union,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation en matiere syndicale,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation judiciaire en matiere civile au sein de l'Union,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation en matiere syndicale,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation judiciaire dans les matieres de l'Union,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation au sein du syndicat,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation en matiere civile au sein de l'union,directive_(eu)_2016_343_en.txt
cooperation judiciaire,est dans,matiere civile,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation en matiere,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation judiciaire en matiere civile,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation judiciaire dans les affaires au sein de l'union,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation en matiere civile au sein de l'union,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation judiciaire en matiere civile,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation en matiere syndicale,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation judiciaire dans les matieres de l'Union,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation judiciaire,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation judiciaire en matiere,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation judiciaire,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation judiciaire en matiere,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation judiciaire en matiere civile au sein de l'union,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation en matiere civile au sein de l'union,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation au sein du syndicat,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation en matiere,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation judiciaire au sein de l'union,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation en matiere,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation judiciaire,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation judiciaire en matiere civile,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation en matiere civile,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation en matiere civile,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation judiciaire au sein de l'union,directive_(eu)_2016_343_en.txt
principe,devrait donc devenir,pierre angulaire de la cooperation judiciaire en matiere,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation,directive_(eu)_2016_343_en.txt
principe,devraient devenir,pierre angulaire de la cooperation,directive_(eu)_2016_343_en.txt
principe,pierre angulaire de,cooperation en matiere civile,directive_(eu)_2016_343_en.txt
cooperation judiciaire,est dans,affaires criminelles,directive_(eu)_2016_343_en.txt
cooperation judiciaire,est dans,syndicat,directive_(eu)_2016_343_en.txt
autre,dans,systemes de justice penale,directive_(eu)_2016_343_en.txt
confiance des etats membres,est dans,systemes de justice penale des autres,directive_(eu)_2016_343_en.txt
etendue,est,dependant,directive_(eu)_2016_343_en.txt
Etats membres,sont,faire la fete,directive_(eu)_2016_343_en.txt
Etats membres,sont,bien que parti,directive_(eu)_2016_343_en.txt
Etats membres,sont,bien parti pour echr,directive_(eu)_2016_343_en.txt
Etats membres,font partie de,echr,directive_(eu)_2016_343_en.txt
personnes suspectes,des droits est,feuille de route,directive_(eu)_2016_343_en.txt
conseil,adopte,resolution,directive_(eu)_2016_343_en.txt
conseil,adopte le,30 novembre 2009,directive_(eu)_2016_343_en.txt
personnes suspectes,est dans,procedure penale,directive_(eu)_2016_343_en.txt
conseil,adopte,resolution sur la feuille de route pour le renforcement,directive_(eu)_2016_343_en.txt
conseil,adopte,resolution pour renforcer,directive_(eu)_2016_343_en.txt
conseil,a adopte une resolution sur,30 novembre 2009,directive_(eu)_2016_343_en.txt
conseil,adopte,resolution sur la feuille de route,directive_(eu)_2016_343_en.txt
feuille de route,appels pour,adoption,directive_(eu)_2016_343_en.txt
feuille de route,appels pour,adoption de mesures,directive_(eu)_2016_343_en.txt
feuille de route,appelle juste pour,mesurer un,directive_(eu)_2016_343_en.txt
feuille de route,prise,approche etape par etape,directive_(eu)_2016_343_en.txt
droite,des garanties speciales pour,suspects,directive_(eu)_2016_343_en.txt
feuille de route,appels,droit a l'information sur les droits sur les charges,directive_(eu)_2016_343_en.txt
feuille de route,appelle juste pour,adoption de mesures,directive_(eu)_2016_343_en.txt
feuille de route,appels,droit a l'information,directive_(eu)_2016_343_en.txt
droite,droit a,conseils juridiques,directive_(eu)_2016_343_en.txt
droite,garanties pour,suspects,directive_(eu)_2016_343_en.txt
feuille de route,appelle juste pour,mesurer un,directive_(eu)_2016_343_en.txt
feuille de route,appelle juste pour,l'adoption de mesures concernant,directive_(eu)_2016_343_en.txt
feuille de route,appels pour,mesurer un,directive_(eu)_2016_343_en.txt
information,a droite est,droite,directive_(eu)_2016_343_en.txt
mesures,d'adoption est,mesurer un,directive_(eu)_2016_343_en.txt
feuille de route,appels pour,l'adoption de mesures concernant,directive_(eu)_2016_343_en.txt
feuille de route,appelle juste pour,adoption,directive_(eu)_2016_343_en.txt
feuille de route,appels,droit a l'information sur les droits,directive_(eu)_2016_343_en.txt
feuille de route,prise,approche par etapes,directive_(eu)_2016_343_en.txt
feuille de route,appels,droite,directive_(eu)_2016_343_en.txt
feuille de route,appels,droite,directive_(eu)_2016_343_en.txt
feuille de route,appels pour,mesurer un,directive_(eu)_2016_343_en.txt
Conseil europeen,accueilli,feuille de route,directive_(eu)_2016_343_en.txt
il,partie de,programme de stockholm,directive_(eu)_2016_343_en.txt
Conseil europeen,fait,cela fait partie du programme de stockholm,directive_(eu)_2016_343_en.txt
Conseil europeen,fait,ca fait partie,directive_(eu)_2016_343_en.txt
une meilleure cooperation,est dans,zone,directive_(eu)_2016_343_en.txt
commission,examiner,autres elements de droits minimaux pour les suspects,directive_(eu)_2016_343_en.txt
Conseil europeen,attrayant,examiner,directive_(eu)_2016_343_en.txt
commission,examiner,autres elements des droits proceduraux minimaux,directive_(eu)_2016_343_en.txt
commission,examiner,elements de droits minimaux,directive_(eu)_2016_343_en.txt
Conseil europeen,evaluer,si,directive_(eu)_2016_343_en.txt
commission,examiner,autres elements des droits proceduraux,directive_(eu)_2016_343_en.txt
commission,examiner,elements de droits pour les suspects,directive_(eu)_2016_343_en.txt
commission,examiner,elements supplementaires pour les suspects,directive_(eu)_2016_343_en.txt
Conseil europeen,attrayant,examiner,directive_(eu)_2016_343_en.txt
