en_Subject,en_Predicate,en_Object,Triple_ID,en_Subject_concept,en_Predicate_concept,en_Object_concept
data,should,should collected,directive_(eu)_2016_1919_en.txt,database:databases,-,-
data,should,should also collected,directive_(eu)_2016_1919_en.txt,database:databases,-,-
data,should,should collected in far,directive_(eu)_2016_1919_en.txt,database:databases,-,farmer:welfare
data,should,should also collected in far,directive_(eu)_2016_1919_en.txt,database:databases,-,farmer:welfare
directive,should apply,persons persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,should apply,accused persons persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,should apply persons persons to,suspects,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,should apply to,suspects,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
member states,should respect without,discrimination,directive_(eu)_2016_1919_en.txt,states,-,-
member states,should respect rights without,discrimination,directive_(eu)_2016_1919_en.txt,states,humanrights,-
right,integration of,persons with disabilities,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,-
directive,upholds,rights recognised,directive_(eu)_2016_1919_en.txt,directive:directives,-,humanrights
right,respect for,private life,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,wildlife
integrity,to right is,rights of child,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,humanrights:child:children
directive,upholds,fundamental rights recognised,directive_(eu)_2016_1919_en.txt,directive:directives,-,humanrights
directive,upholds,rights,directive_(eu)_2016_1919_en.txt,directive:directives,-,humanrights
directive,upholds,fundamental rights,directive_(eu)_2016_1919_en.txt,directive:directives,-,humanrights
liberty,to right is,respect for private life,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,wildlife
integrity,to right is,integration of persons with disabilities,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,-
rights,directive,principles,directive_(eu)_2016_1919_en.txt,humanrights,directive:directives,-
right,rights of,child,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,humanrights,child:children
directive,upholds,rights recognised by charter,directive_(eu)_2016_1919_en.txt,directive:directives,-,humanrights:chartering
persons,is with,disabilities,directive_(eu)_2016_1919_en.txt,-,-,-
fundamental rights,directive,principles,directive_(eu)_2016_1919_en.txt,humanrights,directive:directives,-
directive,upholds,fundamental rights recognised by charter,directive_(eu)_2016_1919_en.txt,directive:directives,-,humanrights:chartering
directive,should,should implemented,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,lays down,minimum rules,directive_(eu)_2016_1919_en.txt,directive:directives,Malaysia,-
rights,laid down in,directive,directive_(eu)_2016_1919_en.txt,humanrights,legalaid,directive:directives
member states,extend,rights,directive_(eu)_2016_1919_en.txt,states,-,humanrights
member states,should,should able,directive_(eu)_2016_1919_en.txt,states,-,vegetable
level,should fall below,standards,directive_(eu)_2016_1919_en.txt,-,fallow,standards
level,should fall as,interpreted,directive_(eu)_2016_1919_en.txt,-,fallow,-
level,should fall as,interpreted by ecthr,directive_(eu)_2016_1919_en.txt,-,fallow,-
level,should fall provided,provided charter,directive_(eu)_2016_1919_en.txt,-,fallow,chartering
level,should fall as,interpreted by court of justice by ecthr,directive_(eu)_2016_1919_en.txt,-,fallow,-
level,should fall as,interpreted by court,directive_(eu)_2016_1919_en.txt,-,fallow,-
level,should fall as,interpreted by court by ecthr,directive_(eu)_2016_1919_en.txt,-,fallow,-
level,should fall as,interpreted by court of justice,directive_(eu)_2016_1919_en.txt,-,fallow,-
articles 1,is in,respect of area of freedom,directive_(eu)_2016_1919_en.txt,-,-,-
member states,are bound by,it,directive_(eu)_2016_1919_en.txt,states,-,-
directive,accused,persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,accused persons in,criminal proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,criminalprocedure:criminal proceedings
directive,lays down,minimum rules concerning,directive_(eu)_2016_1919_en.txt,directive:directives,Malaysia,-
directive,lays down,common minimum rules,directive_(eu)_2016_1919_en.txt,directive:directives,Malaysia,-
directive,lays down,common minimum rules concerning,directive_(eu)_2016_1919_en.txt,directive:directives,Malaysia,-
directive,accused in,criminal proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,criminalprocedure:criminal proceedings
framework decision 2002 584,pursuant proceedings is,requested persons,directive_(eu)_2016_1919_en.txt,frameworkdecision:decision:decision-making:frameworkdecision:decisions:decisions...:framework decision,-,-
directive,lays down,minimum rules,directive_(eu)_2016_1919_en.txt,directive:directives,Malaysia,-
directive,accused persons in,proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,accused in,proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,complements,directives,directive_(eu)_2016_1919_en.txt,directive:directives,-,directives
nothing,shall,shall interpreted,directive_(eu)_2016_1919_en.txt,-,-,-
nothing,shall,shall interpreted as limiting,directive_(eu)_2016_1919_en.txt,-,-,-
nothing,is in,directive,directive_(eu)_2016_1919_en.txt,-,-,directive:directives
rights,nothing in,directive,directive_(eu)_2016_1919_en.txt,humanrights,-,directive:directives
directive,applies to,suspects,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,accused,persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,accused persons in,criminal proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,criminalprocedure:criminal proceedings
directive,required,attend,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
required,be,to assisted by lawyer,directive_(eu)_2016_1919_en.txt,-,-,-
required,be assisted by,lawyer,directive_(eu)_2016_1919_en.txt,-,-,-
directive,accused in,criminal proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,criminalprocedure:criminal proceedings
directive,accused persons in,proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,required,to attend,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,accused in,proceedings,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,applies to,persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,also applies to,persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,also applies to,requested persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,applies upon,arrest in executing member state,directive_(eu)_2016_1919_en.txt,directive:directives,-,arrest:arrested:states
directive,also applies upon,arrest,directive_(eu)_2016_1919_en.txt,directive:directives,-,arrest:arrested
arrest,is in,executing member state,directive_(eu)_2016_1919_en.txt,arrest:arrested,-,states
directive,also applies upon,arrest in member state,directive_(eu)_2016_1919_en.txt,directive:directives,-,arrest:arrested:states
directive,applies upon,arrest in member state,directive_(eu)_2016_1919_en.txt,directive:directives,-,arrest:arrested:states
directive,applies upon,arrest,directive_(eu)_2016_1919_en.txt,directive:directives,-,arrest:arrested
directive,also applies upon,arrest in executing member state,directive_(eu)_2016_1919_en.txt,directive:directives,-,arrest:arrested:states
directive,applies to,requested persons,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,also applies under,same conditions as provided for in paragraph 1,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,also applies under,conditions as provided,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,also applies under,conditions as provided for in paragraph 1,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,applies under,same conditions as provided,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,applies under,conditions as provided,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,also applies under,same conditions as provided,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,applies under,conditions as provided for in paragraph 1,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,applies under,same conditions as provided for in paragraph 1,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
jurisdiction,is in,criminal matters,directive_(eu)_2016_1919_en.txt,jurisdiction,-,criminalprocedure
jurisdiction,is in,criminal matters,directive_(eu)_2016_1919_en.txt,jurisdiction,-,criminalprocedure
decision,is,when taken,directive_(eu)_2016_1919_en.txt,decision:decision-making:frameworkdecision:decisions:decisions...,-,-
directive,applies in,event,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
decision,is,taken,directive_(eu)_2016_1919_en.txt,decision:decision-making:frameworkdecision:decisions:decisions...,-,-
article 4 legal aid,is in,criminal proceedings 1,directive_(eu)_2016_1919_en.txt,article:legality:legalactions:legalaid:aid:legalaid:legal aid,-,criminalprocedure:criminal proceedings
suspects,right to,aid,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,aid:legalaid
persons,lack,to pay,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
accused persons,lack,sufficient resources,directive_(eu)_2016_1919_en.txt,-,-,-
suspects,have,right to aid,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights:aid:legalaid
persons,lack,to pay for assistance of lawyer,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
resources,pay for,assistance,directive_(eu)_2016_1919_en.txt,-,pay:payload:payment:taxpayer,-
resources,pay for,assistance of lawyer,directive_(eu)_2016_1919_en.txt,-,pay:payload:payment:taxpayer,-
suspects,have,right to legal aid,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights:legality:legalactions:legalaid:aid:legalaid:legal aid
accused persons,lack,to pay for assistance of lawyer,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
accused persons,lack,resources,directive_(eu)_2016_1919_en.txt,-,-,-
accused persons,lack,pay for assistance,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
sufficient resources,pay for,assistance,directive_(eu)_2016_1919_en.txt,-,pay:payload:payment:taxpayer,-
suspects,have,right,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights
accused persons,lack,pay,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
accused persons,lack,to pay,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
persons,lack,pay for assistance,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
suspects,right to,legal aid,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,legality:legalactions:legalaid:aid:legalaid:legal aid
accused persons,lack,pay for assistance of lawyer,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
sufficient resources,pay for,assistance of lawyer,directive_(eu)_2016_1919_en.txt,-,pay:payload:payment:taxpayer,-
persons,lack,to pay for assistance,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
persons,lack,sufficient resources,directive_(eu)_2016_1919_en.txt,-,-,-
persons,lack,pay,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
persons,lack,resources,directive_(eu)_2016_1919_en.txt,-,-,-
accused persons,lack,to pay for assistance,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
persons,lack,pay for assistance of lawyer,directive_(eu)_2016_1919_en.txt,-,-,pay:payload:payment:taxpayer
member states,may apply,means test,directive_(eu)_2016_1919_en.txt,states,-,Protestantism:testing
legal aid,is,granted,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
aid,is,granted,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
member state,applies,means test,directive_(eu)_2016_1919_en.txt,states,-,Protestantism:testing
seriousness,account,complexity of case,directive_(eu)_2016_1919_en.txt,-,account:accountant:accounting,carcase:case-law
it,shall take,seriousness,directive_(eu)_2016_1919_en.txt,-,-,-
it,shall take,seriousness of offence,directive_(eu)_2016_1919_en.txt,-,-,offence:offences
it,shall take seriousness in,determine,directive_(eu)_2016_1919_en.txt,-,-,-
seriousness,account,complexity,directive_(eu)_2016_1919_en.txt,-,account:accountant:accounting,-
it,shall take in,determine,directive_(eu)_2016_1919_en.txt,-,-,-
seriousness,account,severity of sanction at stake,directive_(eu)_2016_1919_en.txt,-,account:accountant:accounting,-
it,shall take seriousness into,account,directive_(eu)_2016_1919_en.txt,-,-,account:accountant:accounting
seriousness,account,severity,directive_(eu)_2016_1919_en.txt,-,account:accountant:accounting,-
seriousness,account,severity at stake,directive_(eu)_2016_1919_en.txt,-,account:accountant:accounting,-
it,shall take into,account,directive_(eu)_2016_1919_en.txt,-,-,account:accountant:accounting
seriousness,account,severity of sanction,directive_(eu)_2016_1919_en.txt,-,account:accountant:accounting,-
interests,require,to granted,directive_(eu)_2016_1919_en.txt,interests,-,-
interests,require,granted,directive_(eu)_2016_1919_en.txt,interests,-,-
it,shall take,seriousness of criminal offence,directive_(eu)_2016_1919_en.txt,-,-,criminalprocedure:offence:offences
member state,applies,merits test,directive_(eu)_2016_1919_en.txt,states,-,Protestantism:testing
aid,is granted without,delay,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
legal aid,is granted without,undue delay,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
aid,is granted without,undue delay,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
legal aid,is granted without,delay,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
legal aid,is,granted,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
aid,is,granted,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
article 2 1,of acts is,c,directive_(eu)_2016_1919_en.txt,article,-,account:accountant:accounting:acculturation:acid:acidification:acoustics:advance:aerodynamics:Africa:aircraft:alcohol:alcoholism:Alsace:America:anarchism:Anglicanism:Antarctica:antibiotic:apiculture:apprentice:apprenticeship:aquaculture:arboriculture:archaeology:archipelago:architecture:archives:Arctic:association:astronautics:Attica:bankruptcy:Basilicata:benchmarking:bio-ethics:biochemistry:bioclimatology:bioconversion:biometrics:bioprocess:biotechnology:branch:brick:broadcasting:brucellosis:buckwheat:by-catch:by-election:by-product:cadmium:calcium:calf:camping:cancer:candidate:cannery:carbon:carcase:Caricom:carpet:carrier:cartel:cartography:case-law:cassava:cast-iron:catalogue:cataloguing:catering:Catholicism:cattle:cease-fire:cellulose:cement:cemetery:Cenelec:censorship:census:ceramics:cereal-growing:cereals:cervidae:champagne:chaptalisation:charcoal:charge:chartering:cheese:chemistry:cheque:child:chlorine:chromium:church:cider:cindynics:cinema:circular:civics:civilisation:claim:classification:clergy:climate:climatology:cloning:clothing:clover:co-determination:co-financing:co-insurance:coal:cobalt:cocoa:coding:coffee:cohabitation:coke:collectivism:colonialism:Comecon:comitology:commemoration:commuting:competition:competitiveness:composition:computer:concessionaire:concrete:condiment:confectionery:confidentiality:conglomerate:conifer:Connacht:conservatism:consortium:constitution:consulate:consultancy:consumer:consumption:container:contraception:contract:cooperative:copper:copyright:cork:corporatism:correspondence:corrosion:corruption:Corsica:cosmology:costing:cotton:countertrade:county:cow:craftsman:cream:credit:crew:crime:criminology:crustacean:cryptography:culture:Curacao:custody:customers:customs:cybernetics:cyclone:cytology:Czechoslovakia:decentralisation:decision:decision-making:decolonisation:decontamination:decree:delinquency:democracy:democratisation:depoliticisation:descendant:desertification:dictatorship:dictionary:directive:directory:discounting:dissidence:divorce:doctor:document:documentation:Dominica:eco-label:Ecofin:ecologism:ecology:econometrics:economics:economy:Ecosoc:ecosystem:Ecu:Ecuador:education:election:electorate:electrochemistry:electrometallurgy:electronics:electrotechnology:emancipation:encyclopaedia:epidemic:ergonomics:ethics:eugenics:Eurocommunism:Eurocontrol:Eurocorps:Eurocredit:Eurocurrency:Eurydice:eutrophication:evidence:ex-serviceman:executive:facsimile:Fascism:financing:floriculture:France:Franche-Comte:franchising:furnace:Galicia:genetics:geochemistry:geophysics:glucose:governance:Greece:gynaecology:handicrafts:helicopter:herbicide:homicide:horticulture:hydrocarbon:hydroponics:ice:icebreaker:Iceland:Ile-de-France:illiteracy:income:incompatibility:incorporation:incoterms:incunabula:indemnification:infancy:inheritance:injunction:insect:insecticide:insurance:intellectual:interactivity:interference:invoicing:isoglucose:Jamaica:jurisdiction:lactose:Languedoc-Roussillon:legitimacy:Liberec:Liechtenstein:linguistics:livestock:lockout:logistics:lubricants:lucerne:Macao:Macedonia:machinery:macroeconomics:Madagascar:maintenance:manuscript:Marches:mathematics:mechanisation:medicament:medicine:mendicity:mercenary:merchandising:merchant:Mercosur:mercury:Mexico:micro-computer:micro-enterprise:microeconomics:microelectronics:microfinance:microform:microloan:Micronesia:microorganism:mnemonics:mollusc:Moluccas:Monaco:monocracy:Morocco:municipality:music:nanotechnology:narcotic:Nicaragua:nickel:nomenclature:non-violence:nuisance:ocean:Oceania:oceanography:offence:oligarchy:Olomouc:optics:orchard:ordinance:outplacement:outsourcing:over-production:pacifism:packaging:paediatrics:Pardubice:peace:peacekeeping:pesticide:petrochemicals:pharmacist:pharmacology:pharmacy:photochemistry:Picardy:piracy:plasticiser:plastics:plebiscite:police:politician:politics:post-communism:pre-packaging:prefabrication:prices:production:productivity:protectionism:protocol:province:psychiatry:psychoanalysis:psychology:publication:purchase:racism:radioactivity:receivership:recommendation:record:recording:recruitment:rediscounting:redundancy:reinsurance:reparcelling:repentance:republic:research:residence:rice:robotics:scanner:Schleswig-Holstein:schooling:schoolwork:Scotland:screen:sculpture:search:section:secularity:securities:self-defence:self-financing:sericulture:service:Seychelles:Sicily:silviculture:socialism:sociology:spectrometry:speech:starch:statistics:stock:Stockholm:subcontracting:sucrose:suicide:surveillance:Taric:teacher:teaching:technology:telecommunications:telematics:telemedicine:therapeutics:thermodynamics:ticket:tobacco:toxicology:traceability:tractor:triticale:Tuscany:underproduction:Unesco:Unicef:usufruct:Utrecht:vaccination:vaccine:vehicle:victim:vinification:violence:viticulture:volcanology:Vysocina:watercourse:workplace:zinc:zootechnics:article:charges:children:costs:directives:frameworkdecision:march:offences:security:services:stockholm:constitutional:decisions:documents:importance:legalactions:victims:documentary:recorded:recordings:screening:therapeutic:trafficcontrol:criminalprocedure:judicialreview:decisions...:diplomatic:europeanconvention:judicialcooperation
legal aid,shall,shall granted only for purposes of criminal proceedings,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,criminalprocedure:criminal proceedings
person,committed,criminal offence,directive_(eu)_2016_1919_en.txt,-,-,criminalprocedure:offence:offences
aid,shall,shall granted only for purposes of criminal proceedings,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,criminalprocedure:criminal proceedings
person concerned,is suspected,having committed,directive_(eu)_2016_1919_en.txt,-,-,-
person concerned,committed,criminal offence,directive_(eu)_2016_1919_en.txt,-,-,criminalprocedure:offence:offences
legal aid,shall,shall granted only for purposes of proceedings,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
legal aid,shall,shall granted,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
person concerned,committed,offence,directive_(eu)_2016_1919_en.txt,-,-,offence:offences
person,is suspected,of having committed,directive_(eu)_2016_1919_en.txt,-,-,-
legal aid,shall,shall granted for purposes of criminal proceedings,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,criminalprocedure:criminal proceedings
legal aid,shall,shall granted only for purposes,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
aid,shall,shall granted,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
person concerned,is,suspected,directive_(eu)_2016_1919_en.txt,-,-,-
aid,shall,shall granted for purposes of criminal proceedings,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,criminalprocedure:criminal proceedings
aid,shall,shall granted only for purposes of proceedings,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
person,is,suspected,directive_(eu)_2016_1919_en.txt,-,-,-
person,committed,offence,directive_(eu)_2016_1919_en.txt,-,-,offence:offences
aid,shall,shall granted for purposes of proceedings,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
person,is suspected,having committed,directive_(eu)_2016_1919_en.txt,-,-,-
legal aid,shall,shall granted for purposes of proceedings,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
person concerned,is suspected,of having committed,directive_(eu)_2016_1919_en.txt,-,-,-
aid,shall,shall granted only for purposes,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
aid,shall,shall granted for purposes,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
legal aid,shall,shall granted for purposes,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
article 5 legal aid,is in,european arrest warrant proceedings 1,directive_(eu)_2016_1919_en.txt,article:legality:legalactions:legalaid:aid:legalaid:legal aid,-,european:europeanconvention:arrest:arrested:warrant:european arrest warrant
persons,right upon,arrest,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,arrest:arrested
requested persons,right to,legal aid,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,legality:legalactions:legalaid:aid:legalaid:legal aid
requested persons,right upon,arrest,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,arrest:arrested
they,are,until surrendered,directive_(eu)_2016_1919_en.txt,-,-,-
persons,right to,legal aid,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,legality:legalactions:legalaid:aid:legalaid:legal aid
persons,right to,aid,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,aid:legalaid
requested persons,right to,aid,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,aid:legalaid
they,are,surrendered,directive_(eu)_2016_1919_en.txt,-,-,-
issuing member state,shall ensure,that,directive_(eu)_2016_1919_en.txt,states,-,-
member state,shall ensure,that,directive_(eu)_2016_1919_en.txt,states,-,-
right,may,may subject,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,-
right,may,may subject to means test,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,Protestantism:testing
legal aid,be,made without delay by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
legal aid,be,on assignment of lawyers made by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
aid,be,on assignment of lawyers made without delay by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
aid,be,on assignment of lawyers made without undue delay by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
aid,be,on assignment of lawyers made by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
legal aid,be,on assignment made without undue delay by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
legal aid,be made by,authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
legal aid,be,made without undue delay by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
aid,be,on assignment of lawyers made without undue delay by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
aid,be made by,authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
legal aid,be,made without delay by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
aid,be,on assignment made without undue delay by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
aid,be,made without undue delay by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
aid,be,on assignment made by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
aid,be made by,competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
legal aid,be,on assignment made without delay by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
aid,be,made without delay by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
aid,be,on assignment of lawyers made without delay by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
aid,be,on assignment made without delay by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
legal aid,be,on assignment of lawyers made without delay by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
legal aid,be,on assignment made without undue delay by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
aid,be,on assignment of lawyers made by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
legal aid,be,on assignment made by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
aid,be,made without undue delay by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
aid,be,made without delay by authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,-
aid,be,on assignment made by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
legal aid,be,on assignment of lawyers made by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
aid,be,on assignment made without delay by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
aid,be,on assignment made without undue delay by competent authority,directive_(eu)_2016_1919_en.txt,aid:legalaid,-,reassignment
legal aid,be,on assignment of lawyers made without undue delay by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
legal aid,be,on assignment made by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
legal aid,be made by,competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
legal aid,be,on assignment of lawyers made without delay by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
legal aid,be,on assignment made without delay by authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
legal aid,be,made without undue delay by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,-
legal aid,be,on assignment of lawyers made without undue delay by competent authority,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,reassignment
authority,respecting,rights of defence,directive_(eu)_2016_1919_en.txt,-,-,humanrights:self-defence
competent authority,respecting,rights of defence,directive_(eu)_2016_1919_en.txt,-,-,humanrights:self-defence
competent authority,takes diligently,its decisions,directive_(eu)_2016_1919_en.txt,-,-,decisions:decisions...
authority,respecting,rights,directive_(eu)_2016_1919_en.txt,-,-,humanrights
competent authority,respecting,rights,directive_(eu)_2016_1919_en.txt,-,-,humanrights
its decisions,respecting,rights,directive_(eu)_2016_1919_en.txt,decisions:decisions...,-,humanrights
authority,takes,its decisions,directive_(eu)_2016_1919_en.txt,-,-,decisions:decisions...
authority,takes diligently,its decisions,directive_(eu)_2016_1919_en.txt,-,-,decisions:decisions...
member states,shall take,measures,directive_(eu)_2016_1919_en.txt,states,-,-
member states,shall take,appropriate measures,directive_(eu)_2016_1919_en.txt,states,-,-
member states,shall take,to ensure,directive_(eu)_2016_1919_en.txt,states,-,-
its decisions,respecting,rights of defence,directive_(eu)_2016_1919_en.txt,decisions:decisions...,-,humanrights:self-defence
competent authority,takes,its decisions,directive_(eu)_2016_1919_en.txt,-,-,decisions:decisions...
member states,shall take,ensure,directive_(eu)_2016_1919_en.txt,states,-,-
their request,is refused in,part,directive_(eu)_2016_1919_en.txt,-,-,apartheid:partnership
their request,is,if refused in part,directive_(eu)_2016_1919_en.txt,-,-,apartheid:partnership
their request,is,if refused,directive_(eu)_2016_1919_en.txt,-,-,-
member states,shall take,to ensure,directive_(eu)_2016_1919_en.txt,states,-,-
