fr_Subject,fr_Predicate,fr_Object,Triple_ID,fr_Subject_concept,fr_Predicate_concept,fr_Object_concept
regles minimales communes,peut egalement eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut eliminer les obstacles a,circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement eliminer les obstacles a,circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut supprimer,obstacles,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut eliminer les obstacles a,mouvement,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement supprimer,obstacles,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement eliminer les obstacles a,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut supprimer pour,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut supprimer pour,mouvement libre,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement supprimer pour,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut supprimer,obstacles,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement supprimer pour,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut egalement supprimer pour,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut eliminer les obstacles a,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut eliminer les obstacles a,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut supprimer pour,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement eliminer les obstacles a,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut eliminer les obstacles a,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut eliminer les obstacles a,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement supprimer pour,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement supprimer pour,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut eliminer les obstacles a,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement eliminer les obstacles a,mouvement,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement eliminer les obstacles a,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut egalement eliminer les obstacles a,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement eliminer les obstacles a,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement eliminer les obstacles a,mouvement,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut egalement supprimer pour,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement supprimer pour,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement supprimer pour,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut eliminer les obstacles a,circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut supprimer pour,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut eliminer les obstacles a,mouvement,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut eliminer les obstacles a,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut egalement eliminer les obstacles a,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut egalement eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut supprimer pour,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut eliminer les obstacles a,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut supprimer,obstacles,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut supprimer pour,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut eliminer les obstacles a,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement eliminer les obstacles a,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut supprimer pour,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut supprimer pour,circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut eliminer les obstacles a,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut supprimer pour,mouvement,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut supprimer pour,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut egalement eliminer les obstacles a,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut supprimer pour,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement supprimer pour,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut supprimer pour,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement eliminer les obstacles a,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut egalement supprimer pour,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement supprimer pour,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut supprimer,obstacles,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut egalement supprimer pour,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut egalement supprimer pour,mouvement libre,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement supprimer pour,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement supprimer pour,mouvement libre,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut supprimer pour,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement supprimer pour,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement eliminer les obstacles a,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement supprimer pour,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut egalement supprimer pour,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut supprimer pour,mouvement libre,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut eliminer les obstacles a,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut supprimer pour,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement supprimer pour,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut supprimer pour,mouvement,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut supprimer pour,mouvement,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut eliminer les obstacles a,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement eliminer les obstacles a,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut supprimer pour,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement supprimer pour,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut eliminer les obstacles a,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut supprimer pour,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut supprimer pour,circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut supprimer pour,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut egalement eliminer les obstacles a,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement supprimer pour,mouvement,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement supprimer,obstacles,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut supprimer pour,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut supprimer pour,mouvement libre,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut supprimer pour,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut egalement supprimer pour,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut egalement eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut egalement supprimer pour,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut supprimer pour,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement eliminer les obstacles a,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut egalement supprimer pour,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut supprimer pour,circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut supprimer pour,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut eliminer les obstacles a,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement eliminer les obstacles a,mouvement,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut eliminer les obstacles a,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement supprimer pour,circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut eliminer les obstacles a,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut supprimer pour,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut eliminer les obstacles a,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut eliminer les obstacles a,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut egalement eliminer les obstacles a,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut eliminer les obstacles a,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut supprimer pour,circulation sur l'ensemble du territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut supprimer pour,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement eliminer les obstacles a,libre circulation sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales,peut egalement supprimer pour,mouvement,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut eliminer les obstacles a,circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut supprimer pour,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,mouvement,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut egalement supprimer pour,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement eliminer les obstacles a,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut supprimer pour,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement supprimer pour,libre circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut eliminer les obstacles a,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ces regles minimales communes,peut egalement eliminer les obstacles a,circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement supprimer pour,mouvement libre,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut egalement eliminer les obstacles a,libre circulation sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement eliminer les obstacles a,libre circulation des citoyens sur tout le territoire des Etats membres,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut egalement eliminer les obstacles a,circulation des citoyens,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales communes,peut eliminer les obstacles a,deplacement sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales communes,peut eliminer les obstacles a,mouvement libre,directive_(eu)_2016_343_en.txt,commune,-,-
regles minimales,peut egalement supprimer pour,circulation des citoyens sur le territoire des Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales,peut supprimer pour,circulation des citoyens,directive_(eu)_2016_343_en.txt,-,-,-
regles minimales communes,peut supprimer pour,circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,commune,-,-
ces regles minimales,peut supprimer pour,libre circulation des citoyens sur tout le territoire,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer a,procedure penale,directive_(eu)_2016_343_en.txt,-,-,procedure penale:procedure speciale
directif,devrait s'appliquer comme,interprete par le tribunal sans prejudice,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par le tribunal sans prejudice de la jurisprudence,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer a,seules poursuites penales,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par la cour de justice de l'union europeenne sans prejudice de la jurisprudence,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer comme,interprete par le tribunal de l'union europeenne sans prejudice,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par la cour de justice de l'union europeenne sans prejudice de la jurisprudence de la cour europeenne,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
justice,du tribunal est,rechercher,directive_(eu)_2016_343_en.txt,-,-,recherche
directif,devrait s'appliquer comme,interprete par la cour de justice sans prejudice de la jurisprudence,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer comme,interprete sans prejudice,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par la cour de justice de l'union europeenne sans prejudice de la jurisprudence de la cour europeenne des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,jurisprudence:droits de lhomme:Cour europeenne des droits de lhomme
directif,devrait s'appliquer a,procedure,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par le tribunal,directive_(eu)_2016_343_en.txt,-,-,-
rechercher,cour de,justice,directive_(eu)_2016_343_en.txt,recherche,-,-
directif,devrait s'appliquer comme,interprete par le tribunal sans prejudice de la jurisprudence de la Cour europeenne,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer comme,interprete par la cour de justice sans prejudice,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete sans prejudice de la jurisprudence de la cour europeenne des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,jurisprudence:droits de lhomme:Cour europeenne des droits de lhomme
directif,devrait s'appliquer comme,interprete par la cour de justice,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par le tribunal de l'union europeenne,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par la cour de justice sans prejudice de la jurisprudence de la cour europeenne,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer comme,interprete par le tribunal de l'union europeenne sans prejudice de la jurisprudence de la cour europeenne des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,jurisprudence:droits de lhomme:Cour europeenne des droits de lhomme
directif,devrait s'appliquer comme,interprete par la cour de justice sans prejudice de la jurisprudence de la cour europeenne des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,jurisprudence:droits de lhomme:Cour europeenne des droits de lhomme
directif,devrait s'appliquer comme,interprete par le tribunal de l'union europeenne sans prejudice de la jurisprudence,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer comme,interprete sans prejudice de la jurisprudence,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer comme,interprete par la cour de justice de l'union europeenne,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par un tribunal sans prejudice de la jurisprudence de la Cour europeenne des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,jurisprudence:droits de lhomme:Cour europeenne des droits de lhomme
directif,devrait s'appliquer comme,interprete par la cour de justice de l'union europeenne sans prejudice,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete sans prejudice de la jurisprudence de la Cour europeenne,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer a,seules procedures,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete,directive_(eu)_2016_343_en.txt,-,-,-
directif,devrait s'appliquer comme,interprete par le tribunal de l'union europeenne sans prejudice de la jurisprudence du tribunal europeen,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
directif,devrait s'appliquer a,personnes,directive_(eu)_2016_343_en.txt,-,-,personnel
directif,devrait s'appliquer a,personnes physiques,directive_(eu)_2016_343_en.txt,-,-,personnel:personne physique
accuses,est dans,procedure penale,directive_(eu)_2016_343_en.txt,-,-,procedure penale:procedure speciale
personne,infraction commise,fait,directive_(eu)_2016_343_en.txt,personnel,infraction,-
il,devrait s'appliquer a partir de,moment,directive_(eu)_2016_343_en.txt,-,-,-
personne,engage,infraction penale,directive_(eu)_2016_343_en.txt,personnel,-,infraction
personne,meme est fait,informe par les autorites competentes de l'Etat membre,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,engage,avant fait,directive_(eu)_2016_343_en.txt,personnel,-,-
il,est,suspect,directive_(eu)_2016_343_en.txt,-,-,-
personne,est,fait,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,infraction commise,avant meme d'avoir fait,directive_(eu)_2016_343_en.txt,personnel,infraction,-
personne,meme est fait,informe par les autorites de l'Etat membre,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,meme est fait,informe par les autorites competentes,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est suspecte,d'avoir commis,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est fait,averti par les autorites,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est,meme fait,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,engage,meme fait,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est,avant meme d'avoir fait,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est,avant fait,directive_(eu)_2016_343_en.txt,personnel,-,-
elle,est,suspect,directive_(eu)_2016_343_en.txt,-,-,-
personne,infraction commise,meme fait,directive_(eu)_2016_343_en.txt,personnel,infraction,-
personne,est,soupconne,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,engage,infraction,directive_(eu)_2016_343_en.txt,personnel,-,infraction
personne,est suspecte,avoir commis,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,meme est fait,averti par les autorites,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est fait,informe par les autorites competentes de l'Etat membre,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,infraction commise,avant fait,directive_(eu)_2016_343_en.txt,personnel,infraction,-
personne,est,lorsqu'il est suspecte,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est fait,conscient,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,engage,fait,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,engage,infraction donc,directive_(eu)_2016_343_en.txt,personnel,-,infraction
personne,engage,avant meme d'avoir fait,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est fait,informe par les autorites competentes,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,est fait,informe par les autorites de l'Etat membre,directive_(eu)_2016_343_en.txt,personnel,-,-
elle,accuse,personne,directive_(eu)_2016_343_en.txt,-,-,personnel
personne,meme est fait,conscient,directive_(eu)_2016_343_en.txt,personnel,-,-
personne,engage,infraction penale donc,directive_(eu)_2016_343_en.txt,personnel,-,infraction
directif,devrait postuler a,etapes de la procedure penale,directive_(eu)_2016_343_en.txt,-,-,procedure penale:procedure speciale
droite,est dans,procedure penale,directive_(eu)_2016_343_en.txt,-,-,procedure penale:procedure speciale
information,est dans,procedure penale,directive_(eu)_2016_343_en.txt,information,-,procedure penale:procedure speciale
tierce personne,communiquer avec,autorites consulaires,directive_(eu)_2016_343_en.txt,personnel,-,-
faire la fete,communiquer avec,personnes,directive_(eu)_2016_343_en.txt,-,-,personnel
tierce personne,communiquer avec,personnes,directive_(eu)_2016_343_en.txt,personnel,-,personnel
conseil,est dans,procedure de mandat d'arret europeen,directive_(eu)_2016_343_en.txt,-,-,mandat:mandat darret europeen
tierce personne,communiquer,en etant prive,directive_(eu)_2016_343_en.txt,personnel,-,-
faire la fete,communiquer avec,tiers,directive_(eu)_2016_343_en.txt,-,-,-
faire la fete,informe de,privation de liberte,directive_(eu)_2016_343_en.txt,-,-,-
tierce personne,communiquer,prive de liberte,directive_(eu)_2016_343_en.txt,personnel,-,-
faire la fete,communiquer avec,autorites consulaires,directive_(eu)_2016_343_en.txt,-,-,-
tierce personne,communiquer avec,tiers,directive_(eu)_2016_343_en.txt,personnel,-,-
tierce personne,informe de,privation de liberte,directive_(eu)_2016_343_en.txt,personnel,-,-
tierce personne,communiquer,prive,directive_(eu)_2016_343_en.txt,personnel,-,-
faire la fete,communiquer,en etant prive,directive_(eu)_2016_343_en.txt,-,-,-
faire la fete,communiquer,pendant la privation de liberte,directive_(eu)_2016_343_en.txt,-,-,-
avocat,est dans,procedure penale,directive_(eu)_2016_343_en.txt,avocat,-,procedure penale:procedure speciale
tierce personne,informe de,privation,directive_(eu)_2016_343_en.txt,personnel,-,-
faire la fete,communiquer,prive,directive_(eu)_2016_343_en.txt,-,-,-
tierce personne,communiquer,pendant la privation de liberte,directive_(eu)_2016_343_en.txt,personnel,-,-
faire la fete,informe de,privation,directive_(eu)_2016_343_en.txt,-,-,-
faire la fete,communiquer avec,les autorites,directive_(eu)_2016_343_en.txt,-,-,-
tierce personne,communiquer avec,les autorites,directive_(eu)_2016_343_en.txt,personnel,-,-
faire la fete,communiquer,prive de liberte,directive_(eu)_2016_343_en.txt,-,-,-
directif,reconnait at_time,11.3.2016 fr journal officiel,directive_(eu)_2016_343_en.txt,-,-,journal:journal officiel
directif,reconnait les besoins a_temps,11.3.2016 fr journal officiel,directive_(eu)_2016_343_en.txt,-,-,journal:journal officiel
differents besoins,directif,les niveaux,directive_(eu)_2016_343_en.txt,-,-,-
directif,reconnait les besoins a_temps,11.3.2016 fr journal officiel de l'union europeenne,directive_(eu)_2016_343_en.txt,-,-,journal:journal officiel
directif,reconnait at_time,11.3.2016 fr journal officiel de l'union europeenne,directive_(eu)_2016_343_en.txt,-,-,journal:journal officiel
besoins,directif,les niveaux,directive_(eu)_2016_343_en.txt,-,-,-
une telle protection,se reflete dans,jurisprudence,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
protection,se reflete dans,jurisprudence,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
une telle protection,se reflete dans,jurisprudence de la cour europeenne,directive_(eu)_2016_343_en.txt,-,-,jurisprudence
une telle protection,est,en ce qui concerne les personnes physiques refletees dans une jurisprudence bien etablie,directive_(eu)_2016_343_en.txt,-,-,personnel:jurisprudence:personne physique
une telle protection,se reflete dans,jurisprudence de la cour europeenne des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,jurisprudence:droits de lhomme:Cour europeenne des droits de lhomme
une telle protection,est,en ce qui concerne les personnes physiques refletees dans la jurisprudence de la cour europeenne des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,personnel:jurisprudence:personne physique:droits de lhomme:Cour europeenne des droits de lhomme
