ID,EN,FR,DE
1774,malta,malte,malta
1775,marine mammal,mammifere marin,meeressaugetier
1776,english channel,manche,armelkanal
1777,power of attorney,mandat,vollmacht
1778,elective office,mandat electif,wahlmandat
1779,manganese,manganese,mangan
1780,cultural event,manifestation culturelle,kulturelle veranstaltung
1781,cassava,manioc,manihot
1782,balance-sheet analysis,analyse des bilans,bilanzanalyse
1783,unskilled worker,manoeuvre,hilfsarbeiter
1784,school textbook,manuel scolaire,schulbuch
1785,maoism,maoisme,maoismus
1786,market,marche,markt
1787,futures market,marche a terme,terminmarkt
1788,agricultural market,marche agricole,agrarmarkt
1789,community agricultural market,marche agricole communautaire,agrarmarkt der gemeinschaft
1790,spot market,marche au comptant,kassamarkt
1791,cost analysis,analyse des couts,kostenanalyse
1792,common market,marche commun,gemeinsamer markt
1793,arab common market,marche commun arabe,arabischer gemeinsamer markt
1794,arab common market countries,pays du marche commun arabe,staaten des arabischen gemeinsamen markts
1795,community market,marche communautaire,gemeinschaftsmarkt
1796,supplies contract,marche de fournitures,lieferauftrag
1797,negotiated contract,marche de gre a gre,freihandige vergabe
1798,works contract,marche de travaux,bauauftrag
1799,foreign exchange market,marche des changes,devisenmarkt
1800,economic analysis,analyse economique,wirtschaftsanalyse
1801,commodities market,marche des produits de base,grundstoffmarkt
1802,labour market,marche du travail,arbeitsmarkt
1803,foreign market,marche exterieur,aussenmarkt
1804,financial market,marche financier,finanzmarkt
1805,real estate market,marche foncier,grundstucksmarkt
1806,domestic market,marche interieur,inlandsmarkt
1807,international market,marche international,internationaler markt
1808,open market,marche libre,freier devisenmarkt
1809,money market,marche monetaire,geldmarkt
1810,public contract,marche public,offentlicher auftrag
1811,financial analysis,analyse financiere,finanzanalyse
1812,official market,marche reglemente,geregelter devisenmarkt
1813,marches,marches,marken
1814,margarine,margarine,margarine
1815,trading margin,marge commerciale,handelsspanne
1816,fluctuation margin,marge de fluctuation,bandbreite
1817,marginalisation,exclusion sociale,soziale ausgrenzung
1818,marriage,mariage,eheschliessung
1819,morocco,maroc,marokko
1820,social analysis,analyse sociale,gesellschaftliche analyse
1821,trademark,marque,warenzeichen
1822,martinique,martinique,martinique
1823,marxism,marxisme,marxismus
1824,budget volume,masse budgetaire,haushaltsvolumen
1825,money supply,masse monetaire,geldvolumen
1826,building materials,materiau de construction,baustoffe
1827,heat-resisting materials,materiau refractaire,feuerfestes material
1828,lighting equipment,materiel d'eclairage,elektrischer leuchtkorper
1829,anarchism,anarchisme,anarchismus
1830,construction equipment,materiel de construction,baumaschinen
1831,drilling equipment,materiel de forage,tiefbohrgerate und -anlagen
1832,hoisting equipment,materiel de levage,hebezeug
1833,electrical equipment,materiel electrique,elektromaterial
1834,mechanical equipment,materiel mecanique,mechanische gerate und anlagen
1835,mathematics,mathematiques,mathematik
1836,milk fat,matiere grasse du lait,milchfett
1837,plastics,matiere plastique,kunststoff
1838,asean,anase,asean
1839,raw material,matiere premiere,rohstoff
1840,radioactive materials,matiere radioactive,radioaktiver stoff
1841,mauritius,maurice,mauritius
1842,mauritania,mauritanie,mauretanien
1843,mayotte,mayotte,mayotte
1844,cacm countries,pays du mcca,mcac-staaten
1845,precision engineering,mecanique de precision,feinmechanik
1846,general mechanical engineering,mecanique generale,allgemeiner maschinenbau
1847,asean countries,pays de l'anase,asean-staaten
1848,mechanisation,mecanisation,mechanisierung
1849,mechanisation of agriculture,mecanisation agricole,mechanisierung der landwirtschaft
1850,exchange-rate mechanism,mecanisme d'intervention monetaire,wahrungspolitischer interventionsmechanismus
1851,support mechanism,mecanisme de soutien,beistandsmechanismus
1852,medicine,medecine,medizin
1853,occupational medicine,medecine du travail,arbeitsmedizin
1854,disease prevention,prevention des maladies,krankheitsvorbeugung
1855,school medicine,medecine scolaire,schularztliche versorgung
1856,veterinary medicine,medecine veterinaire,tiermedizin
1857,slaughter of animals,abattage d'animaux,schlachtung
1858,bretton woods agreement,accord de bretton woods,abkommen von bretton woods
1859,anatomy,anatomie,anatomie
1860,mediator,mediateur,mittler
1861,megalopolis,megalopole,megalopolis
1862,melanesia,melanesie,melanesien
1863,molasses,melasse,melasse
1864,household,menage,privathaushalt
1865,farm household,menage agricole,landwirtschaftlicher haushalt
1866,monthly pay,mensualisation,monatliche lohnzahlung
1867,joinery,menuiserie,schreinerei
1868,metalwork,menuiserie metallique,metallbau
1869,ex-serviceman,ancien combattant,ehemaliger kriegsteilnehmer
1870,sea,mer,meer
1871,baltic sea,mer baltique,ostsee
1872,irish sea,mer d'irlande,irische see
1873,andalusia,andalousie,andalusien
1874,andorra,andorre,andorra
1875,norwegian sea,mer de norvege,norwegensee
1876,angola,angola,angola
1877,north sea,mer du nord,nordsee
1878,anhydride,anhydride,anhydrid
1879,mediterranean sea,mer mediterranee,mittelmeer
1880,mercury,mercure,quecksilber
1881,measure having equivalent effect,mesure d'effet equivalent,massnahme gleicher wirkung
1882,metals,metal,metall
1883,ferrous metal,metal ferreux,eisenmetall
1884,heavy metal,metal lourd,schwermetall
1885,non-ferrous metal,metal non ferreux,ne-metall
1886,precious metal,metal precieux,edelmetall
1887,metalloid,metalloide,metalloid
1888,slaughter animal,animal de boucherie,schlachttier
1889,powder metallurgy,metallurgie des poudres,pulvermetallurgie
1890,share farming,metayage,teilpacht
1891,meslin,meteil,mengkorn
1892,meteorology,meteorologie,meteorologie
1893,methanol,methanol,methanol
1894,research method,methode de recherche,forschungsmethode
1895,statistical method,methode statistique,statistische methode
1896,metrology,metrologie,metrologie
1897,metropolis,metropole,metropole
1898,farm animal,animal de ferme,landwirtschaftliches nutztier
1899,mexico,mexique,mexiko
1900,mezzogiorno,mezzogiorno,mezzogiorno
1901,microeconomics,microeconomie,mikrookonomie
1902,microform,microforme,mikroform
1903,micronesia,micronesie,mikronesien
1904,midi-pyrenees,midi-pyrenees,midi-pyrenees
1905,east midlands,midlands de l'est,ostliches mittelengland
1906,west midlands,midlands de l'ouest,westliches mittelengland
1907,honey,miel,honig
1908,draught animal,animal de trait,zugtier
1909,migration,migration,wanderung
1910,commuting,migration alternante,pendelwanderung
1911,return migration,migration de retour,ruckwanderung
1912,family migration,migration familiale,familienwanderung
1913,forced migration,migration forcee,zwangswanderung
1914,frontier migration,migration frontaliere,grenzuberschreitende wanderung
1915,illegal migration,migration illegale,illegale zuwanderung
1916,internal migration,migration interieure,binnenwanderung
1917,interurban migration,migration interurbaine,wanderung zwischen den stadten
1918,clearing agreement,accord de compensation,verrechnungsabkommen
1919,domestic animal,animal domestique,haustier
1920,intraurban commuting,migration intra-urbaine,innerstadtische wanderung
1921,community migration,migration communautaire,innergemeinschaftliche wanderung
1922,occupational migration,migration professionnelle,wanderung aus beruflichen grunden
1923,rural migration,migration rurale,landflucht
1924,migration from the countryside to the town,migration rurale urbaine,land-stadt-wanderung
1925,seasonal migration,migration saisonniere,saisonwanderung
1926,working environment,milieu de travail,arbeitsumgebung
1927,school environment,milieu scolaire,schulische umgebung
1928,political militant,militant politique,aktives parteimitglied
1929,breeding animal,animal reproducteur,zuchttier
1930,militarisation of space,militarisation de l'espace,militarisierung des weltraums
1931,militarism,militarisme,militarismus
1932,millet,millet,hirse
1933,iron ore,minerai de fer,eisenerz
1934,non-ferrous ore,minerai non ferreux,ne-erz
1935,non-metallic ore,minerai non metallique,nichterz
1936,mineralogy,mineralogie,mineralogie
1937,live animal,animal sur pied,lebendes tier
1938,public prosecutor's department,ministere public,staatsanwaltschaft
1939,minister,ministre,minister
1940,infancy,minorite civile,minderjahrigkeit
1941,national minority,minorite nationale,nationale minderheit
1942,sexual minority,minorite sexuelle,sexuelle minderheit
1943,flour milling,minoterie,mullerei
1944,missile,missile,rakete
1945,metal furniture,mobilier metallique,metallmobiliar
1946,labour mobility,mobilite de la main-d'oeuvre,mobilitat der arbeitskrafte
1947,land mobility,mobilite fonciere,bodenmobilitat
1948,geographical mobility,mobilite geographique,raumliche mobilitat
1949,residential mobility,mobilite residentielle,wechselnder aufenthaltsort
1950,student mobility,mobilite scolaire,schulische mobilitat
1951,social mobility,mobilite sociale,soziale mobilitat
1952,financing method,mode de financement,finanzierungsart
1953,voting method,mode de scrutin,wahlmodus
1954,mode of transport,mode de transport,beforderungsart
1955,economic model,modele economique,wirtschaftsmodell
1956,company modernisation,modernisation de l'entreprise,betriebsmodernisierung
1957,modernisation of industry,modernisation industrielle,modernisierung der industrie
1958,farm modernisation,modernisation de l'exploitation agricole,modernisierung landwirtschaftlicher betriebe
1959,budgetary amendment,modification budgetaire,anderung des haushaltsplans
1960,molise,molise,molise
1961,mollusc,mollusque,weichtiere
1962,yearbook,annuaire,jahrbuch
1963,moluccas,moluques,molukken
1964,molybdenum,molybdene,molybdan
1965,monaco,monaco,monaco
1966,constitutional monarchy,monarchie parlementaire,parlamentarische monarchie
1967,universalism,mondialisme,mondialismus
1968,mongolia,mongolie,die mongolei
1969,money,monnaie,geld
1970,reserve currency,monnaie de reserve,reservewahrung
1971,electronic funds transfer,monnaie electronique,elektronisches geld
1972,paper money,monnaie fiduciaire,papiergeld
1973,international currency,monnaie internationale,internationale wahrung
1974,national currency,monnaie nationale,landeswahrung
1975,deposit money,monnaie scripturale,giralgeld
1976,unicameral system,monocamerisme,einkammersystem
1977,monocracy,monocratie,monokratie
1978,monograph,monographie,monografie
1979,monopoly,monopole,monopol
1980,monopsony,monopole d'achat,nachfragemonopol
1981,state monopoly,monopole d'etat,staatsmonopol
1982,import monopoly,monopole d'importation,einfuhrmonopol
1983,antarctica,antarctique,antarktis
1984,monopoly of information,monopole de l'information,informationsmonopol
1985,fiscal monopoly,monopole fiscal,steuermonopol
1986,montserrat,montserrat,montserrat
1987,mountain,montagne,gebirge
1988,monetary compensatory amount,montant compensatoire monetaire,wahrungsausgleichsbetrag
1989,ethics,ethique,ethik
1990,public morality,moralite publique,gute sitten
1991,mortality,mortalite,sterblichkeit
1992,infant mortality,mortalite infantile,sauglingssterblichkeit
1993,occupational mortality,mortalite professionnelle,berufssterblichkeit
1994,engine,moteur,motor
1995,motion of censure,motion de censure,misstrauensantrag
1996,consumer motivation,motivation du consommateur,motivation des verbrauchers
1997,antibiotic,antibiotique,antibiotikum
1998,political motivation,motivation politique,politische motivation
1999,autonomous movement,mouvement autonomiste,autonomiebewegung
2000,anti-racist movement,mouvement contre le racisme,antirassismusbewegung
2001,trends of opinion,mouvement d'opinion,politische bewegung
2002,capital movement,mouvement de capitaux,kapitalverkehr
2003,women's movement,mouvement de femmes,frauenbewegung
2004,youth movement,mouvement de jeunes,jugendbewegung
2005,national liberation movement,mouvement de liberation nationale,nationale befreiungsbewegung
2006,complementarity agreement,accord de complementarite,erganzungsabkommen
2007,ecology movement,mouvement ecologiste,okologische bewegung
2008,european movement,mouvement europeen,europaische bewegung
2009,workers' movement,mouvement ouvrier,arbeiterbewegung
2010,farmers' movement,mouvement paysan,bauernbewegung
2011,social movement,mouvement social,soziale bewegung
2012,means of communication,moyen de communication,kommunikationsmittel
2013,mass media,moyen de communication de masse,massenmedium
2014,means of agricultural production,moyen de production agricole,landwirtschaftliches betriebsmittel
2015,means of transport,moyen de transport,beforderungsmittel
2016,medium-sized business,moyenne entreprise,mittleres unternehmen
2017,medium-sized holding,moyenne exploitation,landwirtschaftlicher mittelbetrieb
2018,mozambique,mozambique,mosambik
2019,multilingualism,multilinguisme,mehrsprachigkeit
2020,multiparty system,multipartisme,mehrparteiensystem
2021,munster,munster,munster
2022,museum,musee,museum
2023,music,musique,musik
2024,british west indies,antilles anglaises,britische antillen
2025,mushroom-growing,myciculture,pilzzucht
2026,north-west atlantic fisheries organisation,organisation des peches de l'atlantique nord-ouest,organisation fur die fischerei im nordwestatlantik
2027,namibia,namibie,namibia
2028,province of namur,province de namur,provinz namur
2029,births,natalite,geburtenhaufigkeit
2030,national socialism,national-socialisme,nationalsozialismus
2031,nationalisation,nationalisation,verstaatlichung
2032,french west indies,antilles francaises,franzosische antillen
2033,nationalism,nationalisme,nationalismus
2034,nationality,nationalite,staatsangehorigkeit
2035,nationality of legal persons,nationalite des personnes morales,staatsangehorigkeit einer juristischen person
2036,naturalisation,naturalisation,einburgerung
2037,nauru,nauru,nauru
2038,navarre,navarre,navarra
2039,air traffic,circulation aerienne,luftverkehr
2040,inland waterway shipping,navigation fluviale,fluss-schifffahrt
2041,maritime shipping,navigation maritime,seeschifffahrt
2042,netherlands antilles,antilles neerlandaises,niederlandische antillen
2043,cargo vessel,navire de charge,frachtschiff
2044,barge carrier ship,navire porte-barge,leichtertragerschiff
2045,merchant,negociant,handler
2046,collective bargaining,negociation collective,tarifverhandlung
2047,tokyo round,negociation de tokyo,tokio-runde
2048,dillon round,negociation dillon,dillon-runde
2049,kennedy round,negociation kennedy,kennedy-runde
2050,tariff negotiations,negociation tarifaire,zollverhandlung
2051,anti-semitism,antisemitisme,antisemitismus
2052,nepal,nepal,nepal
2053,neutrality,neutralite,neutralitat
2054,new community instrument,nouvel instrument communautaire,neues gemeinschaftsinstrument
2055,nicaragua,nicaragua,nicaragua
2056,nickel,nickel,nickel
2057,niger,niger,niger
2058,nigeria,nigeria,nigeria
2059,level of education,niveau d'enseignement,stufe des bildungssystems
2060,degree of pollution,degre de pollution,belastungsgrad
2061,province of antwerp,province d'anvers,provinz antwerpen
2062,standard of living,niveau de vie,lebensstandard
2063,noise level,niveau sonore,larmpegel
2064,palm nut,noix de palme,palmnuss
2065,nomadism,nomadisme,nomadentum
2066,nomenclature,nomenclature,systematik
2067,budgetary classification,nomenclature budgetaire,eingliederungsplan
2068,agricultural product nomenclature,nomenclature des produits agricoles,verzeichnis der agrarerzeugnisse
2069,tariff nomenclature,nomenclature tarifaire,zolltarifschema
2070,anzus,anzus,anzus
2071,non-alignment,non-alignement,blockfreiheit
2072,non-attached member,non-inscrit,fraktionsloser abgeordneter
2073,non-violence,non-violence,gewaltlosigkeit
2075,nord-pas-de-calais,nord-pas-de-calais,nord-pas-de-calais
2076,standardisation,normalisation,normung
2077,standard,norme,norm
2078,food standard,norme alimentaire,lebensmittelnorm
2079,anzus countries,pays de l'anzus,anzus-staaten
2080,biological standard,norme biologique,biologische norm
2081,marketing standard,norme de commercialisation,vermarktungsnorm
2082,labour standard,norme de travail,arbeitsnorm
2083,social norm,norme sociale,soziale norm
2084,norway,norvege,norwegen
2085,notary,notaire,notar
2086,apartheid,apartheid,apartheid
2087,new economic order,nouvel ordre economique,neue weltwirtschaftsordnung
2088,new caledonia,nouvelle-caledonie,neukaledonien
2089,new zealand,nouvelle-zelande,neuseeland
2090,nuisance,nuisance,schadensfaktor
2091,invalidity of an election,nullite d'une election,ungultigkeit einer wahl
2092,marriage rate,nuptialite,heiratshaufigkeit
2093,international civil aviation organisation,organisation de l'aviation civile internationale,internationale zivilluftfahrt-organisation
2094,asian productivity organisation,organisation asiatique de productivite,asiatische organisation fur produktivitat
2095,cooperation agreement,accord de cooperation,kooperationsabkommen
2096,stateless person,apatride,staatenloser
2097,conscientious objection,objection de conscience,kriegsdienstverweigerung
2098,bond,obligation financiere,schuldverschreibung
2099,maintenance obligation,obligation alimentaire,unterhaltspflicht
2100,non-competition clause,obligation de non-concurrence,wettbewerbsverbot
2101,obstacle to development,obstacle au developpement,entwicklungshindernis
2102,african and mauritian common organisation,organisation commune africaine et mauricienne,gemeinsame afrikanisch-mauritische organisation
2104,aperitif,aperitif,aperitif
2105,oecd,ocde,oecd
2106,oecd countries,pays de l'ocde,oecd-staaten
2107,ocean,ocean,ozean
2108,antarctic ocean,ocean antarctique,sudpolarmeer
2109,arctic ocean,ocean arctique,nordpolarmeer
2110,atlantic ocean,ocean atlantique,atlantischer ozean
2111,indian ocean,ocean indien,indischer ozean
2112,pacific ocean,ocean pacifique,pazifischer ozean
2113,oceania,oceanie,ozeanien
2114,oceanography,oceanographie,ozeanografie
2115,apiculture,apiculture,bienenzucht
2116,central american integration system,systeme d'integration de l'amerique centrale,zentralamerikanisches integrationssystem
2117,cais countries,pays du sica,sica-staaten
2118,organisation of american states,organisation des etats americains,organisation amerikanischer staaten
2119,oas countries,pays de l'oea,oas-staaten
2121,egg,oeuf,ei
2122,work of art,oeuvre d'art,kunstwerk
2123,european patent office,office europeen des brevets,europaisches patentamt
2124,public legal official,officier ministeriel,urkundsbeamter
2125,recording equipment,appareil d'enregistrement,aufnahmegerat
2126,job vacancy,offre d'emploi,stellenangebot
2127,available energy,offre energetique,energieangebot
2128,supply and demand,offre et demande,angebot und nachfrage
2129,takeover bid,offre publique d'achat,offentliches ubernahmeangebot
2130,international labour organisation,organisation internationale du travail,internationale arbeitsorganisation
2131,olive-growing,oleiculture,olpflanzenbau
2132,oil pipeline,oleoduc,olfernleitung
2133,trace element,oligoelement,spurenelement
2134,oligopoly,oligopole,oligopol
2135,oligopsony,oligopsone,oligopson
2136,olive,olive,olive
2137,palestine liberation organisation,organisation de liberation de la palestine,palastinensische befreiungsorganisation
2138,oman,oman,oman
2139,umbria,ombrie,umbrien
2140,european ombudsman,mediateur europeen,europaischer burgerbeauftragter
2141,international maritime organisation,organisation maritime internationale,internationale seeschifffahrts-organisation
2142,world meteorological organisation,organisation meteorologique mondiale,weltorganisation fur meteorologie
2143,world intellectual property organisation,organisation mondiale de la propriete intellectuelle,weltorganisation fur geistiges eigentum
2144,world health organisation,organisation mondiale de la sante,weltgesundheitsorganisation
2145,un industrial development organisation,organisation des nations unies pour le developpement industriel,organisation der vereinten nationen fur industrielle entwicklung
2146,organisation of arab petroleum exporting countries,organisation des pays arabes exportateurs de petrole,organisation der arabischen erdol exportierenden lander
2147,opec,opep,opec
2148,opec countries,pays de l'opep,opec-staaten
2149,banking,activite bancaire,bankgeschaft
2150,stock-exchange transaction,operation de bourse,borsengeschaft
2151,exchange transaction,operation de change,devisengeschaft
2152,public opinion,opinion publique,offentliche meinung
2153,publications office,office des publications,amt fur veroffentlichungen
2154,opposition,opposant d'opinion,andersdenkender
2155,political opposition,opposition politique,politische opposition
2156,gold,or,gold
2157,computer,ordinateur,computer
2158,ordinance,ordonnance,ordonnance
2159,measuring equipment,appareil de mesure,messgerat
2160,agenda,ordre du jour,tagesordnung
2161,professional society,ordre professionnel,berufskammer
2162,public order,ordre public,offentliche ordnung
2163,community body (established by the treaties),organe communautaire,einrichtung der gemeinschaft
2165,organisation chart,organigramme,organigramm
2166,administrative structures,organisation administrative,verwaltungsorganisation
2167,african organisation,organisation africaine,afrikanische organisation
2169,precision instrument,appareil de precision,prazisionsgerat
2170,american organisation,organisation americaine,amerikanische organisation
2171,arab organisation,organisation arabe,arabische organisation
2172,asian organisation,organisation asiatique,asiatische organisation
2173,common organisation of markets,organisation commune de marche,gemeinsame marktorganisation
2174,cultural organisation,organisation culturelle,kulturverband
2175,organisation of teaching,organisation de l'enseignement,organisation des unterrichtswesens
2176,radio equipment,appareil de radio,rundfunksender und -empfanger
2177,organisation of production,organisation de la production,organisation der produktion
2178,organisation of professions,organisation de la profession,organisierung des berufsstandes
2179,uno,onu,uno
2180,party organisation,organisation des partis,parteiorganisation
2181,organisation of transport,organisation des transports,organisation des verkehrs
2182,market organisation,organisation du marche,marktordnung
2183,warsaw pact organisation,organisation du traite de varsovie,warschauer vertrags-organisation
2184,organisation of work,organisation du travail,arbeitsorganisation
2185,television equipment,appareil de television,fernsehgerat
2186,organisation of elections,organisation electorale,wahlorganisation
2187,european organisation,organisation europeenne,europaische organisation
2188,world organisation,organisation mondiale,zwischenstaatliche organisation
2189,international organisation,organisation internationale,internationale organisation
2190,latin american organisation,organisation latino-americaine,lateinamerikanische organisation
2191,non-governmental organisation,organisation non gouvernementale,nichtregierungsorganisation
2192,electronic device,appareil electronique,elektronisches gerat
2193,barley,orge,gerste
2194,agricultural guidance,orientation agricole,ausrichtung der landwirtschaft
2195,vocational guidance,orientation professionnelle,berufsberatung
2196,educational guidance,orientation scolaire,schulerberatung
2197,orphan,orphelin,waise
2198,eurostat,eurostat,eurostat
2199,nato,otan,nato
2200,nato countries,pays de l'otan,nato-staaten
2201,seato,otase,seato
2202,african union,union africaine,afrikanische union
2203,uganda,ouganda,uganda
2204,agricultural implement,outil agricole,landwirtschaftliches gerat
2205,hand tool,outil de bricolage,werkzeug fur heimwerker
2206,engineering structure,ouvrage d'art,strassen- und bruckenbau
2207,blue-collar worker,ouvrier,arbeiter
2208,skilled worker,ouvrier qualifie,facharbeiter
2209,semi-skilled worker,ouvrier specialise,angelernter arbeiter
2210,overijssel,overijssel,overijssel
2211,sheep,ovin,schaf
2212,egg product,ovoproduit,eierzeugnis
2213,oxide,oxyde,oxid
2214,oxygen,oxygene,sauerstoff
2215,ozone,ozone,ozon
2216,payment,paiement,zahlung
2217,advance payment,paiement a l'avance,vorauszahlung
2218,invitation to tender,appel d'offres,ausschreibung
2219,international payment,paiement international,internationaler zahlungsverkehr
2220,intra-community payment,paiement intracommunautaire,innergemeinschaftlicher zahlungsverkehr
2221,bread,pain,brot
2222,pakistan,pakistan,pakistan
2223,cross voting,panachage,panaschieren
2224,panama,panama,panama
2225,basket of currencies,panier de monnaies,wahrungskorb
2226,bread-making,panification,brotherstellung
2227,direct applicability,applicabilite directe,unmittelbare anwendbarkeit
2228,paper,papier,papier
2229,papua new guinea,papouasie - nouvelle-guinee,papua-neuguinea
2230,quasi-fiscal charge,parafiscalite,steuerahnliche abgabe
2231,paraguay,paraguay,paraguay
2232,parasitology,parasitologie,parasitologie
2233,vehicle fleet,parc automobile,kraftfahrzeugbestand
2234,rolling stock,parc ferroviaire,schienenfahrzeugbestand
2235,national park,parc national,nationalpark
2236,application of the law,application de la loi,anwendung des gesetzes
2237,plot,parcelle,parzelle
2238,single parent,parent celibataire,unverheirateter elternteil
2239,relationship,parente,verwandtschaft
2240,exchange parity,parite des changes,wahrungsparitat
2241,purchasing power parity,parite de pouvoir d'achat,kaufkraftparitat
2242,parliament,parlement,parlament
2243,european parliament,parlement europeen,europaisches parlament
2244,national parliament,parlement national,nationales parlament
2245,regional parliament,parlement regional,regionales parlament
2246,member of parliament,parlementaire,parlamentarier
2247,national implementation of community law,application du droit communautaire,anwendung des gemeinschaftsrechts
2248,member of the european parliament,parlementaire europeen,europaischer abgeordneter
2249,division of property,partage de la propriete,eigentumsteilung
2250,communist party,parti communiste,kommunistische partei
2251,conservative party,parti conservateur,konservative partei
2252,democratic party,parti democrate,demokratische partei
2253,christian democratic party,parti democrate-chretien,christlich-demokratische partei
2254,ecology party,parti ecologiste,umweltpartei
2255,european party,parti europeen,europaische partei
2256,solar energy end-use applications,application solaire,anwendung der sonnenenergie
2257,liberal party,parti liberal,liberale partei
2258,political parties,partis politiques,politische parteien
2259,republican party,parti republicain,republikanische partei
2260,social democratic party,parti social-democrate,sozialdemokratische partei
2261,socialist party,parti socialiste,sozialistische partei
2262,labour party,parti travailliste,arbeiterpartei
2263,one-party system,regime de parti unique,einparteiensystem
2264,shareholding,participation,beteiligung
2265,participation of women,participation des femmes,beteiligung der frauen
2266,worker participation,participation des travailleurs,beteiligung der arbeitnehmer
2267,staff assessment,appreciation du personnel,personalbeurteilung
2268,turnout of voters,participation electorale,wahlbeteiligung
2269,political involvement,participation politique,politische mitbestimmung
2270,social participation,participation sociale,teilnahme am sozialen leben
2271,passport,passeport,reisepass
2272,european passport,passeport europeen,europaischer reisepass
2273,pasteurisation,pasteurisation,pasteurisieren
2274,pasta,pate alimentaire,teigware
2275,free-trade agreement,accord de libre-echange,freihandelsabkommen
2276,apprentice,apprenti,auszubildender
2277,pastry-making,patisserie,konditorei
2278,cultural heritage,patrimoine culturel,kulturelles erbe
2279,employers' organisation,organisation patronale,arbeitgeberverband
2280,pauperisation,pauperisation,verarmung
2281,poverty,pauvrete,armut
2282,ship's flag,pavillon de navire,schiffsflagge
2283,flag of convenience,pavillon de complaisance,billigflagge
2284,apprenticeship,apprentissage professionnel,lehre
2285,associated country,pays associe,assoziiertes land
2286,netherlands,pays-bas,die niederlande
2287,netherlands oct,ptom des pays-bas,ulg der niederlande
2288,regions of the netherlands,regions des pays-bas,regionen der niederlande
2289,basque country,pays basque,baskenland
2290,wales,pays de galles,wales
2291,eastern bloc countries,pays de l'est,ostblocklander
2292,supply,approvisionnement,versorgung
2293,loire region,pays de la loire,pays de la loire
2294,donor country,pays donneur,geberland
2295,developing countries,pays en developpement,entwicklungsland
2296,overseas countries and territories,pays et territoires d'outre-mer,uberseeische lander und gebiete
2297,industrialised country,pays industrialise,industrieland
2298,member country,pays membre,mitgliedsland
2299,least-developed country,pays moins developpe,weniger entwickeltes land
2300,third country,pays tiers,drittland
2301,toll,peage,verkehrsgebuhr
2302,animal skin,peau d'animal,tierhaut
2303,arms supply,approvisionnement en armes,versorgung mit waffen
2304,inshore fishing,peche cotiere,kustenfischerei
2305,freshwater fishing,peche en eau douce,susswasserfischerei
2306,deep-sea fishing,peche en haute mer,hochseefischerei
2307,industrial fishing,peche industrielle,fischerei mit fabrikschiffen
2308,sea fishing,peche maritime,seefischerei
2309,discarded fish,peche rejetee,zuruckgeworfener fang
2310,traditional fishing,peche traditionnelle,handwerkliche fischerei
2311,fisherman,pecheur,fischer
2312,energy supply,approvisionnement energetique,energieversorgung
2313,new educational methods,pedagogie nouvelle,neue padagogik
2314,death penalty,peine de mort,todesstrafe
2315,peloponnese,peloponnese,peloponnes
2316,barge,peniche,lastkahn
2317,shortage,penurie,mangel
2318,food shortage,penurie alimentaire,nahrungsmittelknappheit
2319,financial equalisation,perequation financiere,finanzausgleich
2320,aquaculture,aquiculture,aquakultur
2321,inward processing,perfectionnement actif,aktive veredelung
2322,outward processing,perfectionnement passif,passive veredelung
2323,fishing season,periode de peche,fangzeit
2324,ec transitional period,periode de transition ce,ubergangszeit eg
2325,driving licence,permis de conduire,fuhrerschein
2326,european driving licence,permis de conduire europeen,europaischer fuhrerschein
2327,building permit,permis de construire,baugenehmigung
2328,aquitaine,aquitaine,aquitanien
2329,fishing permit,permis de peche,fischereischein
2330,work permit,permis de travail,arbeitserlaubnis
2331,peru,perou,peru
2332,personalisation of power,personnalisation du pouvoir,personifizierung der macht
2333,elderly person,personne agee,alterer mensch
2334,divorced person,personne divorcee,geschiedene person
2335,married person,personne mariee,verheiratete person
2336,saudi arabia,arabie saoudite,saudi-arabien
2337,legal person,personne morale,juristische person
2338,natural person,personne physique,naturliche person
2339,separated person,personne separee,getrennt lebende person
2340,one person household,personne seule,allein stehende person
2341,widowed person,personne veuve,verwitwete person
2342,staff,personnel,personal
2343,ground staff,personnel au sol,bodenpersonal
2345,groundnut,arachide,erdnuss
2349,drivers,personnel de conduite,fahrpersonal
2350,transport staff,personnel des transports,beforderungspersonal
2351,legal profession,profession judiciaire,organ der rechtspflege
2352,crew,personnel navigant,schiffs- und flugpersonal
2353,penitentiary staff,personnel penitentiaire,strafvollzugspersonal
2354,aragon,aragon,aragonien
2355,financial loss,perte financiere,finanzieller verlust
2356,animal plague,peste animale,tierpest
2357,pesticide,pesticide,pestizid
2358,small business,petite entreprise,kleinunternehmen
2359,small and medium-sized enterprises,petites et moyennes entreprises,kleine und mittlere unternehmen
2360,smallholding,petite exploitation,landwirtschaftlicher kleinbetrieb
2361,small town,petite ville,kleinstadt
2362,lesser antilles,petites antilles,kleine antillen
2363,petition,petition,petition
2364,petrochemicals,petrochimie,petrochemie
2365,petrodollar,petrodollar,petrodollar
2366,petroleum,petrole,erdol
2367,pharmacology,pharmacologie,pharmakologie
2368,philippines,philippines,die philippinen
2369,philosophy,philosophie,philosophie
2370,political philosophy,philosophie politique,politische philosophie
2371,arbitrage,arbitrage financier,arbitrage
2372,phosphorus,phosphore,phosphor
2373,photochemistry,photochimie,fotochemie
2374,photovoltaic cell,photopile,solarzelle
2375,occupational physiology,physiologie du travail,arbeitsphysiologie
2376,nuclear physics,physique nucleaire,kernphysik
